title,time_published,summary,ticker_sentiment
'We were terrified': Block co-founder explains how the fintech giant avoided 'death by Amazon',20220304T182803,"In 2014, Amazon launched a competitor to Block. The company was ""terrified,"" according to co-founder Jim McKelvey. But it didn't give up.","[{'ticker': 'AXP', 'relevance_score': '0.068955', 'ticker_sentiment_score': '-0.070018', 'ticker_sentiment_label': 'Neutral'}]"
Airline Stocks Descend Amid Russia-Ukraine War,20220304T210800,"The main airline ETF has slumped 16% since Feb. 14. Its biggest holdings are Delta Air, United, Southwest and American.","[{'ticker': 'AXP', 'relevance_score': '0.205283', 'ticker_sentiment_score': '0.164123', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
American Express'  ( AXP )  New Rewards System to Benefit Members,20220304T220700,American Express' (AXP) American Express Rewards Checking Account for U.S. consumer Card Members launches rewards system for eligible members.,"[{'ticker': 'AXP', 'relevance_score': '0.716818', 'ticker_sentiment_score': '0.089418', 'ticker_sentiment_label': 'Neutral'}]"
The Best Time to Use Your Airline Miles? Now.,20220305T223733,"If you're thinking of traveling and you've got points or miles sitting in airline and credit card accounts, the time to cash in may have arrived. Here's what you need to know.","[{'ticker': 'AXP', 'relevance_score': '0.024904', 'ticker_sentiment_score': '0.282206', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
Why airlines are going overboard to win your loyalty,20220306T080000,Airlines step up loyalty deals ahead of summer travel boom Axios,"[{'ticker': 'AXP', 'relevance_score': '0.148685', 'ticker_sentiment_score': '0.015333', 'ticker_sentiment_label': 'Neutral'}]"
"Blinken says U.S. looking to help supply fighter jets to Ukraine, considers banning Russian oil imports",20220306T172453,"Blinken, speaking to several outlets during a Sunday morning press blitz, said that the United States was looking to provide Poland with F-16 fighter jets to backfill any planes they provide to Ukraine.","[{'ticker': 'AXP', 'relevance_score': '0.045551', 'ticker_sentiment_score': '-0.83114', 'ticker_sentiment_label': 'Bearish'}]"
"American Express suspends operations in Russia, Belarus over Ukraine invasion",20220306T202055,American Express on Sunday said it will suspend operations in Russia over its military invasion of Ukraine.,"[{'ticker': 'AXP', 'relevance_score': '0.546181', 'ticker_sentiment_score': '-0.427796', 'ticker_sentiment_label': 'Bearish'}]"
"Visa, Mastercard, American Express say they're suspending operations in Russia amid its invasion of Ukraine",20220306T203704,"• Visa, Mastercard, and American Express announced they would suspend their operations in Russia.","[{'ticker': 'AXP', 'relevance_score': '0.263657', 'ticker_sentiment_score': '-0.726548', 'ticker_sentiment_label': 'Bearish'}]"
"Russia sanctions: Tech cutoff is bad, but credit service suspension 'unbearable' for average citizen",20220306T203746,"The announcement that American credit card companies will suspend services in Russia has delivered the most devastating blow to everyday citizens, an economics expert told FOX Business.","[{'ticker': 'AXP', 'relevance_score': '0.076675', 'ticker_sentiment_score': '-0.275613', 'ticker_sentiment_label': 'Somewhat-Bearish'}]"
Netflix is the latest major tech company to pull service in Russia in response to the country's invasion of Ukraine,20220306T211234,• Netflix is suspending service in Russia in response to its invasion of Ukraine.,"[{'ticker': 'AXP', 'relevance_score': '0.17484', 'ticker_sentiment_score': '-0.011174', 'ticker_sentiment_label': 'Neutral'}]"
Russia-Ukraine War: What to know on Russia's war in Ukraine,20220307T022615,Russia-Ukraine War: What to know on Russia's war in Ukraine The Associated Press - en Español,"[{'ticker': 'AXP', 'relevance_score': '0.028743', 'ticker_sentiment_score': '-0.588548', 'ticker_sentiment_label': 'Bearish'}]"
"Live updates: Australian missiles ""on the ground"" in Ukraine",20220307T025419,"Live updates: Australian missiles ""on the ground"" in Ukraine The Associated Press - en Español","[{'ticker': 'AXP', 'relevance_score': '0.038115', 'ticker_sentiment_score': '-0.51446', 'ticker_sentiment_label': 'Bearish'}]"
"Palladium scales record high, gold hits $2,000 on Russia-Ukraine war",20220307T032400,"Palladium jumped to a record high on Monday, while gold hit the key level of $2,000 per ounce, as concerns over Russia-Ukraine conflict pushed investors towards safe-haven assets.","[{'ticker': 'AXP', 'relevance_score': '0.118413', 'ticker_sentiment_score': '-0.043455', 'ticker_sentiment_label': 'Neutral'}]"
Russia-Ukraine War: What to know on Russia's war in Ukraine,20220307T054753,Russia-Ukraine War: What to know on Russia's war in Ukraine The Associated Press - en Español,"[{'ticker': 'AXP', 'relevance_score': '0.028291', 'ticker_sentiment_score': '-0.588548', 'ticker_sentiment_label': 'Bearish'}]"
Factbox: Putin's Russia hit with wall of international sanctions after Ukraine invasion,20220307T080000,"Russian rouble banknotes are seen in this illustration picture taken in Moscow, September 30, 2014. REUTERS/Maxim Zmeyev/File Photo","[{'ticker': 'AXP', 'relevance_score': '0.04873', 'ticker_sentiment_score': '-0.238744', 'ticker_sentiment_label': 'Somewhat-Bearish'}]"
"Stocks Tumble, Oil Surges, Inflation, Amex And Apple - Five Things You Must Know",20220307T105300,"Stock futures tumble as Russia-Ukraine war intensifies, oil prices surge; Oil top $125 on Russian import ban talks; gas prices blast past $4 a gallon; Week Ahead: February inflation data in focus; American Express joins, Visa, Mastercard in cutting off Russian payment access and Apple readies 'peek ","[{'ticker': 'AXP', 'relevance_score': '0.162211', 'ticker_sentiment_score': '-0.066048', 'ticker_sentiment_label': 'Neutral'}]"
"5 things to know for March 7: Ukraine, Oil prices, Covid-19, Tornadoes, Trump",20220307T113200,"If your day doesn't start until you're up to speed on the latest headlines, then let us introduce you to your new favorite morning fix. Sign up here for the '5 Things' newsletter.","[{'ticker': 'AXP', 'relevance_score': '0.036526', 'ticker_sentiment_score': '-0.295638', 'ticker_sentiment_label': 'Somewhat-Bearish'}]"
Stock market news today: Dow and S&P 500 updates,20220307T122100,Live updates: Dow tumbles as West considers cutting off Russian oil CNN,"[{'ticker': 'AXP', 'relevance_score': '0.169652', 'ticker_sentiment_score': '-0.32821', 'ticker_sentiment_label': 'Somewhat-Bearish'}]"
Stock market news today: Dow and S&P 500 updates,20220307T122100,Live updates: Dow tumbles as West considers cutting off Russian oil CNN,"[{'ticker': 'AXP', 'relevance_score': '0.170203', 'ticker_sentiment_score': '-0.32821', 'ticker_sentiment_label': 'Somewhat-Bearish'}]"
Russian banks mull China UnionPay; big accounting firms exit,20220307T131906,Russian banks consider China UnionPay cards after sanctions The Associated Press - en Español,"[{'ticker': 'AXP', 'relevance_score': '0.098054', 'ticker_sentiment_score': '-0.177885', 'ticker_sentiment_label': 'Somewhat-Bearish'}]"
"US stocks open lower, oil still high but off earlier peak",20220307T132332,US markets set for lower open; oil prices continue to surge The Associated Press - en Español,"[{'ticker': 'AXP', 'relevance_score': '0.039878', 'ticker_sentiment_score': '-0.000495', 'ticker_sentiment_label': 'Neutral'}]"
"As Oil Goes Up, Stocks Go Down",20220307T133509,Climbing energy prices are roiling markets.,"[{'ticker': 'AXP', 'relevance_score': '0.018672', 'ticker_sentiment_score': '-0.350659', 'ticker_sentiment_label': 'Bearish'}]"
Support On The S&P 500 Index Continues To Hold Despite Spike In Oil Prices,20220307T150244,The VIX is high and may not see relief until the Russia-Ukraine situation improves.,"[{'ticker': 'AXP', 'relevance_score': '0.064198', 'ticker_sentiment_score': '-0.23365', 'ticker_sentiment_label': 'Somewhat-Bearish'}]"
This Week's CPI Will Provide A Framing For The Current Inflation Situation,20220307T151622,"This post contains sponsored advertising content. This content is for informational purposes only and not intended to be investing advice.
 ( Monday Market Open )  WTI crude oil futures spiked over the weekend-trading as high as $130 per barrel-as an increasing number of companies are choosing not t","[{'ticker': 'AXP', 'relevance_score': '0.058515', 'ticker_sentiment_score': '-0.244217', 'ticker_sentiment_label': 'Somewhat-Bearish'}]"
"Top Stock Reports for Apple, Broadcom & American Express",20220307T153600,"Today's Research Daily features new research reports on 16 major stocks, including Apple Inc. (AAPL), Broadcom Inc. (AVGO) and American Express Company (AXP).","[{'ticker': 'AXP', 'relevance_score': '0.082308', 'ticker_sentiment_score': '0.138829', 'ticker_sentiment_label': 'Neutral'}]"
"EY joins other big accounting firms exiting Russia, as more companies quit the country.",20220307T160354,"The firm said it would sever ties with Russia, after similar announcements from KPMG and PricewaterhouseCoopers.","[{'ticker': 'AXP', 'relevance_score': '0.096827', 'ticker_sentiment_score': '-0.559489', 'ticker_sentiment_label': 'Bearish'}]"
US considering supplying air defense systems to NATO allies amid growing worry over Russia's threats,20220307T161100,"As Russia's invasion continues, more companies continue to announce that they're ceasing to do business with Russia.","[{'ticker': 'AXP', 'relevance_score': '0.171607', 'ticker_sentiment_score': '-0.407946', 'ticker_sentiment_label': 'Bearish'}]"
Wall St: Dow falls over 350 points on inflation angst as oil soars,20220307T161100,"Energy stocks outperform broader market; big banks, travel shares lead declines","[{'ticker': 'AXP', 'relevance_score': '0.083164', 'ticker_sentiment_score': '-0.686197', 'ticker_sentiment_label': 'Bearish'}]"
"Big Four Accounting Firms, Nissan Suspend Service-Here's The List Of Companies Cutting Ties With Russia Over Invasion",20220307T161142,Here are all the multinationals that have taken action against Russia and Russian companies following its invasion of Ukraine.,"[{'ticker': 'AXP', 'relevance_score': '0.018191', 'ticker_sentiment_score': '-0.479873', 'ticker_sentiment_label': 'Bearish'}]"
AmEx  ( AXP )  Extends BNPL Solution to Delta to Ease Flight Booking,20220307T163300,American Express (AXP) expands its solution Plan It to Delta with an aim to boost its presence in the thriving BNPL space and integrate such solutions within the travel industry.,"[{'ticker': 'AXP', 'relevance_score': '0.529596', 'ticker_sentiment_score': '0.094657', 'ticker_sentiment_label': 'Neutral'}]"
UK announces additional $230 million in aid for Ukraine,20220307T165900,Russia invades Ukraine CNN,"[{'ticker': 'AXP', 'relevance_score': '0.171607', 'ticker_sentiment_score': '-0.407946', 'ticker_sentiment_label': 'Bearish'}]"
Explosions from military strikes and large plume of smoke seen in Mykolaiv,20220307T175200,"As Russia's invasion continues, more companies continue to announce that they're ceasing to do business with Russia.","[{'ticker': 'AXP', 'relevance_score': '0.171607', 'ticker_sentiment_score': '-0.407946', 'ticker_sentiment_label': 'Bearish'}]"
