title,time_published,summary,ticker_sentiment
Sweetgreen stock soars after posting impressive sales growth in its first quarterly report since IPO,20220304T190746,"After a strong debut on the public markets in mid-November, the stock has struggled as investors question the company's lack of profitability.","[{'ticker': 'MCD', 'relevance_score': '0.068016', 'ticker_sentiment_score': '-0.599115', 'ticker_sentiment_label': 'Bearish'}]"
Shake Shack Delivering Bitcoin With Every Burger,20220304T203212,Would you like Bitcoin with that?,"[{'ticker': 'MCD', 'relevance_score': '0.10793', 'ticker_sentiment_score': '-0.211568', 'ticker_sentiment_label': 'Somewhat-Bearish'}]"
Investor Lesson: Holding Great Companies Through Turmoil,20220304T212700,"If you want to do well as an investor, you have to get comfortable with the idea of holding great companies through difficult times -- like the ones we're in right now.","[{'ticker': 'MCD', 'relevance_score': '0.021828', 'ticker_sentiment_score': '0.454762', 'ticker_sentiment_label': 'Bullish'}]"
Trying to Time the Market Doesn't Work,20220304T213559,Plus a look at market news and an interview with The Trade Desk CEO Jeff Green.,"[{'ticker': 'MCD', 'relevance_score': '0.012976', 'ticker_sentiment_score': '0.215865', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
"BTS Has Big News That Will Make Samsung, Hyundai and Fila Happy",20220304T224100,Brands associated with South Korean music sensation BTS have reason to cheer.,"[{'ticker': 'MCD', 'relevance_score': '0.128204', 'ticker_sentiment_score': '0.099226', 'ticker_sentiment_label': 'Neutral'}]"
China Outlines Plan to Stabilize Economy in Crucial Year for Xi,20220305T092305,"China calls for heavy government spending and lending, as its leaders seek to project confidence in the face of global uncertainty over the pandemic and war in Ukraine.","[{'ticker': 'MCD', 'relevance_score': '0.027889', 'ticker_sentiment_score': '-0.603104', 'ticker_sentiment_label': 'Bearish'}]"
"Burger King Goes Bigger than Wendy's, McDonald's  ( Even Fatburger ) ",20220305T151200,The fast-food chain thinks more is more with a bunch of huge burgers.,"[{'ticker': 'MCD', 'relevance_score': '0.21064', 'ticker_sentiment_score': '-0.012718', 'ticker_sentiment_label': 'Neutral'}]"
Burger King Has Another New Whopper,20220305T165900,The fast-food chain leans on its signature sandwich for menu innovation.,"[{'ticker': 'MCD', 'relevance_score': '0.342424', 'ticker_sentiment_score': '-0.057029', 'ticker_sentiment_label': 'Neutral'}]"
I'm Buying These 3 Resilient Stocks During a Bear Market,20220306T153000,"The COVID-19 pandemic hurt these businesses, but they emerged stronger than ever.","[{'ticker': 'MCD', 'relevance_score': '0.308988', 'ticker_sentiment_score': '-0.099009', 'ticker_sentiment_label': 'Neutral'}]"
Shake Shack Has a Big Surprise for Bitcoin and Crypto Fans,20220306T221200,Bitcoin is making inroads into the fast-food industry.,"[{'ticker': 'MCD', 'relevance_score': '0.408065', 'ticker_sentiment_score': '0.053241', 'ticker_sentiment_label': 'Neutral'}]"
Oil And Gas Stocks On Retail-Investor Radar Heading Into New Week As Elon Musk Pleads For Increased Production,20220307T113631,"Heading into a new trading week, oil and gas stocks are seeing high interest from retail investors amid the escalation in the Russia-Ukraine conflict.
Stocks such as Occidental Petroleum Corp.  ( NYSE: OXY ) , United States Oil Fund LP  ( NYSE: USO ) , iPath Pure Beat Crude Oil ETN  ( NYSE: OIL )  a","[{'ticker': 'MCD', 'relevance_score': '0.085324', 'ticker_sentiment_score': '0.347081', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
CVS Trademark Filing Hints at Metaverse Pharmacy Plans,20220307T122324,"Pharmacy chain CVS is filing trademarks for use in ""virtual worlds,"" including the launch of crypto-collectibles and non-fungible tokens.","[{'ticker': 'MCD', 'relevance_score': '0.087154', 'ticker_sentiment_score': '-0.004101', 'ticker_sentiment_label': 'Neutral'}]"
Jim Cramer Says This Stock Is Incredibly Cheap,20220307T124218,"On CNBC's ""Mad Money Lightning Round,"" Jim Cramer said  Freeport-McMoRan Inc   ( NYSE: FCX )  is still incredibly cheap as copper prices surged to a fresh high and the company also has great assets. ""I think you've really got game with that one,"" he added.
With several data-based software firms now,","[{'ticker': 'MCD', 'relevance_score': '0.099394', 'ticker_sentiment_score': '0.347081', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
"As Oil Goes Up, Stocks Go Down",20220307T133509,Climbing energy prices are roiling markets.,"[{'ticker': 'MCD', 'relevance_score': '0.037335', 'ticker_sentiment_score': '-0.437392', 'ticker_sentiment_label': 'Bearish'}]"
Insiders Buy More Than $3B Of 4 Stocks,20220307T135328,"Although US stock futures traded lower this morning amid rising Russia-Ukraine concerns, there were a few notable insider trades.
When insiders purchase shares, it indicates their confidence in the company's prospects or that they view the stock as a bargain. Either way, this signals an opportunity ","[{'ticker': 'MCD', 'relevance_score': '0.056754', 'ticker_sentiment_score': '0.347081', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
Insiders Buying These 4 Penny Stocks,20220307T141127,"US crude oil futures surged to their strongest levels since 2008 early this morning, amid the risk of Western ban on Russia's oil imports. Investors, meanwhile, focused on some notable insider trades
When insiders purchase or sell shares, it indicates their confidence or concern around the company's","[{'ticker': 'MCD', 'relevance_score': '0.056998', 'ticker_sentiment_score': '0.347081', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
