title,time_published,summary,ticker_sentiment
"FMCG sales value up, but volume dips as price hikes bite - ETCFO",20220303T034400,"The quarter saw rural consumers downtrading, or buying smaller packs to offset the impact of inflation, as a result of which packaged goods companies have increased exposure of lower-priced packs.","[{'ticker': 'PG', 'relevance_score': '0.111436', 'ticker_sentiment_score': '-0.109784', 'ticker_sentiment_label': 'Neutral'}]"
15 Stock Picks That Billionaires Love,20220304T160140,"No, you can't get rich simply by copying their moves, but there's still something irresistible about following the top stock picks of the billionaire set.
Consider that the billionaires listed below have larger-than-life reputations when it comes to investing other rich people's money. Meanwhile, th","[{'ticker': 'PG', 'relevance_score': '0.05724', 'ticker_sentiment_score': '-0.00482', 'ticker_sentiment_label': 'Neutral'}]"
"BSE FMCG index nears 52-week low; Dabur, Godrej Consumer slips up to 9%",20220307T082400,"HUL hit a fresh 52-week low of Rs 1,942, down 4% in intra-day trade today. The stock has tanked 15% in the past two weeks.","[{'ticker': 'PG', 'relevance_score': '0.12546', 'ticker_sentiment_score': '0.010538', 'ticker_sentiment_label': 'Neutral'}]"
"As Oil Goes Up, Stocks Go Down",20220307T133509,Climbing energy prices are roiling markets.,"[{'ticker': 'PG', 'relevance_score': '0.018672', 'ticker_sentiment_score': '-0.022768', 'ticker_sentiment_label': 'Neutral'}]"
Oil prices could cause double-digit inflation: Billionaire supermarket owner,20220307T153709,Gristedes and D'Agostino Food Chairman and CEO John Catsimatidis on Monday warned inflation could increase to double digits by spring on the heels of oil hitting its highest level since 2008.,"[{'ticker': 'PG', 'relevance_score': '0.136654', 'ticker_sentiment_score': '-0.256895', 'ticker_sentiment_label': 'Somewhat-Bearish'}]"
Procter & Gamble Whale Trades For March 07,20220307T203528,"A whale with a lot of money to spend has taken a noticeably bearish stance on Procter & Gamble.
Looking at options history for Procter & Gamble  ( NYSE:PG )  we detected 12 strange trades.
If we consider the specifics of each trade, it is accurate to state that 25% of the investors opened trades wit","[{'ticker': 'PG', 'relevance_score': '0.428197', 'ticker_sentiment_score': '-0.103119', 'ticker_sentiment_label': 'Neutral'}]"
Procter & Gamble  ( PG )  Stock Moves -1.48%: What You Should Know,20220307T224514,"Procter & Gamble (PG) closed the most recent trading day at $152.84, moving -1.48% from the previous trading session.","[{'ticker': 'PG', 'relevance_score': '0.570924', 'ticker_sentiment_score': '0.03763', 'ticker_sentiment_label': 'Neutral'}]"
Stocks Showing Rising Market Leadership: Bellring Brands Inc Cl A Earns 86 RS Rating,20220308T080000,Stocks Showing Rising Market Leadership: Bellring Brands Inc Cl A Earns 86 RS Rating Investor's Business Daily,"[{'ticker': 'PG', 'relevance_score': '0.343041', 'ticker_sentiment_score': '0.245894', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
"Power Grid, Dhampur, Dwarikesh Sugar, ONGC hit new 52-week highs on BSE; HDFC Bank, HUL, Britannia at new lows",20220308T080336,"BSE Sensex and Nifty 50 were trading nearly one per cent down on Tuesday, amid rising crude oil prices and Russia-Ukraine crisis.","[{'ticker': 'PG', 'relevance_score': '0.09439', 'ticker_sentiment_score': '0.009209', 'ticker_sentiment_label': 'Neutral'}]"
The startup Twelve is brilliantly transforming carbon pollution into jet fuel and plastics,20220308T110015,"Inside Twelve's Bay Area lab, a tank of carbon dioxide captured from a nearby refinery sits next to a dishwasher-size machine that converts the pollut","[{'ticker': 'PG', 'relevance_score': '0.154852', 'ticker_sentiment_score': '-0.002862', 'ticker_sentiment_label': 'Neutral'}]"
FreeCast Launches SelectTV's Streaming TV Kit to National Big Box Brands and Online Retailers,20220308T120700,"ORLANDO, Fla., March 8, 2022 /PRNewswire/ -- FreeCast, the world's first super aggregation platform that combines online streaming media from multiple into a single interface available across devices, is launching its SelectTV Streaming TV Kit with major retail partnerships. By packaging its online ","[{'ticker': 'PG', 'relevance_score': '0.101496', 'ticker_sentiment_score': '0.014574', 'ticker_sentiment_label': 'Neutral'}]"
Surging Prices Bode Well For These Stocks,20220308T140012,"Inflation, which has been surging in recent months, is poised to rise further as the ongoing war between Russia and Ukraine causes a sharp increase in commodity and energy prices. For perspective, U.S. benchmark crude prices have risen over 30% over the last month to about $120 per barrel...","[{'ticker': 'PG', 'relevance_score': '0.185876', 'ticker_sentiment_score': '-0.572257', 'ticker_sentiment_label': 'Bearish'}]"
Procter & Gamble  ( PG )  Boasts Earnings & Price Momentum: Should You Buy?,20220308T143005,"Finding strong, market-beating stocks with a positive earnings outlook becomes easier with the Focus List, a top feature of the Zacks Premium portfolio service.","[{'ticker': 'PG', 'relevance_score': '0.332286', 'ticker_sentiment_score': '0.021899', 'ticker_sentiment_label': 'Neutral'}]"
