title,time_published,summary,ticker_sentiment
HCI Group  ( HCI )  Shares Rise on Q4 Earnings and Revenue Beat,20220310T143300,"HCI Group's (HCI) Q4 results reflect improved revenues, growth in Homeowners Choice and sustained expansion across its insurance operation - TypTap Insurance Company. Escalating costs weigh on the upside.","[{'ticker': 'TRV', 'relevance_score': '0.120642', 'ticker_sentiment_score': '0.021533', 'ticker_sentiment_label': 'Neutral'}]"
Insurance Stocks Moving In Wednesday's Intraday Session,20220316T180805,"According to Benzinga Pro following are the gainers and losers in Insurance industry for today's Intraday session. 
Gainers
Huize Holding  ( NASDAQ:HUIZ )  stock rose 32.8% to $0.89 during Wednesday's regular session. As of 13:40 EST, this security is trading at a volume of 317.5K shares, making up ","[{'ticker': 'TRV', 'relevance_score': '0.102252', 'ticker_sentiment_score': '-0.008171', 'ticker_sentiment_label': 'Neutral'}]"
"The Zacks Analyst Blog Highlights Morgan Stanley, PetroChina Company, Duke Energy, O'Reilly Automotive, and The Travelers Companies",20220317T113600,"Morgan Stanley, PetroChina Company, Duke Energy, O'Reilly Automotive, and The Travelers Companies are part of Today's Analyst Blog.","[{'ticker': 'TRV', 'relevance_score': '0.105303', 'ticker_sentiment_score': '0.004236', 'ticker_sentiment_label': 'Neutral'}]"
"This Day In Market History: Walmart, Johnson & Johnson Join Dow Jones Industrial Average",20220317T135700,"Each day, Benzinga takes a look back at a notable market-related moment that occurred on this date.
What Happened? On this day in 1997, Walmart Inc  ( NYSE: WMT ) , Johnson & Johnson  ( NYSE: JNJ ) , Travelers Companies Inc  ( NYSE: TRV )  and Hewlett Packard Enterprise Co  ( NYSE: HPE )  joined the","[{'ticker': 'TRV', 'relevance_score': '0.516073', 'ticker_sentiment_score': '-0.001733', 'ticker_sentiment_label': 'Neutral'}]"
Markets Rise As S&P 500 Has Best Week Since November 2020,20220318T201923,"U.S. indices traded higher Friday as investors continue to weigh Wednesday's Fed rate decision and economic outlook. U.S. weekly jobless claims also came in lower than the prior week.
The S&P 500 gained more than 4% on the week, its best weekly performance since November 2020.
The Nasdaq composite f","[{'ticker': 'TRV', 'relevance_score': '0.253778', 'ticker_sentiment_score': '-0.205785', 'ticker_sentiment_label': 'Somewhat-Bearish'}]"
TRV: Travelers Cos. vs. Cincinnati Financial: Which Insurance Stock is a Better Buy?,20220321T210139,"The Travelers Companies, Inc.  (  TRV  )  provides commercial and personal property and casualty insurance products and services internationally. The company operates through three segments: Business Insurance; Bond & Specialty Insurance; and Personal Insurance. On the other hand, Cincinnati Financial Corporation  (  CINF  )  provides property-casualty insurance products in the United States. The company operates through five segments: Commercial Lines Insurance; Personal Lines Insurance; Excess and Surplus Lines Insurance; Life Insurance; and Investments.","[{'ticker': 'TRV', 'relevance_score': '0.527817', 'ticker_sentiment_score': '0.041345', 'ticker_sentiment_label': 'Neutral'}]"
INTC: 4 Surging Dow Jones Stocks to Add to Your Watchlist,20220329T140728,"The month-long Russia-Ukraine war has aggravated global logistical disruptions, further fueling inflation. However, despite a hawkish Fed stance, the U.S. economy seems on track to overcome these hurdles. According to Erin Browne, PIMCO's managing director and portfolio manager, ""I think anyone has to be impressed with the resiliency of the market.""","[{'ticker': 'TRV', 'relevance_score': '0.211164', 'ticker_sentiment_score': '0.055905', 'ticker_sentiment_label': 'Neutral'}]"
Insurance Stocks Moving In Tuesday's Intraday Session,20220329T164130,"According to Benzinga Pro following are the gainers and losers in Insurance industry for today's Intraday session. 
Gainers
Oscar Health  ( NYSE:OSCR )  shares moved upwards by 8.59% to $9.86 during Tuesday's regular session. Trading volume for this security as of 12:40 EST is 497.6K, which is 26.7%","[{'ticker': 'TRV', 'relevance_score': '0.139832', 'ticker_sentiment_score': '-0.000228', 'ticker_sentiment_label': 'Neutral'}]"
"W.R. Berkley  ( WRB )  Hits 52-Week High, Can the Run Continue?",20220330T131505,"W.R. Berkley (WRB) is at a 52-week high, but can investors hope for more gains in the future? We take a look at the company's fundamentals for clues.","[{'ticker': 'TRV', 'relevance_score': '0.416729', 'ticker_sentiment_score': '0.160191', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
Are Investors Undervaluing These Finance Stocks Right Now?,20220330T134010,"Here at Zacks, our focus is on the proven Zacks Rank system, which emphasizes earnings estimates and estimate revisions to find great stocks. Nevertheless, we are always paying attention to the latest value, growth, and momentum trends to underscore strong picks.","[{'ticker': 'TRV', 'relevance_score': '0.674493', 'ticker_sentiment_score': '0.144672', 'ticker_sentiment_label': 'Neutral'}]"
