date,open,high,low,close,volume,ma_5,ma_20,ma_90,tr,atr_14,close_std_20,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,roc_10,volume_sma_5,volume_sma_20
1999-11-01,0.6,0.61,0.58,0.58,331046643,,,,0.03,,,,0.0,0.0,0.0,,,,,,
1999-11-02,0.59,0.61,0.58,0.6,474429649,,,,0.03,,,,0.0,0.0,0.0,,,,,,
1999-11-03,0.61,0.63,0.61,0.61,390327058,,,,0.03,,,,0.0,0.0,0.0,,,,,,
1999-11-04,0.62,0.64,0.61,0.63,450485898,,,,0.03,,,,0.01,0.0,0.0,,,,,,
1999-11-05,0.64,0.66,0.63,0.66,495312219,0.62,,,0.03,,,,0.01,0.0,0.01,,,,,428320293.4,
1999-11-08,0.66,0.73,0.65,0.72,1130027910,0.64,,,0.08,,,,0.02,0.01,0.01,,,,,588116546.8,
1999-11-09,0.71,0.71,0.66,0.67,961583158,0.66,,,0.06,,,,0.02,0.01,0.01,,,,,685547248.6,
1999-11-10,0.66,0.7,0.66,0.69,686742440,0.67,,,0.04,,,,0.03,0.01,0.01,,,,,744830325.0,
1999-11-11,0.69,0.7,0.68,0.69,320705179,0.69,,,0.02,,,,0.03,0.02,0.01,,,,,718874181.2,
1999-11-12,0.69,0.69,0.66,0.68,331618951,0.69,,,0.03,,,,0.03,0.02,0.01,,,,,686135527.6,
1999-11-15,0.67,0.7,0.66,0.67,308859744,0.68,,,0.04,,,,0.03,0.02,0.01,,,,0.16,521901894.4,
1999-11-16,0.68,0.69,0.66,0.69,277901898,0.68,,,0.03,,,,0.03,0.02,0.01,,,,0.15,385165642.4,
1999-11-17,0.68,0.71,0.68,0.68,433236814,0.68,,,0.03,,,,0.03,0.02,0.0,,,,0.11,334464517.2,
1999-11-18,0.68,0.68,0.66,0.67,433489695,0.68,,,0.02,0.04,,,0.03,0.02,0.0,,,,0.06,357021420.4,
1999-11-19,0.67,0.7,0.66,0.69,371374361,0.68,,,0.04,0.04,,68.97,0.03,0.02,0.0,,,,0.05,364972502.4,
1999-11-22,0.69,0.69,0.67,0.68,240475646,0.68,,,0.02,0.04,,64.29,0.03,0.02,0.0,,,,-0.06,351295682.8,
1999-11-23,0.69,0.72,0.66,0.7,645642772,0.68,,,0.06,0.04,,65.52,0.03,0.02,0.0,,,,0.04,424843857.6,
1999-11-24,0.7,0.71,0.69,0.71,255621832,0.69,,,0.02,0.04,,64.29,0.03,0.03,0.0,,,,0.03,389320861.2,
