date,open,high,low,close,volume,ma_5,ma_20,ma_90,tr,atr_14,close_std_20,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,roc_10,volume_sma_5,volume_sma_20
1999-11-01,27.85,28.45,27.61,27.78,14351560,,,,0.84,,,,0.0,0.0,0.0,,,,,,
1999-11-02,27.91,28.47,27.8,28.04,13120014,,,,0.69,,,,0.02,0.0,0.02,,,,,,
1999-11-03,28.6,28.97,27.13,27.17,16855415,,,,1.84,,,,-0.03,-0.0,-0.03,,,,,,
1999-11-04,27.41,29.01,27.39,28.99,23727211,,,,1.84,,,,0.07,0.01,0.06,,,,,,
1999-11-05,29.62,30.35,29.4,29.45,19590546,28.29,,,1.36,,,,0.19,0.05,0.14,,,,,17528949.2,
1999-11-08,29.36,30.09,29.06,29.55,14390299,28.64,,,1.03,,,,0.29,0.09,0.19,,,,,17536697.0,
1999-11-09,30.23,30.42,29.58,29.71,13496705,28.97,,,0.87,,,,0.37,0.15,0.22,,,,,17612035.2,
1999-11-10,29.79,30.74,29.62,30.35,13833501,29.61,,,1.12,,,,0.49,0.22,0.27,,,,,17007652.4,
1999-11-11,30.53,31.58,30.53,31.3,15979456,30.07,,,1.23,,,,0.65,0.3,0.34,,,,,15458101.4,
1999-11-12,31.78,32.0,30.79,31.8,10668196,30.54,,,1.21,,,,0.8,0.4,0.4,,,,,13673631.4,
1999-11-15,32.0,32.13,31.0,31.05,9394442,30.84,,,1.13,,,,0.86,0.49,0.36,,,,0.12,12674460.0,
1999-11-16,31.28,31.65,31.13,31.48,16421772,31.2,,,0.6,,,,0.93,0.58,0.34,,,,0.12,13259473.4,
1999-11-17,31.46,31.67,31.13,31.52,14455634,31.43,,,0.54,,,,0.97,0.66,0.31,,,,0.16,13383900.0,
1999-11-18,31.72,31.72,30.96,31.54,15432198,31.48,,,0.76,1.08,,,1.0,0.73,0.27,,,,0.09,13274448.4,
1999-11-19,31.52,32.91,31.39,32.75,16478145,31.67,,,1.52,1.12,,80.27,1.1,0.8,0.3,,,,0.11,14436438.2,
1999-11-22,33.03,33.73,31.65,33.34,6884372,32.13,,,2.08,1.22,,81.03,1.22,0.88,0.33,,,,0.13,13934424.2,
1999-11-23,33.94,34.03,32.52,32.9,11264745,32.41,,,1.51,1.2,,85.33,1.26,0.96,0.3,,,,0.11,12903018.8,
1999-11-24,32.95,34.24,32.26,34.2,7759464,32.95,,,1.98,1.21,,84.32,1.39,1.05,0.34,,,,0.13,11563784.8,
1999-11-26,34.59,34.63,33.77,34.16,5259945,33.47,,,0.86,1.17,,82.85,1.46,1.13,0.33,,,,0.09,9529334.2,
1999-11-29,34.29,34.51,32.52,33.73,8447366,33.67,31.04,,1.99,1.24,2.12,77.87,1.47,1.2,0.27,35.29,31.04,26.79,0.06,7923178.4,13390549.3
1999-11-30,32.86,32.9,31.13,31.52,13815722,33.3,31.23,,2.6,1.37,1.98,59.48,1.29,1.22,0.07,35.19,31.23,27.26,0.02,9309448.4,13363757.4
1999-12-01,31.13,32.13,30.44,30.65,10820405,32.85,31.36,,1.69,1.41,1.84,51.53,1.06,1.18,-0.13,35.04,31.36,27.67,-0.03,9220580.4,13248776.95
1999-12-02,30.88,31.48,30.61,30.96,10520469,32.2,31.55,,0.87,1.38,1.56,48.14,0.89,1.12,-0.23,34.67,31.55,28.42,-0.02,9772781.4,12932029.65
1999-12-03,31.61,33.17,31.26,32.0,13694446,31.77,31.7,,2.21,1.45,1.44,51.03,0.83,1.07,-0.23,34.59,31.7,28.81,0.01,11459681.6,12430391.4
1999-12-06,31.91,32.34,30.44,31.13,7518213,31.25,31.78,,1.9,1.51,1.35,50.41,0.71,0.99,-0.29,34.49,31.78,29.08,-0.05,11273851.0,11826774.75
1999-12-07,31.17,31.52,30.44,31.0,9338791,31.15,31.85,,1.08,1.54,1.26,47.47,0.59,0.91,-0.32,34.38,31.85,29.33,-0.07,10378464.8,11574199.35
1999-12-08,30.7,33.21,30.61,31.3,9383167,31.28,31.93,,2.6,1.69,1.17,48.87,0.52,0.83,-0.32,34.27,31.93,29.6,-0.05,10091017.2,11368522.45
1999-12-09,32.34,33.21,29.49,30.44,15117952,31.17,31.94,,3.72,1.9,1.16,44.81,0.39,0.74,-0.36,34.26,31.94,29.62,-0.11,11010513.8,11432745.0
1999-12-10,30.61,31.69,30.53,30.96,10583058,30.97,31.92,,1.25,1.88,1.17,40.97,0.32,0.66,-0.34,34.27,31.92,29.58,-0.09,10388236.2,11162925.1
1999-12-13,31.3,32.69,30.27,32.26,11713999,31.19,31.94,,2.42,1.91,1.17,44.92,0.37,0.6,-0.23,34.29,31.94,29.6,-0.04,11227393.4,11215215.25
1999-12-14,32.73,32.86,31.3,31.86,11682198,31.36,31.98,,1.56,1.91,1.16,45.09,0.37,0.55,-0.19,34.3,31.98,29.67,0.01,11696074.8,11329603.05
1999-12-15,31.57,32.0,30.4,31.74,12589813,31.45,32.0,,1.6,1.88,1.15,36.91,0.36,0.52,-0.16,34.3,32.0,29.7,0.04,12337404.0,11138005.1
