date,open,high,low,close,volume,ma_5,ma_20,ma_90,tr,atr_14,close_std_20,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,roc_10,volume_sma_5,volume_sma_20
1999-11-01,3.4,3.59,3.32,3.46,256482000,,,,0.27,,,,0.0,0.0,0.0,,,,,,
1999-11-02,3.49,3.5,3.25,3.32,264864000,,,,0.25,,,,-0.01,-0.0,-0.01,,,,,,
1999-11-03,3.41,3.42,3.25,3.29,215442000,,,,0.17,,,,-0.02,-0.01,-0.02,,,,,,
1999-11-04,3.36,3.36,3.05,3.15,335184000,,,,0.31,,,,-0.04,-0.01,-0.03,,,,,,
1999-11-05,3.24,3.28,3.11,3.25,221828000,3.29,,,0.17,,,,-0.05,-0.02,-0.03,,,,,258760000.0,
1999-11-08,3.24,4.0,3.18,3.9,646788000,3.38,,,0.82,,,,-0.0,-0.02,0.02,,,,,336821200.0,
1999-11-09,4.04,4.15,3.5,3.54,529542000,3.43,,,0.65,,,,0.01,-0.01,0.02,,,,,389756800.0,
1999-11-10,3.58,3.75,3.51,3.6,230134000,3.49,,,0.24,,,,0.02,-0.01,0.02,,,,,392695200.0,
1999-11-11,3.74,3.75,3.57,3.65,185878000,3.59,,,0.18,,,,0.03,0.0,0.03,,,,,362834000.0,
1999-11-12,3.69,3.75,3.54,3.75,206392000,3.69,,,0.21,,,,0.05,0.01,0.04,,,,,359746800.0,
1999-11-15,3.78,3.8,3.67,3.68,128744000,3.64,,,0.13,,,,0.06,0.02,0.04,,,,0.06,256138000.0,
1999-11-16,3.71,3.98,3.69,3.95,304774000,3.73,,,0.3,,,,0.08,0.03,0.05,,,,0.19,211184400.0,
1999-11-17,3.9,4.0,3.77,3.82,133148000,3.77,,,0.23,,,,0.09,0.04,0.05,,,,0.16,191787200.0,
1999-11-18,3.84,3.91,3.76,3.9,116208000,3.82,,,0.15,0.29,,,0.1,0.06,0.05,,,,0.24,177853200.0,
1999-11-19,3.89,3.91,3.8,3.9,115212000,3.85,,,0.11,0.28,,60.09,0.11,0.07,0.05,,,,0.2,159617200.0,
1999-11-22,3.89,4.12,3.8,4.03,214168000,3.92,,,0.32,0.29,,66.36,0.13,0.08,0.05,,,,0.03,176702000.0,
1999-11-23,4.02,4.28,3.81,4.09,366650000,3.95,,,0.47,0.31,,68.18,0.15,0.09,0.05,,,,0.16,189077200.0,
1999-11-24,4.21,4.39,4.16,4.36,289662000,4.06,,,0.3,0.31,,75.97,0.18,0.11,0.07,,,,0.21,220380000.0,
1999-11-26,4.55,4.76,4.53,4.66,229920000,4.21,,,0.4,0.32,,77.87,0.23,0.13,0.09,,,,0.28,243122400.0,
1999-11-29,4.78,4.84,4.51,4.52,361074000,4.33,3.79,,0.33,0.29,0.41,65.35,0.25,0.16,0.09,4.62,3.79,2.97,0.21,292294800.0,267604700.0
1999-11-30,4.41,4.44,4.19,4.25,269310000,4.38,3.83,,0.33,0.26,0.42,68.39,0.24,0.17,0.07,4.67,3.83,3.0,0.15,303323200.0,268246100.0
1999-12-01,4.36,4.38,4.1,4.25,213272000,4.41,3.88,,0.28,0.27,0.41,67.38,0.23,0.19,0.05,4.7,3.88,3.06,0.08,272647600.0,265666500.0
1999-12-02,4.3,4.57,4.28,4.45,190774000,4.43,3.94,,0.32,0.28,0.4,69.8,0.24,0.2,0.05,4.74,3.94,3.13,0.16,252870000.0,264433100.0
1999-12-03,4.62,4.67,4.3,4.33,223024000,4.36,3.99,,0.37,0.29,0.37,64.22,0.24,0.2,0.03,4.73,3.99,3.26,0.11,251490800.0,258825100.0
1999-12-06,4.34,4.49,4.23,4.37,183984000,4.33,4.05,,0.26,0.3,0.33,67.16,0.23,0.21,0.02,4.71,4.05,3.39,0.12,216072800.0,256932900.0
