date,open,high,low,close,volume,ma_5,ma_20,ma_90,tr,atr_14,close_std_20,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,roc_10,volume_sma_5,volume_sma_20
1999-11-01,31.09,31.31,30.77,30.88,16992108,,,,0.54,,,,0.0,0.0,0.0,,,,,,
1999-11-02,30.94,31.4,30.48,30.57,13496923,,,,0.92,,,,-0.02,-0.0,-0.02,,,,,,
1999-11-03,30.57,30.75,30.17,30.46,13178930,,,,0.58,,,,-0.05,-0.01,-0.04,,,,,,
1999-11-04,30.67,31.21,30.24,30.32,11992045,,,,0.97,,,,-0.08,-0.03,-0.06,,,,,,
1999-11-05,31.09,31.36,30.73,31.04,9788451,30.65,,,1.04,,,,-0.05,-0.03,-0.02,,,,,13089691.4,
1999-11-08,31.21,31.21,30.32,30.44,10374576,30.57,,,0.89,,,,-0.07,-0.04,-0.03,,,,,11766185.0,
1999-11-09,30.57,30.75,30.07,30.28,12356362,30.51,,,0.68,,,,-0.1,-0.05,-0.05,,,,,11538072.8,
1999-11-10,30.28,30.67,30.01,30.05,11676142,30.43,,,0.66,,,,-0.14,-0.07,-0.07,,,,,11237515.2,
1999-11-11,30.22,30.44,29.86,30.22,11367964,30.41,,,0.58,,,,-0.16,-0.09,-0.07,,,,,11112699.0,
1999-11-12,30.77,32.12,30.69,31.98,12616609,30.59,,,1.9,,,,-0.03,-0.08,0.05,,,,,11678330.6,
1999-11-15,32.12,32.72,31.94,32.6,11371824,31.03,,,0.78,,,,0.12,-0.04,0.16,,,,0.06,11877780.2,
1999-11-16,32.85,33.22,32.16,33.05,14724178,31.58,,,1.06,,,,0.28,0.03,0.25,,,,0.08,12351343.4,
1999-11-17,32.74,32.85,32.04,32.04,7215720,31.98,,,1.01,,,,0.31,0.08,0.23,,,,0.05,11459259.0,
1999-11-18,32.43,32.6,32.08,32.1,10601046,32.35,,,0.56,0.87,,,0.34,0.14,0.21,,,,0.06,11305875.4,
1999-11-19,32.18,32.52,32.04,32.12,6249196,32.38,,,0.48,0.87,,59.75,0.36,0.18,0.18,,,,0.03,10032392.8,
1999-11-22,32.02,32.41,31.87,32.06,6431755,32.27,,,0.54,0.84,,62.19,0.37,0.22,0.15,,,,0.05,9044379.0,
1999-11-23,32.1,32.56,31.91,32.2,9021698,32.1,,,0.65,0.84,,64.17,0.38,0.25,0.13,,,,0.06,7903883.0,
1999-11-24,32.12,32.18,31.71,31.71,5222190,32.04,,,0.49,0.81,,60.71,0.35,0.27,0.08,,,,0.06,7505177.0,
1999-11-26,31.91,31.98,31.62,31.62,1838471,31.94,,,0.36,0.76,,54.95,0.31,0.28,0.03,,,,0.05,5752662.0,
1999-11-29,31.42,31.42,30.53,30.63,8133026,31.64,31.32,,1.09,0.77,0.92,51.52,0.2,0.26,-0.06,33.16,31.32,29.48,-0.04,6129428.0,10232460.7
1999-11-30,30.67,31.83,30.67,31.36,10328735,31.5,31.34,,1.2,0.81,0.92,57.92,0.17,0.25,-0.08,33.17,31.34,29.51,-0.04,6908824.0,9899292.05
1999-12-01,31.09,31.81,30.94,31.67,8065147,31.4,31.4,,0.87,0.83,0.9,61.74,0.17,0.23,-0.06,33.2,31.4,29.6,-0.04,6717513.8,9627703.25
1999-12-02,31.91,32.08,31.5,31.79,6707926,31.41,31.46,,0.58,0.83,0.88,61.46,0.17,0.22,-0.04,33.21,31.46,29.71,-0.01,7014661.0,9304153.05
1999-12-03,32.54,33.03,32.39,32.6,8516644,31.61,31.58,,1.24,0.78,0.87,55.25,0.24,0.22,0.02,33.31,31.58,29.84,0.02,8350295.6,9130383.0
1999-12-06,32.54,32.93,32.29,32.58,7038629,32.0,31.66,,0.64,0.77,0.88,49.81,0.29,0.24,0.05,33.42,31.66,29.89,0.01,8131416.2,8992891.9
1999-12-07,32.81,33.14,32.39,32.93,9625836,32.31,31.78,,0.75,0.75,0.88,48.85,0.35,0.26,0.09,33.54,31.78,30.02,0.03,7990836.4,8955454.9
1999-12-08,32.85,33.24,32.54,32.81,6586650,32.54,31.91,,0.7,0.73,0.83,58.93,0.39,0.28,0.1,33.57,31.91,30.24,0.02,7695137.0,8666969.3
1999-12-09,32.81,33.74,32.81,33.12,10692569,32.81,32.06,,0.93,0.75,0.75,61.18,0.44,0.31,0.12,33.57,32.06,30.55,0.04,8492065.6,8617790.65
1999-12-10,33.53,35.0,33.39,34.77,13009077,33.24,32.29,,1.88,0.85,0.85,71.41,0.6,0.37,0.23,33.99,32.29,30.59,0.1,9390552.2,8699846.3
1999-12-13,34.9,34.9,34.09,34.46,9879974,33.62,32.41,,0.81,0.87,0.97,68.63,0.7,0.44,0.26,34.36,32.41,30.46,0.13,9958821.2,8563014.55
1999-12-14,33.88,34.05,33.26,33.26,8915221,33.68,32.44,,1.2,0.91,0.99,57.07,0.67,0.48,0.19,34.43,32.44,30.46,0.06,9816698.2,8440184.4
1999-12-15,33.16,33.37,32.76,32.78,8728961,33.68,32.43,,0.61,0.92,0.98,57.14,0.6,0.51,0.09,34.4,32.43,30.46,0.04,10245160.4,8140423.55
1999-12-16,32.58,32.58,31.42,31.62,13484860,33.38,32.41,,1.36,0.99,1.0,50.0,0.45,0.5,-0.05,34.41,32.41,30.41,-0.01,10803618.6,8453880.55
1999-12-17,32.08,32.37,31.79,32.15,15333300,32.85,32.41,,0.75,0.97,1.0,59.38,0.37,0.47,-0.1,34.41,32.41,30.42,-0.01,11268463.2,8690493.25
1999-12-20,32.43,32.66,31.73,32.16,7405841,32.39,32.41,,0.93,0.95,1.0,55.42,0.3,0.44,-0.14,34.41,32.41,30.42,-0.01,10773636.6,8748325.5
1999-12-21,31.87,33.14,31.67,32.7,12183772,32.28,32.45,,1.47,0.99,0.99,56.77,0.29,0.41,-0.12,34.44,32.45,30.46,-0.01,11427346.8,9035926.35
1999-12-22,32.66,32.81,32.2,32.2,4356680,32.17,32.45,,0.61,0.99,0.99,52.57,0.23,0.37,-0.14,34.44,32.45,30.46,-0.02,10552890.6,8802675.45
1999-12-23,32.2,33.12,32.2,33.01,4774559,32.44,32.51,,0.92,0.97,0.99,52.57,0.25,0.35,-0.1,34.48,32.51,30.54,-0.0,8810830.4,8780293.9
1999-12-27,33.01,33.68,32.81,32.81,4979155,32.58,32.57,,0.87,0.98,0.97,51.41,0.25,0.33,-0.08,34.5,32.57,30.64,-0.06,6740001.4,8937328.1
1999-12-28,32.91,33.92,32.87,33.53,6333640,32.85,32.72,,1.11,1.01,0.87,53.51,0.3,0.32,-0.02,34.46,32.72,30.97,-0.03,6525561.2,8847358.8
1999-12-29,33.68,34.48,33.66,34.3,5194044,33.17,32.86,,0.95,1.03,0.88,58.11,0.4,0.34,0.06,34.62,32.86,31.1,0.03,5127615.6,8590624.25
1999-12-30,34.3,34.82,34.15,34.36,4808172,33.6,33.0,,0.67,1.01,0.89,56.94,0.48,0.37,0.11,34.78,33.0,31.21,0.05,5217914.0,8427775.5
1999-12-31,34.3,34.82,34.3,34.46,1873697,33.89,33.13,,0.52,0.91,0.9,47.9,0.54,0.4,0.14,34.94,33.13,31.33,0.09,4637741.6,8186064.05
2000-01-03,34.09,34.09,32.33,32.59,10408677,33.85,33.13,,2.13,1.01,0.9,39.55,0.44,0.41,0.03,34.94,33.13,31.32,0.01,5723646.0,8280665.7
2000-01-04,32.18,32.31,30.9,31.36,16793626,33.41,33.07,,1.69,1.04,0.98,39.42,0.25,0.38,-0.13,35.03,33.07,31.11,-0.02,7815643.2,8768415.55
2000-01-05,31.24,31.78,30.97,31.19,13886293,32.79,32.98,,0.81,1.06,1.07,40.83,0.09,0.32,-0.23,35.11,32.98,30.85,-0.05,9554093.0,8981438.4
2000-01-06,30.2,31.63,30.2,31.19,17652012,32.16,32.9,,1.43,1.06,1.14,47.14,-0.04,0.25,-0.29,35.18,32.9,30.62,-0.03,12122861.0,9534706.5
2000-01-07,31.3,31.86,30.82,31.63,9662684,31.59,32.83,,1.04,1.08,1.17,46.5,-0.11,0.18,-0.28,35.17,32.83,30.48,-0.04,13680658.4,9483212.25
2000-01-10,31.75,32.5,31.53,32.09,7879797,31.49,32.69,,0.97,1.08,1.09,49.56,-0.12,0.12,-0.24,34.87,32.69,30.51,-0.02,13174882.4,9226748.25
2000-01-11,32.05,33.21,31.92,32.38,11496798,31.7,32.59,,1.29,1.07,1.01,47.9,-0.1,0.07,-0.18,34.6,32.59,30.57,-0.03,12115516.8,9307589.45
2000-01-12,32.36,32.98,31.84,32.21,9342276,31.9,32.54,,1.14,1.11,1.0,50.07,-0.1,0.04,-0.14,34.53,32.54,30.54,-0.06,11206713.4,9328942.2
2000-01-13,32.48,32.85,32.02,32.38,9364921,32.14,32.52,,0.83,1.1,1.0,45.26,-0.09,0.01,-0.1,34.51,32.52,30.52,-0.06,9549295.2,9360740.2
2000-01-14,32.77,33.44,32.73,33.1,10103065,32.43,32.59,,1.06,1.12,0.98,52.02,-0.02,0.01,-0.03,34.55,32.59,30.63,-0.04,9637371.4,9191650.45
2000-01-18,32.79,32.79,31.44,31.46,9423862,32.31,32.56,,1.66,1.16,1.01,37.21,-0.1,-0.02,-0.08,34.57,32.56,30.54,-0.03,9946184.4,8896178.55
2000-01-19,31.86,32.13,30.88,30.9,10613950,32.01,32.49,,1.25,1.18,1.07,28.43,-0.2,-0.05,-0.15,34.64,32.49,30.35,-0.01,9769614.8,9056584.0
2000-01-20,31.19,32.09,30.8,31.42,18166111,31.85,32.43,,1.29,1.22,1.1,32.37,-0.24,-0.09,-0.15,34.62,32.43,30.23,0.01,11534381.8,9355700.95
2000-01-21,31.75,31.92,31.32,31.48,10135506,31.67,32.39,,0.6,1.23,1.12,32.05,-0.26,-0.12,-0.14,34.63,32.39,30.16,0.01,11688498.8,9644642.25
