date,open,high,low,close,volume,ma_5,ma_20,ma_90,tr,atr_14,close_std_20,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,roc_10,volume_sma_5,volume_sma_20
1999-11-01,28.58,28.86,28.18,28.66,9424656,,,,0.68,,,,0.0,0.0,0.0,,,,,,
1999-11-02,27.61,28.06,27.22,27.86,10216610,,,,1.44,,,,-0.06,-0.01,-0.05,,,,,,
1999-11-03,27.29,28.34,27.13,27.78,8876860,,,,1.21,,,,-0.12,-0.03,-0.09,,,,,,
1999-11-04,27.7,28.22,27.65,27.86,4249395,,,,0.57,,,,-0.16,-0.06,-0.1,,,,,,
1999-11-05,28.58,28.86,28.3,28.46,5669337,28.12,,,1.0,,,,-0.13,-0.07,-0.06,,,,,7687371.6,
1999-11-08,28.26,28.82,28.1,28.38,4497289,28.07,,,0.72,,,,-0.12,-0.08,-0.04,,,,,6701898.2,
1999-11-09,28.31,28.55,26.5,26.7,10545507,27.84,,,2.05,,,,-0.24,-0.12,-0.13,,,,,6767677.6,
1999-11-10,26.58,27.26,26.38,26.9,9045302,27.66,,,0.88,,,,-0.32,-0.16,-0.17,,,,,6801366.0,
1999-11-11,26.66,27.03,26.5,26.5,5214946,27.39,,,0.53,,,,-0.41,-0.21,-0.2,,,,,6994476.2,
1999-11-12,26.62,26.7,26.3,26.62,5732654,27.02,,,0.4,,,,-0.47,-0.26,-0.21,,,,,7007139.6,
1999-11-15,26.1,26.34,25.65,25.86,8141020,26.52,,,0.97,,,,-0.57,-0.32,-0.25,,,,-0.1,7735885.8,
1999-11-16,25.94,26.83,25.9,26.66,6818351,26.51,,,0.97,,,,-0.57,-0.37,-0.2,,,,-0.04,6990454.6,
1999-11-17,26.58,27.55,26.58,27.42,5255295,26.61,,,0.97,,,,-0.51,-0.4,-0.11,,,,-0.01,6232453.2,
1999-11-18,27.63,28.07,27.55,27.71,5021891,26.85,,,0.65,0.93,,,-0.43,-0.41,-0.03,,,,-0.01,6193842.2,
1999-11-19,27.83,28.35,27.79,28.15,5054481,27.16,,,0.64,0.93,,46.4,-0.33,-0.39,0.06,,,,-0.01,6058207.6,
1999-11-22,28.03,28.03,26.86,26.99,5202065,27.39,,,1.29,0.92,,44.16,-0.34,-0.38,0.04,,,,-0.05,5470416.6,
1999-11-23,26.99,27.03,26.38,26.9,4358617,27.43,,,0.65,0.88,,44.1,-0.36,-0.38,0.02,,,,0.01,4978469.8,
1999-11-24,26.58,26.7,26.22,26.46,3243434,27.24,,,0.68,0.89,,41.05,-0.4,-0.38,-0.01,,,,-0.02,4576097.6,
1999-11-26,26.42,26.5,26.26,26.46,1659117,26.99,,,0.24,0.83,,36.15,-0.42,-0.39,-0.03,,,,-0.0,3903542.8,
1999-11-29,26.3,26.46,25.94,26.34,3472182,26.63,27.23,,0.52,0.82,0.82,35.95,-0.45,-0.4,-0.05,28.87,27.23,25.6,-0.01,3587083.0,6084950.45
1999-11-30,26.18,26.54,26.02,26.18,4830855,26.47,27.11,,0.52,0.71,0.78,45.47,-0.48,-0.42,-0.06,28.67,27.11,25.55,0.01,3512841.0,5855260.4
1999-12-01,26.1,27.15,26.06,26.74,5255605,26.44,27.05,,1.09,0.72,0.76,48.69,-0.45,-0.42,-0.02,28.58,27.05,25.53,0.0,3692238.6,5607210.15
1999-12-02,26.74,26.78,25.7,25.86,5027789,26.32,26.96,,1.08,0.76,0.79,45.14,-0.49,-0.44,-0.05,28.53,26.96,25.39,-0.06,4049109.6,5414756.6
1999-12-03,25.78,26.02,25.54,26.02,5933002,26.23,26.87,,0.48,0.77,0.78,45.47,-0.5,-0.45,-0.06,28.43,26.87,25.3,-0.06,4903886.6,5498936.95
1999-12-06,25.78,25.81,24.77,24.85,6411447,25.93,26.68,,1.25,0.79,0.81,42.82,-0.6,-0.48,-0.12,28.31,26.68,25.06,-0.12,5491739.6,5536042.45
1999-12-07,24.89,24.93,24.41,24.45,5383946,25.58,26.49,,0.52,0.76,0.85,33.33,-0.71,-0.53,-0.18,28.2,26.49,24.78,-0.09,5602357.8,5580375.3
1999-12-08,24.33,24.49,23.88,24.0,8540319,25.04,26.35,,0.61,0.73,1.02,22.94,-0.82,-0.58,-0.23,28.39,26.35,24.32,-0.11,6259300.6,5480115.9
1999-12-09,24.65,25.49,24.09,24.36,9530886,24.74,26.23,,1.49,0.79,1.1,23.79,-0.86,-0.64,-0.22,28.43,26.23,24.03,-0.08,7159920.0,5504395.1
1999-12-10,24.65,25.54,24.53,25.21,5726446,24.57,26.16,,1.18,0.83,1.12,28.38,-0.82,-0.68,-0.15,28.4,26.16,23.92,-0.05,7118608.8,5529970.1
1999-12-13,25.05,25.17,24.49,24.61,5922138,24.53,26.06,,0.72,0.79,1.17,30.93,-0.83,-0.71,-0.12,28.39,26.06,23.73,-0.07,7020747.0,5539444.3
1999-12-14,24.49,24.85,24.0,24.81,7433517,24.6,26.01,,0.85,0.8,1.2,33.54,-0.81,-0.73,-0.08,28.41,26.01,23.61,-0.05,7430661.2,5504069.15
1999-12-15,25.45,26.14,24.93,24.97,9640759,24.79,25.92,,1.33,0.85,1.21,37.73,-0.77,-0.74,-0.03,28.34,25.92,23.5,-0.07,7650749.2,5645189.55
1999-12-16,25.05,25.65,24.89,25.58,6737963,25.04,25.83,,0.76,0.89,1.16,43.41,-0.68,-0.73,0.04,28.15,25.83,23.51,-0.01,7092164.6,5719322.95
1999-12-17,25.58,25.78,24.61,24.69,9247978,24.93,25.68,,1.17,0.93,1.1,38.93,-0.68,-0.72,0.04,27.88,25.68,23.49,-0.05,7796471.0,5930627.3
1999-12-20,24.65,25.29,24.41,24.75,4944763,24.96,25.51,,0.88,0.96,0.95,40.27,-0.66,-0.71,0.04,27.41,25.51,23.62,-0.0,7600996.0,5925141.4
1999-12-21,24.93,25.09,24.65,24.93,5332113,24.98,25.41,,0.44,0.91,0.89,37.02,-0.63,-0.69,0.06,27.19,25.41,23.63,0.02,7180715.2,5931643.8
1999-12-22,25.45,25.74,25.05,25.38,5771606,25.07,25.33,,0.81,0.89,0.82,46.33,-0.56,-0.66,0.11,26.97,25.33,23.7,0.06,6406884.6,6002293.25
1999-12-23,26.02,26.62,25.94,26.54,6250517,25.26,25.34,,1.24,0.95,0.82,53.45,-0.4,-0.61,0.21,26.98,25.34,23.69,0.09,6309395.4,6152647.4
1999-12-27,26.5,27.03,26.42,26.7,4224379,25.66,25.35,,0.61,0.9,0.84,64.17,-0.26,-0.54,0.28,27.03,25.35,23.67,0.06,5304675.6,6280910.5
