date,open,high,low,close,volume,ma_5,ma_20,ma_90,tr,atr_14,close_std_20,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,roc_10,volume_sma_5,volume_sma_20
1999-11-01,14.41,14.57,14.17,14.23,6598630,,,,0.4,,,,0.0,0.0,0.0,,,,,,
1999-11-02,14.43,14.86,14.38,14.6,5983643,,,,0.63,,,,0.03,0.01,0.02,,,,,,
1999-11-03,14.78,14.98,14.64,14.75,6931844,,,,0.38,,,,0.06,0.02,0.05,,,,,,
1999-11-04,14.78,14.8,14.18,14.21,4035034,,,,0.62,,,,0.05,0.02,0.02,,,,,,
1999-11-05,14.33,14.59,14.13,14.26,5407045,14.41,,,0.46,,,,0.04,0.03,0.01,,,,,5791239.2,
1999-11-08,14.12,14.28,13.92,14.08,3325227,14.38,,,0.36,,,,0.02,0.02,-0.01,,,,,5136558.6,
1999-11-09,14.08,14.1,13.91,14.04,4031195,14.27,,,0.19,,,,-0.0,0.02,-0.02,,,,,4746069.0,
1999-11-10,14.04,14.17,13.92,14.0,2764369,14.12,,,0.25,,,,-0.02,0.01,-0.03,,,,,3912574.0,
1999-11-11,14.0,14.33,13.87,14.33,4385906,14.14,,,0.46,,,,-0.01,0.01,-0.02,,,,,3982748.4,
1999-11-12,14.1,14.44,13.86,14.33,6152553,14.16,,,0.58,,,,-0.0,0.0,-0.01,,,,,4131850.0,
1999-11-15,14.44,14.65,14.13,14.47,5173642,14.23,,,0.52,,,,0.01,0.01,0.01,,,,0.02,4501533.0,
1999-11-16,14.49,15.03,14.49,14.8,6377895,14.39,,,0.56,,,,0.05,0.02,0.04,,,,0.01,4970873.0,
1999-11-17,14.77,14.86,14.43,14.43,4009314,14.47,,,0.43,,,,0.06,0.02,0.03,,,,-0.02,5219862.0,
1999-11-18,14.43,14.75,14.41,14.57,3828887,14.52,,,0.34,0.44,,,0.07,0.03,0.04,,,,0.03,5108458.2,
1999-11-19,13.42,13.68,12.76,12.81,28692466,14.22,,,1.81,0.54,,34.01,-0.06,0.01,-0.08,,,,-0.1,9616440.8,
1999-11-22,12.63,13.27,12.47,13.09,15771988,13.94,,,0.8,0.55,,32.64,-0.14,-0.02,-0.13,,,,-0.07,11736110.0,
1999-11-23,13.09,13.09,12.75,13.07,6937986,13.59,,,0.34,0.55,,30.09,-0.21,-0.06,-0.15,,,,-0.07,11848128.2,
1999-11-24,12.76,12.84,12.54,12.65,7974480,13.24,,,0.53,0.54,,30.98,-0.29,-0.1,-0.19,,,,-0.1,12641161.4,
1999-11-26,12.55,12.58,12.41,12.54,3407379,12.83,,,0.24,0.53,,29.33,-0.36,-0.15,-0.2,,,,-0.12,12556859.8,
1999-11-29,12.37,12.44,12.03,12.03,7593281,12.68,13.86,,0.51,0.54,0.84,27.17,-0.45,-0.21,-0.23,15.54,13.86,12.19,-0.16,8337022.8,6969138.2
1999-11-30,11.89,12.55,11.89,12.08,9311942,12.47,13.76,,0.66,0.57,0.92,28.22,-0.51,-0.27,-0.24,15.6,13.76,11.92,-0.17,7045013.6,7104803.8
