date,open,high,low,close,volume,ma_5,ma_20,ma_90,tr,atr_14,close_std_20,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,roc_10,volume_sma_5,volume_sma_20
2004-06-23,3.72,4.29,3.66,4.27,43893367,,,,0.63,,,,0.0,0.0,0.0,,,,,,
2004-06-24,4.36,4.39,4.1,4.16,8952255,,,,0.29,,,,-0.01,-0.0,-0.01,,,,,,
2004-06-25,4.1,4.16,3.92,3.92,6759118,,,,0.24,,,,-0.03,-0.01,-0.03,,,,,,
2004-06-28,3.97,4.02,3.83,3.97,2287422,,,,0.19,,,,-0.05,-0.02,-0.03,,,,,,
2004-06-29,3.97,4.14,3.93,4.07,2127460,4.08,,,0.21,,,,-0.05,-0.02,-0.03,,,,,12803924.4,
2004-06-30,4.07,4.2,3.98,3.99,2102881,4.02,,,0.22,,,,-0.06,-0.03,-0.03,,,,,4445827.2,
2004-07-01,3.99,4.02,3.95,3.98,1767645,3.99,,,0.07,,,,-0.07,-0.04,-0.03,,,,,3008905.2,
2004-07-02,4.0,4.21,3.98,4.21,1000470,4.04,,,0.23,,,,-0.06,-0.04,-0.01,,,,,1857175.6,
2004-07-06,4.2,4.22,4.09,4.22,1225707,4.09,,,0.13,,,,-0.04,-0.04,-0.0,,,,,1644832.6,
2004-07-07,4.19,4.19,3.98,4.05,1800685,4.09,,,0.24,,,,-0.05,-0.04,-0.0,,,,,1579477.6,
2004-07-08,4.05,4.05,3.89,3.91,2195152,4.07,,,0.16,,,,-0.06,-0.05,-0.01,,,,-0.08,1597931.8,
2004-07-09,3.96,4.11,3.95,4.07,601169,4.09,,,0.2,,,,-0.06,-0.05,-0.01,,,,-0.02,1364636.6,
2004-07-12,4.12,4.18,4.01,4.16,786515,4.08,,,0.17,,,,-0.05,-0.05,0.0,,,,0.06,1321845.6,
2004-07-13,4.15,4.15,3.99,3.99,1686254,4.04,,,0.17,0.22,,,-0.05,-0.05,-0.0,,,,0.01,1413955.0,
2004-07-14,3.98,3.98,3.87,3.88,2383319,4.0,,,0.12,0.19,,38.32,-0.07,-0.05,-0.01,,,,-0.05,1530481.8,
2004-07-15,3.91,3.92,3.71,3.81,1819220,3.98,,,0.21,0.18,,39.26,-0.08,-0.06,-0.02,,,,-0.05,1455295.4,
2004-07-16,3.82,4.07,3.71,3.97,3302801,3.96,,,0.36,0.19,,51.61,-0.08,-0.06,-0.01,,,,-0.0,1995621.8,
2004-07-19,3.98,4.01,3.93,3.97,961789,3.92,,,0.08,0.18,,50.0,-0.07,-0.06,-0.01,,,,-0.06,2030676.6,
2004-07-20,3.97,4.02,3.85,3.99,2261635,3.92,,,0.17,0.18,,47.18,-0.07,-0.07,-0.0,,,,-0.05,2145752.8,
2004-07-21,4.0,4.0,2.74,2.9,25601241,3.73,3.97,,1.26,0.25,0.28,27.57,-0.15,-0.08,-0.07,4.54,3.97,3.41,-0.28,6789337.2,5675805.25
2004-07-22,2.87,3.27,2.8,3.22,9896718,3.61,3.92,,0.47,0.28,0.32,36.13,-0.19,-0.1,-0.09,4.56,3.92,3.29,-0.18,8404836.8,3975972.8
2004-07-23,3.21,3.35,3.16,3.24,1686657,3.46,3.88,,0.19,0.28,0.35,30.83,-0.22,-0.13,-0.09,4.57,3.88,3.18,-0.2,8081608.0,3612692.9
2004-07-26,3.36,3.36,3.2,3.3,1295414,3.33,3.84,,0.16,0.28,0.37,32.17,-0.23,-0.15,-0.08,4.58,3.84,3.11,-0.21,8148333.0,3339507.7
2004-07-27,3.32,3.33,3.25,3.26,756699,3.18,3.81,,0.08,0.27,0.39,33.88,-0.24,-0.17,-0.07,4.59,3.81,3.03,-0.18,7847345.8,3262971.55
2004-07-28,3.24,3.28,3.13,3.22,1546035,3.25,3.77,,0.15,0.27,0.41,35.32,-0.25,-0.18,-0.07,4.58,3.77,2.95,-0.17,3036304.6,3233900.3
2004-07-29,3.23,3.31,3.21,3.22,914647,3.25,3.73,,0.1,0.26,0.42,30.59,-0.25,-0.2,-0.06,4.57,3.73,2.89,-0.15,1239890.4,3174488.6
2004-07-30,3.22,3.28,3.11,3.23,821167,3.25,3.69,,0.17,0.26,0.43,27.96,-0.25,-0.21,-0.04,4.55,3.69,2.83,-0.19,1066792.4,3127164.7
2004-08-02,3.22,3.25,3.12,3.18,1307098,3.22,3.64,,0.13,0.26,0.43,29.65,-0.25,-0.22,-0.04,4.49,3.64,2.79,-0.2,1069129.2,3142496.1
2004-08-03,3.18,3.25,2.98,3.01,2965953,3.17,3.58,,0.27,0.27,0.43,28.78,-0.26,-0.23,-0.04,4.43,3.58,2.73,-0.25,1510980.0,3229508.4
2004-08-04,3.01,3.02,2.97,2.97,2766907,3.12,3.52,,0.05,0.26,0.43,29.21,-0.27,-0.23,-0.04,4.39,3.52,2.66,0.02,1755154.4,3277819.5
2004-08-05,2.98,2.98,2.65,2.71,3052583,3.02,3.46,,0.33,0.26,0.46,20.28,-0.3,-0.25,-0.05,4.38,3.46,2.55,-0.16,2182741.6,3320691.05
2004-08-06,2.71,2.73,2.66,2.67,1810356,2.91,3.39,,0.07,0.26,0.47,19.91,-0.32,-0.26,-0.06,4.33,3.39,2.46,-0.18,2380579.4,3381150.4
2004-08-09,2.72,2.74,2.7,2.73,1129810,2.82,3.32,,0.07,0.25,0.45,21.36,-0.32,-0.27,-0.05,4.23,3.32,2.42,-0.17,2345121.8,3398315.15
2004-08-10,2.73,2.74,2.7,2.73,738567,2.76,3.26,,0.04,0.16,0.44,42.34,-0.32,-0.28,-0.04,4.15,3.26,2.37,-0.16,1899644.6,3350930.8
2004-08-11,2.72,2.72,2.63,2.64,633000,2.7,3.2,,0.1,0.14,0.44,17.05,-0.33,-0.29,-0.04,4.08,3.2,2.32,-0.18,1472863.2,3263414.85
2004-08-12,2.66,2.66,2.46,2.48,1589551,2.65,3.13,,0.2,0.14,0.44,12.75,-0.34,-0.3,-0.04,4.02,3.13,2.25,-0.23,1180256.8,3251931.4
2004-08-13,2.48,2.49,2.35,2.38,2514271,2.59,3.05,,0.14,0.14,0.43,6.6,-0.36,-0.31,-0.04,3.9,3.05,2.2,-0.26,1321039.8,3212504.9
2004-08-16,2.38,2.44,2.23,2.41,2187093,2.53,2.97,,0.21,0.15,0.39,9.52,-0.36,-0.32,-0.04,3.76,2.97,2.19,-0.24,1532496.4,3273770.1
2004-08-17,2.45,2.73,2.45,2.72,2989726,2.53,2.91,,0.32,0.16,0.31,31.06,-0.33,-0.32,-0.01,3.53,2.91,2.29,-0.1,1982728.2,3310174.65
2004-08-18,2.71,3.02,2.65,2.97,1710027,2.59,2.91,,0.37,0.18,0.31,42.04,-0.29,-0.32,0.03,3.54,2.91,2.29,0.0,2198133.6,2115613.95
2004-08-19,2.97,3.04,2.9,3.02,1319186,2.7,2.9,,0.14,0.17,0.3,43.48,-0.25,-0.3,0.05,3.51,2.9,2.29,0.11,2144060.6,1686737.35
2004-08-20,3.1,3.28,2.95,3.13,4064335,2.85,2.9,,0.33,0.19,0.3,48.5,-0.21,-0.28,0.08,3.5,2.9,2.3,0.17,2454073.4,1805621.25
2004-08-23,3.15,3.21,3.07,3.1,1135854,2.99,2.89,,0.14,0.18,0.29,52.94,-0.17,-0.26,0.09,3.47,2.89,2.31,0.14,2243825.6,1797643.25
2004-08-24,3.13,3.17,3.08,3.17,1080250,3.08,2.88,,0.09,0.18,0.28,56.41,-0.14,-0.24,0.1,3.45,2.88,2.32,0.16,1861930.4,1813820.8
2004-08-25,3.18,3.24,3.1,3.22,1209590,3.13,2.88,,0.14,0.17,0.28,68.89,-0.1,-0.21,0.11,3.45,2.88,2.32,0.22,1761843.0,1796998.55
2004-08-26,3.22,3.23,3.18,3.2,474649,3.16,2.88,,0.05,0.17,0.28,69.92,-0.08,-0.18,0.11,3.45,2.88,2.32,0.29,1592935.6,1774998.65
2004-08-27,3.23,3.28,3.2,3.26,466994,3.19,2.88,,0.08,0.17,0.28,69.92,-0.05,-0.16,0.1,3.45,2.88,2.32,0.37,873467.4,1757290.0
2004-08-30,3.28,3.29,3.24,3.27,610436,3.22,2.89,,0.05,0.17,0.29,70.15,-0.03,-0.13,0.1,3.47,2.89,2.31,0.36,768383.8,1722456.9
2004-08-31,3.28,3.29,3.15,3.23,880801,3.24,2.9,,0.14,0.17,0.3,72.87,-0.02,-0.11,0.09,3.5,2.9,2.3,0.19,728494.0,1618199.3
2004-09-01,3.28,3.31,3.27,3.31,516554,3.25,2.92,,0.08,0.16,0.31,84.3,-0.0,-0.09,0.09,3.54,2.92,2.29,0.11,589886.8,1505681.65
2004-09-02,3.3,3.47,3.3,3.45,1006111,3.3,2.95,,0.17,0.16,0.33,92.8,0.02,-0.07,0.09,3.61,2.95,2.3,0.14,696179.2,1403358.05
2004-09-03,3.45,3.46,3.38,3.41,930764,3.33,2.99,,0.08,0.16,0.34,89.68,0.04,-0.04,0.08,3.67,2.99,2.32,0.09,788933.2,1359378.45
2004-09-07,3.42,3.42,3.33,3.33,1200725,3.35,3.02,,0.09,0.14,0.34,79.61,0.05,-0.03,0.07,3.7,3.02,2.34,0.07,906991.0,1362924.2
2004-09-08,3.31,3.31,3.26,3.29,554026,3.36,3.05,,0.07,0.12,0.34,69.51,0.05,-0.01,0.06,3.72,3.05,2.38,0.04,841636.0,1353697.15
2004-09-09,3.29,3.3,3.22,3.27,2547714,3.35,3.08,,0.08,0.11,0.33,65.82,0.04,-0.0,0.05,3.73,3.08,2.43,0.02,1247868.0,1449432.85
2004-09-10,3.26,3.55,3.26,3.54,2815661,3.37,3.13,,0.29,0.11,0.31,71.58,0.06,0.01,0.05,3.75,3.13,2.52,0.11,1609778.0,1510738.35
2004-09-13,3.57,3.85,3.57,3.77,4377007,3.44,3.2,,0.31,0.12,0.29,79.13,0.1,0.03,0.07,3.78,3.2,2.63,0.16,2299026.6,1603875.15
2004-09-14,3.77,3.99,3.72,3.95,2067021,3.56,3.28,,0.27,0.14,0.27,80.95,0.14,0.05,0.09,3.82,3.28,2.74,0.21,2472285.8,1597871.55
2004-09-15,3.95,4.25,3.9,4.06,4177558,3.72,3.35,,0.35,0.15,0.29,81.82,0.18,0.08,0.1,3.92,3.35,2.77,0.26,3196992.2,1657263.15
2004-09-16,4.06,4.09,3.99,4.04,2536835,3.87,3.4,,0.1,0.15,0.31,81.82,0.2,0.1,0.1,4.02,3.4,2.78,0.22,3194816.4,1698603.55
2004-09-17,4.02,4.02,3.68,3.89,4520449,3.94,3.44,,0.36,0.17,0.32,72.34,0.21,0.12,0.09,4.08,3.44,2.81,0.13,3535774.0,1858666.7
2004-09-20,3.91,4.0,3.89,3.97,601572,3.98,3.49,,0.11,0.18,0.33,73.65,0.22,0.14,0.08,4.14,3.49,2.83,0.16,2780687.0,1685528.55
2004-09-21,3.98,4.19,3.98,4.06,2344235,4.0,3.53,,0.22,0.18,0.34,77.12,0.23,0.16,0.07,4.21,3.53,2.86,0.22,2836129.8,1745947.6
2004-09-22,4.05,4.05,3.92,3.99,2092002,3.99,3.58,,0.14,0.19,0.34,72.37,0.23,0.17,0.06,4.26,3.58,2.89,0.21,2419018.6,1796535.2
2004-09-23,3.99,3.99,3.88,3.9,1125781,3.96,3.61,,0.11,0.18,0.34,65.31,0.22,0.18,0.04,4.29,3.61,2.93,0.19,2136807.8,1792344.75
