date,open,high,low,close,volume,ma_5,ma_20,ma_90,tr,atr_14,close_std_20,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,roc_10,volume_sma_5,volume_sma_20
1999-11-01,24.03,24.36,23.83,24.0,47702481,,,,0.53,,,,0.0,0.0,0.0,,,,,,
1999-11-02,24.2,24.53,23.93,24.2,50525322,,,,0.6,,,,0.02,0.0,0.01,,,,,,
1999-11-03,24.36,24.47,23.4,23.54,72469004,,,,1.07,,,,-0.02,-0.0,-0.02,,,,,,
1999-11-04,24.0,24.24,23.01,23.05,96855563,,,,1.23,,,,-0.09,-0.02,-0.07,,,,,,
1999-11-05,23.6,24.2,23.54,24.18,66657488,23.79,,,1.15,,,,-0.06,-0.03,-0.03,,,,,66841971.6,
1999-11-08,24.2,25.0,24.12,24.8,76158985,23.95,,,0.88,,,,0.02,-0.02,0.04,,,,,72533272.4,
1999-11-09,25.17,25.19,24.24,24.63,85705131,24.04,,,0.95,,,,0.07,-0.0,0.07,,,,,79569234.2,
1999-11-10,25.41,26.24,25.41,26.17,127842419,24.57,,,1.61,,,,0.23,0.04,0.18,,,,,90643917.2,
1999-11-11,26.3,27.72,26.24,27.57,84144884,25.47,,,1.55,,,,0.46,0.13,0.33,,,,,88101781.4,
1999-11-12,27.8,27.8,26.5,27.47,62800456,26.13,,,1.3,,,,0.63,0.23,0.4,,,,,87330375.0,
1999-11-15,27.51,27.57,26.96,27.26,38489524,26.62,,,0.61,,,,0.74,0.33,0.41,,,,0.14,79796482.8,
1999-11-16,27.45,27.99,27.29,27.82,56297049,27.26,,,0.73,,,,0.86,0.44,0.43,,,,0.15,73914866.4,
1999-11-17,27.99,28.38,27.82,27.9,57907411,27.6,,,0.56,,,,0.95,0.54,0.41,,,,0.19,59927864.8,
1999-11-18,28.31,28.97,27.99,28.95,46291972,27.88,,,1.07,0.99,,,1.1,0.65,0.45,,,,0.26,52357282.4,
1999-11-19,28.87,29.18,28.56,29.02,53638829,28.19,,,0.62,0.99,,80.31,1.21,0.76,0.44,,,,0.2,50524957.0,
1999-11-22,29.04,29.1,28.52,28.81,41343952,28.5,,,0.58,0.99,,77.8,1.26,0.86,0.4,,,,0.16,51095842.6,
1999-11-23,29.38,29.47,28.81,29.14,73052160,28.76,,,0.66,0.96,,85.18,1.31,0.95,0.36,,,,0.18,54446864.8,
1999-11-24,29.51,30.93,29.35,30.44,74662521,29.27,,,1.79,1.0,,92.13,1.44,1.05,0.39,,,,0.16,57797886.8,
1999-11-26,31.36,31.4,30.56,30.68,36966636,29.62,,,0.96,0.99,,91.24,1.55,1.15,0.4,,,,0.11,55932819.6,
1999-11-29,30.91,31.44,30.5,30.54,70983170,29.92,27.01,,0.94,0.99,2.51,88.78,1.6,1.24,0.36,32.02,27.01,22.0,0.11,59401687.8,66024747.85
1999-11-30,30.5,30.5,29.1,29.37,66111690,30.03,27.28,,1.44,1.03,2.45,78.21,1.53,1.3,0.23,32.18,27.28,22.37,0.08,64355235.4,66945208.3
1999-12-01,29.76,30.21,29.37,30.11,60050510,30.23,27.57,,0.84,0.97,2.42,75.92,1.52,1.34,0.18,32.41,27.57,22.74,0.08,61754905.4,67421467.7
1999-12-02,30.58,30.87,30.11,30.78,59828486,30.3,27.93,,0.76,0.92,2.32,73.36,1.55,1.38,0.16,32.58,27.93,23.29,0.1,58788098.4,66789441.8
1999-12-03,31.24,31.94,31.18,31.46,75621084,30.45,28.36,,1.16,0.91,2.15,76.78,1.6,1.43,0.18,32.65,28.36,24.06,0.09,66518988.0,65727717.85
1999-12-06,31.61,32.56,31.38,32.35,55962950,30.81,28.76,,1.18,0.95,2.09,81.3,1.7,1.48,0.22,32.94,28.76,24.59,0.11,63514944.0,65192990.95
