date,open,high,low,close,volume,ma_5,ma_20,ma_90,tr,atr_14,close_std_20,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,roc_10,volume_sma_5,volume_sma_20
1999-11-01,17.45,17.8,17.45,17.62,7188814,,,,0.35,,,,0.0,0.0,0.0,,,,,,
1999-11-02,17.58,17.6,17.08,17.1,8214231,,,,0.54,,,,-0.04,-0.01,-0.03,,,,,,
1999-11-03,17.33,17.33,17.03,17.16,6354885,,,,0.3,,,,-0.07,-0.02,-0.05,,,,,,
1999-11-04,17.16,17.18,16.95,17.01,6521463,,,,0.23,,,,-0.1,-0.04,-0.06,,,,,,
1999-11-05,17.1,17.15,16.48,16.48,8120823,17.07,,,0.67,,,,-0.17,-0.06,-0.11,,,,,7280043.2,
1999-11-08,16.61,17.22,16.61,17.22,7512630,16.99,,,0.74,,,,-0.16,-0.08,-0.08,,,,,7344806.4,
1999-11-09,17.27,17.4,17.05,17.2,6301953,17.01,,,0.35,,,,-0.15,-0.1,-0.06,,,,,6962350.8,
1999-11-10,17.21,17.71,17.21,17.64,8863419,17.11,,,0.51,,,,-0.11,-0.1,-0.01,,,,,7464057.6,
1999-11-11,17.63,17.63,17.31,17.44,7912729,17.2,,,0.33,,,,-0.09,-0.1,0.01,,,,,7742310.8,
1999-11-12,17.39,17.81,17.2,17.61,7526641,17.42,,,0.61,,,,-0.06,-0.09,0.03,,,,,7623474.4,
1999-11-15,17.61,17.72,17.45,17.61,4368918,17.5,,,0.27,,,,-0.04,-0.08,0.04,,,,-0.0,6994732.0,
1999-11-16,17.67,18.07,17.67,18.05,6931422,17.67,,,0.46,,,,0.02,-0.06,0.08,,,,0.06,7120625.8,
1999-11-17,18.15,18.81,18.14,18.73,15332011,17.89,,,0.76,,,,0.11,-0.03,0.14,,,,0.09,8414344.2,
1999-11-18,18.43,18.7,18.37,18.48,10335602,18.1,,,0.36,0.46,,,0.17,0.01,0.15,,,,0.09,8898918.8,
1999-11-19,18.24,18.32,17.9,18.08,5836618,18.19,,,0.58,0.48,,55.0,0.17,0.04,0.13,,,,0.1,8560914.2,
1999-11-22,18.08,18.16,17.63,17.68,7089715,18.2,,,0.53,0.48,,56.47,0.15,0.07,0.08,,,,0.03,9105073.6,
1999-11-23,17.64,17.64,17.29,17.39,6507239,18.07,,,0.39,0.48,,52.44,0.1,0.07,0.03,,,,0.01,9020237.0,
1999-11-24,17.39,17.59,17.28,17.51,8220646,17.83,,,0.31,0.49,,55.34,0.07,0.07,0.0,,,,-0.01,7597964.0,
1999-11-26,17.5,17.5,17.27,17.27,3486094,17.59,,,0.24,0.46,,59.0,0.03,0.06,-0.03,,,,-0.01,6228062.4,
1999-11-29,17.15,17.3,17.04,17.18,6957756,17.41,17.52,,0.26,0.43,0.52,49.47,-0.01,0.05,-0.06,18.56,17.52,16.49,-0.02,6452290.0,7479180.45
1999-11-30,16.93,17.56,16.91,17.18,6505692,17.31,17.5,,0.65,0.45,0.52,49.73,-0.04,0.03,-0.07,18.55,17.5,16.46,-0.02,6335485.4,7445024.35
1999-12-01,17.22,17.94,17.05,17.94,7292808,17.42,17.54,,0.89,0.47,0.52,53.71,-0.0,0.03,-0.03,18.59,17.54,16.5,-0.01,6492599.2,7398953.2
1999-12-02,17.82,17.93,17.46,17.64,7035591,17.44,17.57,,0.48,0.49,0.51,52.42,0.0,0.02,-0.02,18.6,17.57,16.54,-0.06,6255588.2,7432988.5
1999-12-03,17.8,17.99,17.47,17.64,5159811,17.52,17.6,,0.52,0.48,0.5,50.38,0.01,0.02,-0.01,18.59,17.6,16.6,-0.05,6590331.6,7364905.9
1999-12-06,17.52,17.79,17.52,17.65,4214963,17.61,17.66,,0.27,0.48,0.42,50.5,0.01,0.02,-0.01,18.5,17.66,16.81,-0.02,6041773.0,7169612.9
1999-12-07,17.67,17.68,17.37,17.41,9406733,17.66,17.67,,0.31,0.47,0.41,41.53,-0.01,0.01,-0.02,18.5,17.67,16.84,-0.02,6621981.2,7264318.05
