date,open,high,low,close,volume,ma_5,ma_20,ma_90,tr,atr_14,close_std_20,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,roc_10,volume_sma_5,volume_sma_20
1999-11-01,19.28,19.85,19.0,19.57,9957310,,,,0.85,,,,0.0,0.0,0.0,,,,,,
1999-11-02,19.47,20.04,19.43,20.0,8191830,,,,0.61,,,,0.03,0.01,0.03,,,,,,
1999-11-03,20.86,20.86,20.33,20.48,10759324,,,,0.86,,,,0.1,0.03,0.07,,,,,,
1999-11-04,21.14,22.09,19.81,20.19,17710461,,,,2.28,,,,0.13,0.05,0.08,,,,,,
1999-11-05,19.43,19.43,18.33,18.52,34344832,19.75,,,1.86,,,,0.01,0.04,-0.03,,,,,16192751.4,
1999-11-08,18.24,18.47,17.81,17.9,18663689,19.42,,,0.71,,,,-0.13,0.01,-0.13,,,,,17934027.2,
1999-11-09,17.95,18.38,17.9,18.0,18467583,19.02,,,0.48,,,,-0.23,-0.04,-0.19,,,,,19989177.8,
1999-11-10,17.95,18.43,17.9,18.19,14861015,18.56,,,0.53,,,,-0.29,-0.09,-0.2,,,,,20809516.0,
1999-11-11,18.33,18.57,17.86,18.52,12759896,18.23,,,0.71,,,,-0.3,-0.13,-0.17,,,,,19819403.0,
1999-11-12,18.82,20.02,18.48,19.25,14300790,18.37,,,1.54,,,,-0.26,-0.16,-0.1,,,,,15810594.6,
1999-11-15,19.64,20.46,19.59,19.88,19833997,18.77,,,1.21,,,,-0.17,-0.16,-0.01,,,,0.02,16044656.2,
1999-11-16,19.97,20.17,19.83,20.07,15221494,19.18,,,0.34,,,,-0.08,-0.14,0.07,,,,0.0,15395438.4,
1999-11-17,19.69,20.27,19.59,19.97,13221537,19.54,,,0.68,,,,-0.02,-0.12,0.1,,,,-0.02,15067542.8,
1999-11-18,19.97,20.89,19.97,20.84,14825512,20.0,,,0.92,0.97,,,0.1,-0.07,0.18,,,,0.03,15480666.0,
1999-11-19,20.65,20.89,20.46,20.55,8537179,20.26,,,0.43,0.94,,57.08,0.17,-0.02,0.2,,,,0.11,14327943.8,
1999-11-22,20.36,20.93,20.36,20.93,8729312,20.47,,,0.57,0.94,,56.77,0.25,0.03,0.22,,,,0.17,12107006.8,
1999-11-23,20.79,20.98,20.5,20.74,10139202,20.61,,,0.48,0.91,,51.98,0.3,0.08,0.21,,,,0.15,11090548.4,
1999-11-24,21.08,22.04,20.89,21.7,13693539,20.95,,,1.3,0.84,,60.41,0.41,0.15,0.26,,,,0.19,11184948.8,
1999-11-26,22.04,22.04,20.93,21.17,5811124,21.02,,,1.11,0.79,,71.69,0.45,0.21,0.24,,,,0.14,9382071.2,
1999-11-29,21.56,22.23,21.42,21.85,12879706,21.28,19.92,,1.06,0.81,1.19,82.01,0.53,0.27,0.25,22.3,19.92,17.53,0.14,10250576.6,14145466.6
1999-11-30,22.13,22.23,21.27,21.42,11304889,21.38,20.01,,0.96,0.85,1.24,76.31,0.55,0.33,0.22,22.48,20.01,17.54,0.08,10765692.0,14212845.55
1999-12-01,21.23,21.66,21.17,21.51,9217326,21.53,20.08,,0.49,0.84,1.28,75.94,0.57,0.38,0.19,22.65,20.08,17.52,0.07,10581316.8,14264120.35
1999-12-02,21.51,21.61,21.13,21.4,11085029,21.47,20.13,,0.48,0.83,1.31,73.3,0.57,0.41,0.15,22.75,20.13,17.51,0.07,10059614.8,14280405.6
1999-12-03,21.85,22.23,21.32,21.7,13229868,21.58,20.21,,0.91,0.78,1.36,71.3,0.58,0.45,0.13,22.92,20.21,17.49,0.04,11543363.6,14056375.95
1999-12-06,21.42,21.7,21.27,21.36,7701347,21.48,20.35,,0.43,0.73,1.32,63.55,0.56,0.47,0.09,22.99,20.35,17.71,0.04,10507691.8,12724201.7
1999-12-07,21.56,21.56,21.08,21.13,10692301,21.42,20.51,,0.48,0.74,1.2,59.64,0.52,0.48,0.04,22.9,20.51,18.11,0.01,10385174.2,12325632.3
1999-12-08,21.17,21.51,20.84,20.93,12957809,21.3,20.66,,0.67,0.74,1.04,58.57,0.47,0.48,-0.01,22.74,20.66,18.57,0.01,11133270.8,12050143.6
1999-12-09,21.08,21.46,20.98,21.23,15577384,21.27,20.81,,0.53,0.71,0.87,53.88,0.44,0.47,-0.03,22.55,20.81,19.06,-0.02,12031741.8,12085962.05
1999-12-10,21.46,21.85,21.32,21.54,14458558,21.24,20.96,,0.62,0.72,0.7,59.8,0.44,0.47,-0.02,22.36,20.96,19.56,0.02,12277479.8,12170895.15
1999-12-13,21.36,21.42,21.03,21.23,11542582,21.21,21.06,,0.51,0.72,0.58,53.01,0.42,0.46,-0.04,22.21,21.06,19.91,-0.03,13045726.8,12032984.75
1999-12-14,21.13,22.09,20.98,21.89,11003542,21.36,21.16,,1.11,0.76,0.53,60.55,0.44,0.45,-0.01,22.22,21.16,20.09,0.02,13107975.0,11591462.0
1999-12-15,22.09,22.57,21.42,22.19,13724911,21.62,21.26,,1.15,0.75,0.52,55.11,0.48,0.46,0.02,22.3,21.26,20.23,0.03,13261395.4,11516632.85
1999-12-16,21.75,21.75,21.36,21.51,8215525,21.67,21.34,,0.83,0.73,0.42,53.44,0.45,0.46,-0.01,22.18,21.34,20.5,0.01,11789023.6,11266332.25
1999-12-17,21.51,21.79,21.32,21.7,15531303,21.7,21.38,,0.47,0.69,0.41,48.31,0.44,0.45,-0.02,22.2,21.38,20.57,0.0,12003572.6,11301621.8
1999-12-20,21.66,22.09,21.42,21.62,9044588,21.78,21.44,,0.67,0.67,0.36,52.44,0.42,0.44,-0.03,22.16,21.44,20.72,0.01,11503973.8,11326992.25
1999-12-21,21.94,22.42,21.8,21.85,9267702,21.77,21.48,,0.8,0.69,0.35,54.01,0.41,0.44,-0.03,22.18,21.48,20.78,0.03,11156805.8,11353911.75
1999-12-22,21.61,22.32,21.61,22.28,6892460,21.79,21.56,,0.71,0.71,0.35,59.65,0.44,0.44,0.0,22.26,21.56,20.87,0.06,9790315.6,11191574.65
1999-12-23,22.28,22.57,22.19,22.38,6196432,21.97,21.59,,0.38,0.67,0.39,57.8,0.46,0.44,0.02,22.38,21.59,20.81,0.05,9386497.0,10816719.3
1999-12-27,22.52,23.05,22.38,22.52,10710395,22.13,21.66,,0.67,0.69,0.43,63.94,0.49,0.45,0.04,22.52,21.66,20.8,0.05,8422315.4,11061682.85
1999-12-28,22.62,22.85,22.13,22.28,5441957,22.26,21.68,,0.72,0.7,0.45,63.79,0.48,0.46,0.02,22.58,21.68,20.78,0.05,7701789.2,10689795.4
1999-12-29,22.23,22.47,21.94,21.99,5334956,22.29,21.71,,0.53,0.69,0.45,62.44,0.45,0.46,-0.01,22.61,21.71,20.81,0.0,6915240.0,10391298.75
1999-12-30,22.13,22.57,22.13,22.38,5676656,22.31,21.76,,0.58,0.7,0.47,63.22,0.45,0.46,-0.01,22.7,21.76,20.81,0.01,6672079.2,10214265.25
1999-12-31,22.32,22.57,22.13,22.47,3836029,22.33,21.81,,0.44,0.68,0.49,61.26,0.45,0.45,-0.0,22.79,21.81,20.83,0.04,6199998.6,9851815.25
2000-01-03,22.38,22.95,22.32,22.95,10940669,22.41,21.87,,0.63,0.69,0.55,70.0,0.49,0.46,0.03,22.97,21.87,20.77,0.06,6246053.4,9737355.3
2000-01-04,23.09,24.49,23.05,24.3,20900494,22.82,22.02,,1.54,0.72,0.76,74.15,0.62,0.49,0.12,23.54,22.02,20.5,0.12,9337760.8,10397312.65
2000-01-05,24.68,25.35,24.3,25.16,25812912,23.45,22.22,,1.05,0.72,1.01,76.76,0.78,0.55,0.23,24.23,22.22,20.21,0.15,13433352.0,11153343.2
2000-01-06,25.35,25.45,24.3,24.3,10290852,23.84,22.39,,1.15,0.74,1.06,74.35,0.83,0.61,0.22,24.51,22.39,20.27,0.09,14356191.2,11019995.35
2000-01-07,24.58,24.68,23.67,23.91,8819912,24.12,22.52,,1.01,0.78,1.07,68.63,0.83,0.65,0.18,24.67,22.52,20.37,0.07,15352967.8,10682121.75
2000-01-10,26.89,27.61,26.12,27.56,44227648,25.05,22.82,,3.7,0.99,1.53,81.26,1.11,0.74,0.37,25.89,22.82,19.76,0.22,22010363.6,12170576.25
2000-01-11,27.32,28.23,27.08,27.85,26217876,25.76,23.15,,1.15,1.02,1.85,81.38,1.34,0.86,0.48,26.86,23.15,19.45,0.25,23073840.0,12904340.95
2000-01-12,27.56,27.61,25.59,25.88,17058998,25.9,23.35,,2.26,1.13,1.92,66.22,1.35,0.96,0.39,27.2,23.35,19.51,0.18,21323057.2,13207113.75
2000-01-13,26.46,26.89,25.97,26.74,11370626,26.39,23.58,,1.01,1.17,2.04,68.38,1.41,1.05,0.36,27.66,23.58,19.5,0.19,21539012.0,13089399.5
2000-01-14,26.74,26.89,25.69,25.78,10614198,26.76,23.8,,1.2,1.21,2.04,62.85,1.36,1.11,0.25,27.87,23.8,19.72,0.15,21897869.2,13209333.15
2000-01-18,25.93,26.74,25.4,26.5,10549373,26.55,24.04,,1.34,1.26,2.06,66.03,1.37,1.16,0.21,28.15,24.04,19.92,0.15,15162214.2,12960236.65
2000-01-19,26.36,26.84,26.17,26.7,8530540,26.32,24.29,,0.67,1.27,2.06,68.02,1.37,1.21,0.17,28.41,24.29,20.17,0.1,11624747.0,12934534.25
2000-01-20,26.89,27.23,25.69,25.84,9390975,26.31,24.49,,1.54,1.33,2.0,62.78,1.29,1.22,0.07,28.49,24.49,20.48,0.03,10091142.4,12940697.9
2000-01-21,25.78,25.84,25.11,25.16,10786936,26.0,24.63,,0.73,1.36,1.94,59.52,1.16,1.21,-0.05,28.51,24.63,20.76,0.04,9974404.4,13135421.7
2000-01-24,25.35,26.12,24.87,25.59,10863607,25.96,24.79,,1.25,1.4,1.87,59.37,1.08,1.18,-0.11,28.54,24.79,21.05,0.07,10024286.2,13368780.45
2000-01-25,29.19,29.19,28.04,28.81,38948015,26.42,25.11,,3.6,1.55,2.0,64.14,1.26,1.2,0.06,29.1,25.11,21.12,0.05,15704014.6,14780661.45
2000-01-26,28.76,28.76,27.95,28.14,13542931,26.71,25.4,,0.86,1.53,1.99,59.45,1.33,1.23,0.11,29.38,25.4,21.42,0.01,16706492.8,15185710.15
2000-01-27,28.33,28.91,28.14,28.52,12784811,27.24,25.73,,0.77,1.51,1.94,63.81,1.4,1.26,0.14,29.6,25.73,21.86,0.1,17385260.0,15558202.9
2000-01-28,28.28,28.81,27.99,28.23,9767041,27.86,26.02,,0.82,1.49,1.84,64.23,1.42,1.29,0.13,29.7,26.02,22.33,0.06,17181281.0,15762722.15
2000-01-31,27.7,27.99,27.51,27.89,10298532,28.32,26.29,,0.72,1.28,1.69,51.39,1.39,1.31,0.08,29.66,26.29,22.92,0.08,17068266.0,16085847.3
2000-02-01,27.66,27.99,27.61,27.66,9423648,28.09,26.53,,0.38,1.22,1.51,49.2,1.34,1.32,0.02,29.55,26.53,23.5,0.04,11163392.6,16009996.25
2000-02-02,27.61,29.15,27.51,28.62,12254621,28.18,26.74,,1.64,1.18,1.49,62.69,1.35,1.32,0.03,29.72,26.74,23.77,0.07,10905730.6,15577702.6
2000-02-03,28.91,29.58,28.85,29.1,14203682,28.3,26.94,,0.96,1.18,1.53,61.32,1.39,1.34,0.05,29.99,26.94,23.88,0.13,11189504.8,14997241.1
2000-02-04,29.19,29.38,28.47,29.29,8168142,28.51,27.19,,0.91,1.16,1.48,68.19,1.42,1.35,0.06,30.15,27.19,24.23,0.16,10869725.0,14891105.6
2000-02-07,29.19,29.53,28.85,29.19,8012587,28.77,27.45,,0.68,1.11,1.33,64.89,1.41,1.36,0.05,30.11,27.45,24.8,0.14,10412536.0,14850739.35
2000-02-08,28.91,29.15,28.42,28.85,7526526,29.01,27.52,,0.77,1.12,1.36,61.72,1.37,1.37,0.0,30.25,27.52,24.79,0.0,10033111.6,13015683.25
2000-02-09,28.66,29.96,28.52,28.95,8018835,29.08,27.57,,1.44,1.11,1.4,68.49,1.32,1.36,-0.03,30.37,27.57,24.77,0.03,9185954.4,12105731.2
2000-02-10,28.33,29.1,28.33,28.38,7390627,28.93,27.7,,0.77,1.11,1.35,69.4,1.23,1.33,-0.1,30.4,27.7,24.99,-0.0,7823343.4,11622312.65
2000-02-11,28.47,29.68,28.28,29.1,9436405,28.89,27.82,,1.4,1.12,1.37,70.43,1.2,1.31,-0.11,30.55,27.82,25.08,0.03,8076996.0,11525601.6
2000-02-14,28.42,28.72,28.14,28.42,6773092,28.74,27.95,,0.96,0.93,1.29,46.78,1.11,1.27,-0.16,30.52,27.95,25.38,0.02,7829097.0,11333546.3
2000-02-15,28.09,28.57,27.18,28.33,9222533,28.64,28.04,,1.39,0.97,1.24,51.74,1.02,1.22,-0.2,30.52,28.04,25.56,0.02,8168298.4,11267204.3
2000-02-16,28.09,28.62,28.09,28.38,5827265,28.52,28.12,,0.53,0.95,1.2,48.64,0.94,1.16,-0.22,30.53,28.12,25.72,-0.01,7729984.4,11132040.55
2000-02-17,28.19,28.33,27.42,28.04,6193178,28.45,28.23,,0.96,0.96,1.08,48.17,0.84,1.1,-0.26,30.38,28.23,26.08,-0.04,7490494.6,10972150.7
