date,open,high,low,close,volume,ma_5,ma_20,ma_90,tr,atr_14,close_std_20,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,roc_10,volume_sma_5,volume_sma_20
1999-11-01,49.56,49.91,48.72,48.77,1350399,,,,1.19,,,,0.0,0.0,0.0,,,,,,
1999-11-02,48.64,50.44,48.6,49.03,772429,,,,1.84,,,,0.02,0.0,0.02,,,,,,
1999-11-03,49.07,49.12,48.02,48.33,1314409,,,,1.1,,,,-0.02,-0.0,-0.02,,,,,,
1999-11-04,48.99,49.74,48.81,49.3,811406,,,,1.41,,,,0.03,0.01,0.02,,,,,,
1999-11-05,50.61,52.24,50.09,51.8,1856248,49.45,,,2.94,,,,0.26,0.06,0.21,,,,,1220978.2,
1999-11-08,51.67,51.67,50.97,51.32,926915,49.96,,,0.83,,,,0.41,0.13,0.28,,,,,1136281.4,
1999-11-09,51.67,51.71,50.44,50.53,989506,50.26,,,1.27,,,,0.45,0.19,0.26,,,,,1179696.8,
1999-11-10,49.91,51.14,49.65,50.57,965465,50.7,,,1.49,,,,0.48,0.25,0.23,,,,,1109908.0,
1999-11-11,50.61,51.67,50.31,51.54,816954,51.15,,,1.36,,,,0.58,0.32,0.27,,,,,1111017.6,
1999-11-12,51.98,56.1,51.84,56.06,3168950,52.0,,,4.56,,,,1.01,0.46,0.56,,,,,1373558.0,
1999-11-15,55.36,56.2,54.31,54.83,1418396,52.71,,,1.89,,,,1.24,0.61,0.63,,,,0.12,1471854.2,
1999-11-16,55.1,58.35,55.1,58.21,2141036,54.24,,,3.52,,,,1.67,0.82,0.85,,,,0.19,1702160.2,
1999-11-17,57.03,57.21,55.23,55.93,1771608,55.31,,,2.98,,,,1.81,1.02,0.79,,,,0.16,1863388.8,
1999-11-18,56.1,57.03,55.71,56.37,1581132,56.28,,,1.32,1.98,,,1.94,1.2,0.73,,,,0.14,2016224.4,
1999-11-19,56.24,56.86,55.98,56.2,468863,56.31,,,0.88,1.96,,69.83,2.0,1.36,0.63,,,,0.08,1476207.0,
1999-11-22,55.89,56.41,55.18,56.02,469290,56.55,,,1.23,1.91,,68.74,2.01,1.49,0.52,,,,0.09,1286385.8,
1999-11-23,56.2,56.68,54.48,54.66,933600,55.84,,,2.2,1.99,,66.39,1.88,1.57,0.31,,,,0.08,1044898.6,
1999-11-24,54.48,54.66,53.95,54.22,733594,55.49,,,0.71,1.94,,63.1,1.73,1.6,0.13,,,,0.07,837295.8,
1999-11-26,54.26,54.66,53.87,54.35,153063,55.09,,,0.79,1.79,,57.77,1.6,1.6,-0.0,,,,0.05,551682.0,
1999-11-29,54.31,54.31,52.29,52.37,736724,54.32,53.02,,2.06,1.88,3.02,52.93,1.32,1.55,-0.22,59.06,53.02,46.98,-0.07,605254.2,1168999.35
1999-11-30,52.55,54.22,52.37,52.81,1315832,53.68,53.22,,1.85,1.92,2.85,56.49,1.13,1.46,-0.34,58.92,53.22,47.52,-0.04,774562.6,1167271.0
1999-12-01,52.55,53.56,52.55,53.56,711260,53.46,53.45,,1.01,1.88,2.67,58.18,1.02,1.37,-0.35,58.8,53.45,48.1,-0.08,730094.6,1164212.55
1999-12-02,53.6,54.57,53.6,54.48,645256,53.51,53.76,,1.01,1.86,2.39,58.07,1.0,1.3,-0.3,58.54,53.76,48.97,-0.03,712427.0,1130754.9
