date,open,high,low,close,volume,ma_5,ma_20,ma_90,tr,atr_14,close_std_20,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,roc_10,volume_sma_5,volume_sma_20
1999-11-01,29.76,30.32,29.73,30.0,9156916,,,,0.59,,,,0.0,0.0,0.0,,,,,,
1999-11-02,30.3,30.49,29.8,30.3,9631180,,,,0.69,,,,0.02,0.0,0.02,,,,,,
1999-11-03,30.2,30.27,29.46,29.61,7759538,,,,0.84,,,,-0.01,0.0,-0.01,,,,,,
1999-11-04,30.02,30.27,29.78,29.9,5720320,,,,0.66,,,,-0.02,-0.0,-0.02,,,,,,
1999-11-05,30.3,30.98,30.3,30.69,9415143,30.1,,,1.08,,,,0.04,0.01,0.03,,,,,8336619.4,
1999-11-08,30.69,31.26,30.52,31.13,10073083,30.33,,,0.74,,,,0.12,0.03,0.09,,,,,8519852.8,
1999-11-09,30.91,31.48,30.02,31.48,16205311,30.56,,,1.46,,,,0.21,0.07,0.15,,,,,9834679.0,
1999-11-10,30.59,30.69,30.27,30.37,10991621,30.71,,,1.21,,,,0.19,0.09,0.1,,,,,10481095.6,
1999-11-11,30.45,31.06,30.32,31.01,6312515,30.94,,,0.74,,,,0.22,0.12,0.11,,,,,10599534.6,
1999-11-12,31.26,31.72,31.01,31.65,8018953,31.13,,,0.71,,,,0.3,0.15,0.14,,,,,10320296.6,
1999-11-15,31.79,31.79,30.67,30.98,11361001,31.1,,,1.12,,,,0.3,0.18,0.12,,,,0.03,10577880.2,
1999-11-16,30.98,31.63,30.64,31.63,11305256,31.13,,,0.99,,,,0.35,0.22,0.13,,,,0.04,9597869.2,
1999-11-17,31.53,32.12,31.4,31.45,10165597,31.34,,,0.72,,,,0.37,0.25,0.12,,,,0.06,9432664.4,
1999-11-18,31.57,32.85,31.5,32.66,17343444,31.67,,,1.4,0.92,,,0.48,0.29,0.18,,,,0.09,11638850.2,
1999-11-19,32.44,32.66,32.04,32.36,10643420,31.82,,,0.62,0.93,,64.29,0.53,0.34,0.19,,,,0.05,12163743.6,
1999-11-22,32.61,32.61,31.65,32.07,9275017,32.03,,,0.96,0.95,,60.73,0.55,0.38,0.17,,,,0.03,11746546.8,
1999-11-23,31.5,31.97,31.4,31.75,8878863,32.06,,,0.67,0.93,,63.58,0.53,0.41,0.12,,,,0.01,11261268.2,
1999-11-24,31.65,31.77,31.11,31.28,7402866,32.02,,,0.66,0.93,,58.56,0.47,0.42,0.04,,,,0.03,10708722.0,
1999-11-26,31.43,31.67,31.38,31.67,3141939,31.83,,,0.39,0.88,,56.4,0.45,0.43,0.02,,,,0.02,7868421.0,
1999-11-29,31.6,31.72,31.3,31.48,6923856,31.65,31.17,,0.42,0.86,0.82,52.36,0.41,0.42,-0.01,32.82,31.17,29.53,-0.01,7124508.2,9486291.95
1999-11-30,31.82,31.89,31.11,31.18,7793790,31.47,31.23,,0.78,0.81,0.78,47.96,0.35,0.41,-0.06,32.78,31.23,29.68,0.01,6828262.8,9418135.65
1999-12-01,31.38,32.04,31.26,32.02,8753454,31.53,31.32,,0.86,0.79,0.76,61.64,0.37,0.4,-0.03,32.84,31.32,29.8,0.01,6803181.0,9374249.35
1999-12-02,31.99,32.48,31.6,32.0,9130344,31.67,31.44,,0.88,0.8,0.66,57.65,0.38,0.4,-0.02,32.76,31.44,30.12,0.02,7148676.6,9442789.65
1999-12-03,32.68,33.22,32.61,33.17,11991892,31.97,31.6,,1.22,0.83,0.66,60.86,0.47,0.41,0.06,32.93,31.6,30.27,0.02,8918667.2,9756368.25
1999-12-06,33.15,33.15,32.58,32.82,6696646,32.24,31.71,,0.59,0.8,0.68,63.77,0.52,0.43,0.08,33.07,31.71,30.35,0.01,8873225.2,9620443.4
1999-12-07,32.85,33.03,32.54,32.78,7492076,32.56,31.79,,0.49,0.76,0.71,59.47,0.54,0.45,0.08,33.2,31.79,30.38,0.02,8812882.4,9491393.05
1999-12-08,32.95,33.67,32.7,33.19,9649964,32.79,31.88,,0.97,0.78,0.77,63.81,0.58,0.48,0.1,33.41,31.88,30.34,0.05,8992184.4,9163625.7
1999-12-09,32.78,34.41,32.78,34.35,15583687,33.26,32.08,,1.63,0.8,0.87,63.52,0.71,0.53,0.18,33.81,32.08,30.34,0.1,10282853.0,9393229.0
1999-12-10,34.65,35.22,34.58,35.04,13327768,33.64,32.28,,0.87,0.81,1.05,70.18,0.85,0.59,0.26,34.38,32.28,30.17,0.11,10550028.2,9743991.65
1999-12-13,35.41,36.62,35.29,35.87,15381358,34.25,32.49,,1.58,0.86,1.31,76.46,1.01,0.67,0.34,35.11,32.49,29.86,0.14,12286970.6,10112111.9
1999-12-14,36.35,36.57,35.81,36.42,12792064,34.97,32.76,,0.76,0.86,1.53,81.51,1.18,0.78,0.4,35.82,32.76,29.7,0.17,13346968.2,10183665.05
1999-12-15,35.83,36.91,35.69,36.82,17287647,35.7,33.02,,1.22,0.9,1.75,87.74,1.33,0.89,0.44,36.52,33.02,29.52,0.15,14874504.8,10482784.6
1999-12-16,36.87,38.1,36.67,38.07,13041799,36.44,33.35,,1.43,0.98,2.04,89.02,1.53,1.01,0.51,37.43,33.35,29.27,0.19,14366127.2,10626594.7
1999-12-17,38.17,38.88,38.12,38.88,24587214,37.21,33.66,,0.81,1.01,2.38,91.95,1.73,1.16,0.57,38.41,33.66,28.91,0.17,16618016.4,10988783.2
1999-12-20,38.78,38.91,37.7,38.77,11869650,37.79,33.98,,1.21,1.04,2.61,93.97,1.86,1.3,0.56,39.21,33.98,28.76,0.18,15915674.8,11050094.7
1999-12-21,37.9,38.12,37.36,37.72,8403485,38.05,34.26,,1.41,1.08,2.7,82.24,1.86,1.41,0.45,39.66,34.26,28.87,0.15,15037959.0,11006518.1
1999-12-22,37.97,38.27,37.43,37.92,5902402,38.27,34.57,,0.84,1.07,2.75,82.82,1.85,1.5,0.35,40.07,34.57,29.07,0.14,12760910.0,10857695.05
