date,open,high,low,close,volume,ma_5,ma_20,ma_90,tr,atr_14,close_std_20,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,roc_10,volume_sma_5,volume_sma_20
1999-11-01,30.8,31.27,30.8,31.2,3614709,,,,0.47,,,,0.0,0.0,0.0,,,,,,
1999-11-02,31.13,31.17,30.25,30.29,3739648,,,,0.95,,,,-0.07,-0.01,-0.06,,,,,,
1999-11-03,30.25,30.49,30.09,30.29,2168936,,,,0.4,,,,-0.13,-0.04,-0.09,,,,,,
1999-11-04,30.73,30.76,29.71,29.71,1890184,,,,1.05,,,,-0.22,-0.07,-0.14,,,,,,
1999-11-05,30.25,30.32,29.88,30.05,1792825,30.31,,,0.61,,,,-0.26,-0.11,-0.15,,,,,2641260.4,
1999-11-08,30.02,30.9,29.98,30.29,2727922,30.13,,,0.92,,,,-0.27,-0.14,-0.13,,,,,2463903.0,
1999-11-09,30.59,30.59,29.78,30.32,2880439,30.13,,,0.81,,,,-0.27,-0.17,-0.1,,,,,2292061.2,
1999-11-10,30.15,31.74,30.09,31.64,4596080,30.4,,,1.65,,,,-0.16,-0.17,0.0,,,,,2777490.0,
1999-11-11,31.61,31.91,31.1,31.23,3174740,30.71,,,0.81,,,,-0.11,-0.15,0.05,,,,,3034401.2,
1999-11-12,31.57,32.96,31.13,32.69,3436093,31.23,,,1.83,,,,0.05,-0.11,0.16,,,,,3363054.8,
1999-11-15,32.92,33.77,32.75,32.92,4073928,31.76,,,1.08,,,,0.19,-0.05,0.25,,,,0.06,3632256.0,
1999-11-16,33.12,33.39,32.21,33.39,2857118,32.37,,,1.18,,,,0.34,0.03,0.31,,,,0.1,3627591.8,
1999-11-17,33.18,33.73,32.81,32.95,2475012,32.64,,,0.92,,,,0.42,0.1,0.31,,,,0.09,3203378.2,
1999-11-18,33.86,33.86,33.18,33.53,2855797,33.1,,,0.91,0.97,,,0.52,0.19,0.33,,,,0.13,3139589.6,
1999-11-19,33.45,33.59,32.78,32.88,2129666,33.13,,,0.81,0.99,,60.97,0.54,0.26,0.28,,,,0.09,2878304.2,
1999-11-22,32.74,33.35,32.67,33.11,2735821,33.17,,,0.68,0.98,,70.2,0.57,0.32,0.25,,,,0.09,2610682.8,
1999-11-23,33.15,33.18,32.1,32.27,3346591,32.95,,,1.08,1.02,,62.66,0.52,0.36,0.16,,,,0.06,2708577.4,
1999-11-24,32.3,32.4,31.56,31.83,3735683,32.72,,,0.84,1.01,,63.8,0.44,0.37,0.06,,,,0.01,2960711.6,
1999-11-26,31.9,31.93,31.59,31.66,965345,32.35,,,0.34,0.99,,60.72,0.35,0.37,-0.02,,,,0.01,2582621.2,
1999-11-29,31.46,31.9,31.18,31.8,5589588,32.13,31.7,,0.72,0.98,1.24,60.19,0.3,0.36,-0.06,34.17,31.7,29.23,-0.03,3274605.6,3039306.25
1999-11-30,31.76,32.84,31.69,32.51,5247749,32.01,31.77,,1.15,1.0,1.24,63.54,0.31,0.35,-0.04,34.25,31.77,29.28,-0.01,3776991.2,3120958.25
1999-12-01,33.53,34.1,32.84,32.91,7861380,32.14,31.9,,1.59,1.0,1.22,58.86,0.34,0.35,-0.0,34.33,31.9,29.47,-0.01,4679949.0,3327044.85
1999-12-02,33.29,34.13,32.81,32.91,2471690,32.36,32.03,,1.32,1.03,1.17,62.43,0.37,0.35,0.02,34.38,32.03,29.68,-0.0,4427150.4,3342182.55
1999-12-03,34.07,34.67,33.59,34.0,4947625,32.83,32.24,,1.76,1.03,1.12,60.25,0.47,0.37,0.09,34.48,32.24,30.01,0.01,5223606.4,3495054.6
1999-12-06,33.59,33.83,32.37,33.42,3658160,33.15,32.41,,1.63,1.07,1.02,53.71,0.49,0.4,0.1,34.45,32.41,30.37,0.02,4837320.8,3588321.35
1999-12-07,33.42,33.69,33.05,33.42,7678278,33.33,32.57,,0.64,1.03,0.91,50.24,0.51,0.42,0.09,34.39,32.57,30.75,0.01,5323426.6,3835839.15
1999-12-08,33.25,33.25,32.37,32.54,5523878,33.26,32.68,,1.05,1.04,0.74,46.94,0.45,0.43,0.02,34.16,32.68,31.2,0.01,4855926.2,3968011.1
1999-12-09,32.64,32.64,31.73,31.76,5492685,33.03,32.69,,0.91,1.04,0.73,37.19,0.33,0.41,-0.08,34.15,32.69,31.22,-0.0,5460125.2,4012841.35
1999-12-10,31.76,31.96,31.29,31.49,5039914,32.53,32.7,,0.67,1.03,0.71,39.36,0.21,0.37,-0.15,34.12,32.7,31.28,-0.01,5478583.0,4106100.05
1999-12-13,31.42,32.2,31.29,32.07,4543398,32.26,32.67,,0.91,1.04,0.72,42.44,0.17,0.33,-0.16,34.11,32.67,31.22,0.01,5655630.6,4161465.3
1999-12-14,31.96,32.64,31.93,32.44,4175348,32.06,32.64,,0.71,1.02,0.72,51.33,0.16,0.29,-0.14,34.09,32.64,31.2,-0.0,4955044.6,4166536.3
1999-12-15,32.51,33.32,32.47,32.93,3706888,32.14,32.62,,0.88,1.02,0.7,58.51,0.19,0.27,-0.09,34.03,32.62,31.21,0.0,4591646.6,4209024.8
1999-12-16,32.64,33.86,32.27,33.45,4336116,32.48,32.65,,1.59,1.11,0.72,63.14,0.25,0.27,-0.02,34.1,32.65,31.2,0.02,4360332.8,4302080.0
1999-12-17,33.45,34.61,33.38,34.54,7974895,33.09,32.7,,1.23,1.15,0.82,67.65,0.38,0.29,0.09,34.33,32.7,31.06,0.02,4947329.0,4558034.9
1999-12-20,34.47,34.47,30.61,30.68,15320009,32.81,32.59,,3.93,1.34,0.93,41.61,0.17,0.27,-0.09,34.45,32.59,30.72,-0.08,7102651.2,5217552.05
1999-12-21,30.68,31.29,29.73,30.71,22287106,32.46,32.47,,1.56,1.34,1.01,39.56,0.01,0.22,-0.2,34.49,32.47,30.44,-0.08,10725002.8,6195116.3
1999-12-22,30.55,30.58,29.22,29.29,11496836,31.73,32.32,,1.49,1.35,1.24,34.87,-0.23,0.13,-0.36,34.79,32.32,29.84,-0.1,12282992.4,6602628.55
1999-12-23,29.66,30.07,29.49,29.83,8494114,31.01,32.22,,0.78,1.28,1.35,31.73,-0.37,0.03,-0.4,34.93,32.22,29.51,-0.06,13114592.0,6840550.1
1999-12-27,29.87,30.0,29.33,29.46,9415714,29.99,32.11,,0.67,1.22,1.48,32.32,-0.51,-0.08,-0.43,35.08,32.11,29.14,-0.06,13402755.8,7263068.55
1999-12-28,29.77,30.71,29.69,30.24,4837985,29.91,32.03,,1.25,1.26,1.54,36.73,-0.55,-0.17,-0.37,35.11,32.03,28.95,-0.06,11306351.0,7225488.4
