date,open,high,low,close,volume,ma_5,ma_20,ma_90,tr,atr_14,close_std_20,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,roc_10,volume_sma_5,volume_sma_20
1999-11-01,49.23,49.38,48.16,48.35,19112938,,,,1.22,,,,0.0,0.0,0.0,,,,,,
1999-11-02,48.35,48.38,46.82,47.38,22221657,,,,1.56,,,,-0.08,-0.02,-0.06,,,,,,
1999-11-03,47.91,47.95,46.73,47.16,20748337,,,,1.22,,,,-0.15,-0.04,-0.11,,,,,,
1999-11-04,47.2,47.2,44.98,45.76,33411524,,,,2.22,,,,-0.33,-0.1,-0.23,,,,,,
1999-11-05,46.35,46.45,45.07,45.1,27488630,46.75,,,1.38,,,,-0.51,-0.18,-0.33,,,,,24596617.2,
1999-11-08,45.29,47.01,45.29,47.01,17031176,46.48,,,1.91,,,,-0.49,-0.24,-0.25,,,,,24180264.8,
1999-11-09,47.57,47.79,46.1,46.85,19087355,46.38,,,1.69,,,,-0.49,-0.29,-0.2,,,,,23553404.4,
1999-11-10,47.35,48.57,47.1,48.54,17346927,46.65,,,1.72,,,,-0.34,-0.3,-0.04,,,,,22873122.4,
1999-11-11,48.79,48.79,47.47,47.54,14283741,47.01,,,1.32,,,,-0.31,-0.3,-0.0,,,,,19047565.8,
1999-11-12,48.04,48.16,46.54,47.97,19321570,47.58,,,1.62,,,,-0.24,-0.29,0.05,,,,,17414153.8,
1999-11-15,48.04,48.22,46.97,47.07,12508940,47.59,,,1.25,,,,-0.26,-0.28,0.03,,,,-0.03,16509706.6,
1999-11-16,47.35,47.54,46.54,47.35,17061352,47.69,,,1.0,,,,-0.24,-0.28,0.03,,,,-0.0,16104506.0,
1999-11-17,47.47,47.47,46.35,46.91,16697039,47.37,,,1.12,,,,-0.27,-0.27,0.01,,,,-0.01,15974528.4,
1999-11-18,47.04,49.16,46.82,49.04,37411511,47.67,,,2.34,1.54,,,-0.11,-0.24,0.13,,,,0.07,20600082.4,
1999-11-19,49.54,52.6,49.22,52.01,39325803,48.48,,,3.56,1.71,,62.07,0.25,-0.14,0.39,,,,0.15,24600929.0,
1999-11-22,52.79,54.26,52.26,53.98,27341649,49.86,,,2.25,1.76,,70.42,0.68,0.02,0.66,,,,0.15,27567470.8,
1999-11-23,54.45,54.98,53.04,53.07,21313600,51.0,,,1.94,1.81,,67.54,0.95,0.21,0.74,,,,0.13,28417920.4,
1999-11-24,52.54,52.54,50.95,52.29,19405504,52.08,,,2.12,1.8,,70.12,1.08,0.38,0.7,,,,0.08,28959613.4,
1999-11-26,53.01,53.04,52.1,52.54,6211904,52.78,,,0.94,1.77,,73.51,1.19,0.54,0.65,,,,0.11,22719692.0,
1999-11-29,52.51,52.51,51.73,52.14,11346456,52.8,48.9,,0.81,1.69,2.7,67.92,1.23,0.68,0.55,54.3,48.9,43.51,0.09,17123822.6,20933880.65
1999-11-30,51.89,52.29,51.1,51.57,11508329,52.32,49.06,,1.19,1.66,2.76,66.03,1.2,0.78,0.42,54.58,49.06,43.54,0.1,13957158.6,20553650.2
1999-12-01,51.32,52.26,51.17,51.75,10664394,52.06,49.28,,1.09,1.61,2.79,62.15,1.18,0.86,0.32,54.87,49.28,43.7,0.09,11827317.4,19975787.05
1999-12-02,51.76,53.2,51.73,52.68,12424007,52.14,49.56,,1.47,1.62,2.84,69.56,1.23,0.94,0.29,55.25,49.56,43.87,0.12,10431018.0,19559570.55
1999-12-03,54.95,56.48,54.01,55.98,29337476,52.82,50.07,,3.8,1.78,3.04,75.02,1.51,1.05,0.46,56.14,50.07,44.0,0.14,15056132.4,19355868.15
1999-12-06,56.54,58.3,56.29,58.05,19840961,54.01,50.72,,2.32,1.85,3.29,81.96,1.88,1.22,0.66,57.3,50.72,44.13,0.12,16755033.4,18973484.7
1999-12-07,58.55,59.64,57.77,58.36,22634359,55.36,51.28,,1.87,1.92,3.58,81.99,2.17,1.41,0.77,58.45,51.28,44.12,0.08,18980239.4,19253643.85
1999-12-08,58.17,60.55,57.8,59.19,16266778,56.85,51.9,,2.75,2.03,3.83,84.89,2.45,1.62,0.83,59.57,51.9,44.23,0.12,20100716.2,19112615.0
1999-12-09,60.3,61.11,56.17,56.73,33259784,57.66,52.31,,4.94,2.22,3.89,71.44,2.44,1.78,0.66,60.1,52.31,44.53,0.08,24267871.6,19908257.85
