date,open,high,low,close,volume,ma_5,ma_20,ma_90,tr,atr_14,close_std_20,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,roc_10,volume_sma_5,volume_sma_20
1999-11-01,27.12,27.48,27.04,27.07,11075141,,,,0.44,,,,0.0,0.0,0.0,,,,,,
1999-11-02,27.07,27.32,26.34,26.4,14333883,,,,0.98,,,,-0.05,-0.01,-0.04,,,,,,
1999-11-03,26.78,27.07,26.65,26.86,9703223,,,,0.67,,,,-0.06,-0.02,-0.04,,,,,,
1999-11-04,27.04,27.3,27.01,27.12,12360465,,,,0.44,,,,-0.04,-0.02,-0.02,,,,,,
1999-11-05,27.3,27.48,27.12,27.17,13368143,26.92,,,0.36,,,,-0.02,-0.02,0.0,,,,,12168171.0,
1999-11-08,27.19,27.27,26.76,26.89,8705253,26.89,,,0.51,,,,-0.03,-0.02,-0.0,,,,,11694193.4,
1999-11-09,27.14,27.14,26.6,26.68,8179474,26.94,,,0.54,,,,-0.05,-0.03,-0.02,,,,,10463311.6,
1999-11-10,26.4,26.65,26.34,26.52,10442187,26.88,,,0.34,,,,-0.08,-0.04,-0.04,,,,,10611104.4,
1999-11-11,26.55,26.78,26.5,26.73,5391370,26.8,,,0.28,,,,-0.09,-0.05,-0.04,,,,,9217285.4,
1999-11-12,26.85,26.93,26.42,26.8,5796280,26.72,,,0.51,,,,-0.09,-0.06,-0.03,,,,,7702912.8,
1999-11-15,26.8,26.83,26.49,26.73,6240867,26.69,,,0.34,,,,-0.09,-0.06,-0.02,,,,-0.01,7210035.6,
1999-11-16,26.93,27.4,26.88,27.4,11385757,26.84,,,0.67,,,,-0.04,-0.06,0.02,,,,0.04,7851292.2,
1999-11-17,27.35,27.6,27.22,27.27,9516014,26.99,,,0.38,,,,-0.0,-0.05,0.04,,,,0.02,7666057.6,
1999-11-18,27.09,27.11,26.75,26.96,6712175,27.03,,,0.52,0.5,,,-0.01,-0.04,0.03,,,,-0.01,7930218.6,
1999-11-19,26.96,27.16,26.8,27.16,5931050,27.1,,,0.36,0.49,,51.2,0.01,-0.03,0.04,,,,-0.0,7957172.6,
1999-11-22,27.14,27.32,26.96,27.19,6368666,27.2,,,0.36,0.45,,62.7,0.02,-0.02,0.04,,,,0.01,7982732.4,
1999-11-23,27.09,27.09,26.73,26.85,8154371,27.09,,,0.46,0.43,,49.83,0.01,-0.01,0.02,,,,0.01,7336455.2,
1999-11-24,26.75,27.09,26.75,27.06,6975519,27.04,,,0.34,0.43,,48.98,0.01,-0.01,0.02,,,,0.02,6828356.2,
1999-11-26,27.11,27.14,26.65,26.65,2599361,26.98,,,0.49,0.44,,42.12,-0.02,-0.01,-0.01,,,,-0.0,6005793.4,
1999-11-29,26.6,27.19,26.29,27.14,7894125,26.98,26.93,,0.9,0.46,0.26,53.56,-0.0,-0.01,0.01,27.46,26.93,26.4,0.01,6398408.4,8556666.2
1999-11-30,26.93,27.04,26.75,26.8,6701719,26.9,26.92,,0.39,0.45,0.26,51.65,-0.02,-0.01,-0.01,27.45,26.92,26.39,0.0,6465019.0,8337995.1
1999-12-01,26.67,26.7,26.11,26.47,8878567,26.82,26.92,,0.69,0.48,0.26,49.34,-0.05,-0.02,-0.03,27.44,26.92,26.41,-0.03,6609858.2,8065229.3
1999-12-02,26.13,26.16,25.56,25.85,12652132,26.58,26.87,,0.91,0.52,0.35,39.57,-0.13,-0.04,-0.09,27.58,26.87,26.17,-0.05,7745180.8,8212674.75
1999-12-03,25.56,25.68,24.82,25.11,24632350,26.27,26.77,,1.03,0.56,0.52,32.72,-0.25,-0.08,-0.17,27.82,26.77,25.73,-0.07,12151778.6,8826269.0
1999-12-06,24.79,25.29,24.68,25.0,13062639,25.85,26.66,,0.61,0.58,0.65,32.45,-0.35,-0.14,-0.21,27.96,26.66,25.37,-0.08,13185481.4,8810993.8
1999-12-07,25.03,25.1,24.03,24.11,21144977,25.31,26.52,,1.07,0.61,0.86,18.06,-0.49,-0.21,-0.29,28.24,26.52,24.81,-0.11,16074133.0,9432980.0
1999-12-08,23.97,24.09,23.3,23.55,19251224,24.72,26.37,,0.81,0.64,1.08,16.67,-0.65,-0.29,-0.35,28.54,26.37,24.2,-0.12,18148664.4,9986567.5
1999-12-09,23.76,24.44,23.69,24.08,16791668,24.37,26.25,,0.89,0.67,1.2,25.17,-0.72,-0.38,-0.34,28.64,26.25,23.85,-0.11,18976571.6,10304041.55
1999-12-10,24.53,24.56,24.08,24.37,11327666,24.22,26.13,,0.48,0.67,1.26,26.32,-0.74,-0.45,-0.29,28.65,26.13,23.6,-0.09,16315634.8,10600856.35
1999-12-13,24.44,24.48,23.77,24.06,10509364,24.03,25.99,,0.71,0.7,1.33,24.64,-0.77,-0.52,-0.26,28.65,25.99,23.33,-0.11,15804979.8,10836510.55
1999-12-14,23.82,24.71,23.76,24.32,11181278,24.08,25.87,,0.95,0.73,1.37,29.23,-0.77,-0.57,-0.2,28.61,25.87,23.13,-0.09,13812240.0,11083531.1
1999-12-15,24.31,24.58,24.14,24.45,11702157,24.26,25.72,,0.44,0.74,1.36,28.29,-0.75,-0.6,-0.15,28.43,25.72,23.01,-0.08,12302426.6,11099351.1
1999-12-16,24.71,24.72,24.13,24.44,12541760,24.33,25.58,,0.59,0.75,1.33,30.3,-0.73,-0.63,-0.1,28.25,25.58,22.92,-0.05,11452445.0,11250638.4
1999-12-17,24.55,24.64,23.85,24.5,28255267,24.35,25.46,,0.79,0.74,1.31,24.52,-0.69,-0.64,-0.05,28.08,25.46,22.83,-0.02,14837965.2,12327793.0
1999-12-20,24.26,24.27,23.35,23.75,12336507,24.29,25.29,,1.15,0.79,1.3,22.72,-0.72,-0.66,-0.06,27.89,25.29,22.69,-0.05,15203393.8,12648065.85
1999-12-21,23.66,23.68,23.27,23.5,11253311,24.13,25.1,,0.48,0.78,1.28,23.05,-0.75,-0.68,-0.08,27.66,25.1,22.55,-0.03,15217800.4,12892298.1
1999-12-22,23.47,23.95,23.45,23.64,11196769,23.97,24.94,,0.5,0.75,1.25,28.03,-0.76,-0.69,-0.07,27.44,24.94,22.45,0.0,15116722.8,13044418.0
1999-12-23,23.92,24.76,23.76,24.68,11244791,24.01,24.82,,1.12,0.76,1.15,45.97,-0.67,-0.69,0.02,27.11,24.82,22.53,0.02,14857329.0,13257881.6
1999-12-27,24.64,25.24,24.47,25.24,8059877,24.16,24.75,,0.77,0.77,1.07,52.08,-0.55,-0.66,0.11,26.89,24.75,22.62,0.04,10818251.0,13530907.4
1999-12-28,25.24,25.24,24.37,24.64,6609548,24.34,24.63,,0.87,0.75,0.91,54.83,-0.5,-0.63,0.13,26.44,24.63,22.81,0.02,9672859.2,13466678.55
1999-12-29,24.84,24.84,23.82,23.87,6033677,24.41,24.48,,1.02,0.77,0.76,52.81,-0.51,-0.61,0.09,26.01,24.48,22.95,-0.02,8628932.4,13433276.45
1999-12-30,24.01,24.4,24.01,24.14,4739805,24.51,24.36,,0.53,0.74,0.61,50.55,-0.5,-0.58,0.09,25.58,24.36,23.15,-0.01,7337539.6,13226338.35
1999-12-31,24.14,24.37,24.05,24.08,2655128,24.39,24.28,,0.32,0.73,0.5,47.22,-0.48,-0.56,0.08,25.27,24.28,23.28,-0.01,5619607.0,12726488.15
2000-01-03,24.05,24.21,23.68,23.81,8989326,24.11,24.21,,0.53,0.72,0.47,47.58,-0.49,-0.55,0.06,25.15,24.21,23.28,-0.03,5805496.8,11944336.95
