date,open,high,low,close,volume,ma_5,ma_20,ma_90,tr,atr_14,close_std_20,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,roc_10,volume_sma_5,volume_sma_20
1999-11-01,26.71,26.86,25.7,25.76,14630483,,,,1.16,,,,0.0,0.0,0.0,,,,,,
1999-11-02,26.05,26.59,25.67,25.8,11486776,,,,0.92,,,,0.0,0.0,0.0,,,,,,
1999-11-03,25.78,25.9,25.34,25.42,8591081,,,,0.56,,,,-0.02,-0.0,-0.02,,,,,,
1999-11-04,25.86,26.5,25.74,25.94,12550607,,,,1.08,,,,-0.0,-0.0,-0.0,,,,,,
1999-11-05,26.56,26.94,26.4,26.59,11135411,25.9,,,1.0,,,,0.06,0.01,0.05,,,,,11678871.6,
1999-11-08,26.61,26.71,25.94,26.02,7763369,25.95,,,0.77,,,,0.07,0.02,0.05,,,,,10305448.8,
1999-11-09,25.99,26.11,25.28,25.61,10493220,25.92,,,0.83,,,,0.04,0.03,0.02,,,,,10106737.6,
1999-11-10,25.3,25.36,24.84,24.84,10314185,25.8,,,0.77,,,,-0.04,0.01,-0.05,,,,,10451358.4,
1999-11-11,24.92,25.47,24.76,25.01,7436653,25.61,,,0.71,,,,-0.09,-0.01,-0.08,,,,,9428567.6,
1999-11-12,25.45,26.21,25.44,26.21,11102977,25.54,,,1.2,,,,-0.04,-0.02,-0.02,,,,,9422080.8,
1999-11-15,25.92,26.15,25.44,25.45,12136751,25.42,,,0.77,,,,-0.05,-0.02,-0.03,,,,-0.01,10296757.2,
1999-11-16,25.7,26.65,25.55,26.52,14563452,25.61,,,1.2,,,,0.02,-0.01,0.03,,,,0.03,11110803.6,
1999-11-17,26.23,26.27,25.17,25.24,11698245,25.69,,,1.35,,,,-0.03,-0.02,-0.01,,,,-0.01,11387615.6,
1999-11-18,25.4,25.94,25.26,25.7,9962385,25.82,,,0.7,0.93,,,-0.02,-0.02,-0.01,,,,-0.01,11892762.0,
1999-11-19,25.74,26.02,25.44,25.59,6483098,25.7,,,0.58,0.89,,48.99,-0.03,-0.02,-0.01,,,,-0.04,10968786.2,
1999-11-22,25.44,25.45,24.88,25.24,8154739,25.66,,,0.71,0.87,,46.78,-0.06,-0.03,-0.03,,,,-0.03,10172383.8,
1999-11-23,25.24,25.36,24.51,24.65,9825083,25.28,,,0.85,0.89,,45.68,-0.14,-0.05,-0.09,,,,-0.04,9224710.0,
1999-11-24,24.59,24.65,24.28,24.53,8177874,25.14,,,0.37,0.84,,41.72,-0.2,-0.08,-0.12,,,,-0.01,8520635.8,
1999-11-26,24.94,24.94,24.38,24.38,2575897,24.88,,,0.56,0.81,,36.2,-0.26,-0.12,-0.14,,,,-0.03,7043338.2,
1999-11-29,24.3,24.3,23.53,23.72,11289796,24.5,25.41,,0.85,0.82,0.73,35.8,-0.36,-0.17,-0.19,26.87,25.41,23.95,-0.1,8004677.8,10018604.1
1999-11-30,23.62,24.43,23.6,23.82,13075604,24.22,25.31,,0.83,0.82,0.81,38.51,-0.42,-0.22,-0.21,26.93,25.31,23.7,-0.06,8988850.8,9940860.15
1999-12-01,23.78,24.05,23.6,23.86,9880003,24.06,25.22,,0.45,0.79,0.86,43.06,-0.46,-0.27,-0.2,26.94,25.22,23.5,-0.1,8999834.8,9860521.5
1999-12-02,24.05,24.43,23.43,24.38,10579277,24.03,25.16,,1.0,0.82,0.88,45.75,-0.45,-0.3,-0.15,26.92,25.16,23.41,-0.03,9480115.4,9959931.3
1999-12-03,24.96,25.7,24.92,25.28,12469091,24.21,25.13,,1.32,0.82,0.86,43.46,-0.36,-0.31,-0.05,26.85,25.13,23.41,-0.02,11458754.2,9955855.5
1999-12-06,25.28,25.28,23.85,24.32,10773449,24.33,25.02,,1.43,0.87,0.81,42.27,-0.37,-0.33,-0.04,26.63,25.02,23.41,-0.05,11355484.8,9937757.4
1999-12-07,24.2,24.42,23.85,24.24,12008313,24.42,24.93,,0.57,0.83,0.79,31.96,-0.37,-0.33,-0.04,26.5,24.93,23.35,-0.04,11142026.6,10150004.6
1999-12-08,24.17,24.24,23.7,23.96,10286075,24.44,24.85,,0.54,0.77,0.8,37.97,-0.39,-0.35,-0.05,26.45,24.85,23.25,-0.03,11223241.0,10139647.35
1999-12-09,24.05,24.47,23.45,24.01,10245208,24.36,24.81,,1.02,0.79,0.82,32.79,-0.4,-0.36,-0.04,26.45,24.81,23.16,-0.02,11156427.2,10136198.5
1999-12-10,24.55,24.55,24.09,24.34,10408243,24.17,24.77,,0.54,0.79,0.83,37.82,-0.38,-0.36,-0.02,26.42,24.77,23.12,-0.0,10744257.6,10284778.0
1999-12-13,24.09,24.43,23.97,24.21,5519812,24.15,24.67,,0.46,0.77,0.76,39.51,-0.37,-0.36,-0.0,26.19,24.67,23.15,0.02,9693530.2,10005619.75
1999-12-14,24.07,24.07,23.45,23.6,7226264,24.02,24.58,,0.76,0.76,0.77,39.35,-0.4,-0.37,-0.03,26.13,24.58,23.03,-0.01,8737120.4,9760095.4
1999-12-15,23.6,23.85,23.05,23.28,9916977,23.89,24.42,,0.8,0.8,0.68,37.82,-0.45,-0.39,-0.06,25.78,24.42,23.06,-0.02,8663300.8,9527771.65
1999-12-16,23.49,23.49,22.76,23.12,8768170,23.71,24.31,,0.73,0.81,0.71,37.74,-0.49,-0.41,-0.09,25.73,24.31,22.89,-0.05,8367893.2,9381267.9
1999-12-17,22.58,23.09,22.22,22.43,21586898,23.33,24.15,,0.9,0.81,0.75,37.52,-0.58,-0.44,-0.14,25.64,24.15,22.65,-0.11,10603624.2,9962493.55
1999-12-20,22.62,22.8,22.28,22.28,13418106,22.94,23.98,,0.52,0.79,0.78,35.25,-0.65,-0.48,-0.17,25.54,23.98,22.43,-0.08,12183283.0,10309243.95
1999-12-21,22.32,23.59,22.24,23.12,16995343,22.85,23.88,,1.35,0.85,0.74,43.85,-0.63,-0.51,-0.12,25.36,23.88,22.39,-0.05,14137098.8,10751274.15
1999-12-22,23.12,23.32,22.82,23.09,7304972,22.81,23.8,,0.5,0.82,0.74,38.34,-0.61,-0.53,-0.08,25.27,23.8,22.32,-0.04,13614697.8,10625268.6
1999-12-23,23.51,24.03,23.45,23.89,9378575,22.96,23.77,,0.94,0.79,0.72,37.2,-0.53,-0.53,0.0,25.2,23.77,22.33,-0.0,13736778.8,10685303.65
1999-12-27,23.89,24.42,23.59,23.59,8242093,23.19,23.73,,0.83,0.75,0.7,42.35,-0.48,-0.52,0.04,25.13,23.73,22.32,-0.03,11067817.8,10968613.45
1999-12-28,23.65,23.85,23.53,23.57,4872215,23.45,23.72,,0.32,0.73,0.7,42.89,-0.44,-0.5,0.07,25.13,23.72,22.31,-0.03,9358639.6,10647734.4
1999-12-29,23.8,24.11,23.72,23.91,4973626,23.61,23.72,,0.54,0.73,0.71,49.48,-0.37,-0.48,0.11,25.13,23.72,22.31,0.01,6954296.2,10242635.5
1999-12-30,23.91,24.26,23.66,24.07,4143101,23.81,23.73,,0.6,0.7,0.71,50.61,-0.3,-0.44,0.14,25.15,23.73,22.32,0.03,6321922.0,9955790.4
1999-12-31,24.05,24.17,23.95,23.95,2509084,23.82,23.71,,0.22,0.68,0.69,45.82,-0.26,-0.4,0.15,25.1,23.71,22.32,0.04,4948023.8,9552280.75
2000-01-03,23.05,23.24,22.24,22.47,25988604,23.59,23.57,,1.71,0.77,0.64,35.55,-0.33,-0.39,0.06,24.86,23.57,22.29,0.0,8497326.0,10228256.4
2000-01-04,21.9,22.08,21.46,21.98,25203222,23.28,23.46,,1.01,0.78,0.71,36.27,-0.43,-0.4,-0.03,24.87,23.46,22.04,-0.01,12563527.4,10949745.05
2000-01-05,21.78,22.5,21.4,21.84,18734624,22.86,23.34,,1.1,0.81,0.77,37.41,-0.51,-0.42,-0.09,24.88,23.34,21.79,-0.06,15315727.0,11286060.6
2000-01-06,21.74,22.62,21.63,22.15,17992291,22.48,23.24,,0.99,0.82,0.8,41.74,-0.55,-0.45,-0.1,24.84,23.24,21.65,-0.04,18085565.0,11671371.4
2000-01-07,22.52,22.79,22.02,22.56,14128416,22.2,23.17,,0.77,0.81,0.79,51.16,-0.53,-0.46,-0.07,24.76,23.17,21.59,-0.06,20409431.4,11865531.8
2000-01-10,22.56,22.76,22.17,22.17,10154684,22.14,23.06,,0.59,0.82,0.77,49.06,-0.55,-0.48,-0.07,24.61,23.06,21.52,-0.06,17242647.4,11852853.85
2000-01-11,21.71,21.84,21.16,21.65,18070329,22.07,22.94,,1.01,0.8,0.78,36.66,-0.59,-0.5,-0.09,24.5,22.94,21.37,-0.08,15816068.8,12480379.7
2000-01-12,21.61,21.98,21.55,21.78,15633076,22.06,22.84,,0.43,0.79,0.81,38.32,-0.61,-0.53,-0.09,24.46,22.84,21.23,-0.09,15195759.2,12900720.3
2000-01-13,22.06,22.48,21.88,22.11,14874403,22.05,22.79,,0.7,0.77,0.82,32.68,-0.6,-0.54,-0.06,24.42,22.79,21.15,-0.08,14572181.6,13148591.6
2000-01-14,22.93,23.49,22.58,22.91,20921638,22.12,22.78,,1.38,0.81,0.81,43.97,-0.51,-0.53,0.02,24.4,22.78,21.15,-0.04,15930826.0,13756265.0
2000-01-18,22.93,23.1,21.78,22.02,11386748,22.09,22.76,,1.32,0.88,0.83,38.1,-0.51,-0.53,0.02,24.41,22.76,21.1,-0.02,16177238.8,13246257.5
2000-01-19,22.4,23.38,22.4,22.99,33826803,22.36,22.79,,1.36,0.94,0.82,43.56,-0.43,-0.51,0.08,24.43,22.79,21.15,0.05,19328533.6,14266692.35
2000-01-20,23.38,23.57,22.56,22.97,16704761,22.6,22.78,,1.01,0.97,0.82,42.14,-0.36,-0.48,0.12,24.42,22.78,21.14,0.05,19542870.6,14252163.25
2000-01-21,22.91,22.95,22.52,22.62,11094371,22.7,22.76,,0.45,0.99,0.82,40.8,-0.33,-0.45,0.12,24.39,22.76,21.13,0.02,18786864.2,14441633.2
2000-01-24,23.06,23.12,22.39,22.64,13885916,22.65,22.7,,0.73,0.92,0.77,51.47,-0.3,-0.42,0.12,24.24,22.7,21.15,0.0,17379719.8,14667000.25
2000-01-25,22.64,23.49,22.64,23.14,16295436,22.87,22.68,,0.85,0.91,0.75,60.03,-0.23,-0.38,0.15,24.18,22.68,21.17,0.04,18361457.4,15069667.4
2000-01-26,23.38,24.5,23.26,24.32,18029698,23.14,22.71,,1.36,0.92,0.81,68.18,-0.08,-0.32,0.24,24.34,22.71,21.08,0.12,15202036.4,15727541.55
2000-01-27,24.63,25.27,24.36,25.02,17555017,23.55,22.77,,0.95,0.92,0.93,69.9,0.09,-0.24,0.33,24.63,22.77,20.91,0.15,15372087.6,16356611.1
2000-01-28,24.67,24.67,23.76,23.78,16123665,23.78,22.75,,1.26,0.96,0.91,57.59,0.13,-0.17,0.29,24.57,22.75,20.93,0.08,16377946.4,16955639.3
2000-01-31,23.82,25.27,23.82,25.02,15393156,24.26,22.81,,1.49,1.02,1.01,66.03,0.25,-0.08,0.33,24.83,22.81,20.79,0.09,16679394.4,17599842.9
2000-02-01,25.56,26.2,25.21,25.97,20747932,24.82,22.98,,1.18,1.03,1.23,73.18,0.42,0.02,0.4,25.44,22.98,20.52,0.18,17569893.6,17337809.3
2000-02-02,25.74,26.11,25.24,25.55,15320061,25.07,23.16,,0.87,1.06,1.33,69.61,0.52,0.12,0.4,25.82,23.16,20.5,0.11,17027966.2,16843651.25
