date,open,high,low,close,volume,ma_5,ma_20,ma_90,tr,atr_14,close_std_20,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,roc_10,volume_sma_5,volume_sma_20
1999-11-01,14.46,14.74,14.37,14.65,16967147,,,,0.37,,,,0.0,0.0,0.0,,,,,,
1999-11-02,14.56,14.63,14.23,14.34,12996627,,,,0.42,,,,-0.02,-0.0,-0.02,,,,,,
1999-11-03,14.2,14.34,13.92,14.12,15944511,,,,0.42,,,,-0.06,-0.02,-0.05,,,,,,
1999-11-04,14.28,14.28,13.92,14.07,15178440,,,,0.36,,,,-0.09,-0.03,-0.06,,,,,,
1999-11-05,14.39,14.51,14.31,14.43,16532960,14.32,,,0.44,,,,-0.09,-0.04,-0.05,,,,,15523937.0,
1999-11-08,14.39,14.63,14.32,14.6,11015797,14.31,,,0.31,,,,-0.07,-0.05,-0.02,,,,,14333667.0,
1999-11-09,14.6,14.6,14.21,14.32,8974552,14.31,,,0.39,,,,-0.08,-0.05,-0.02,,,,,13529252.0,
1999-11-10,14.17,14.46,14.15,14.37,10369349,14.36,,,0.31,,,,-0.08,-0.06,-0.02,,,,,12414219.6,
1999-11-11,14.35,14.39,14.03,14.09,9756331,14.36,,,0.36,,,,-0.1,-0.07,-0.03,,,,,11329797.8,
1999-11-12,14.15,14.28,14.04,14.28,9732165,14.33,,,0.24,,,,-0.1,-0.07,-0.03,,,,,9969638.8,
1999-11-15,14.28,14.48,14.28,14.46,11160392,14.3,,,0.2,,,,-0.09,-0.08,-0.01,,,,-0.01,9998557.8,
1999-11-16,14.48,14.71,14.34,14.71,13208485,14.38,,,0.37,,,,-0.05,-0.07,0.02,,,,0.03,10845344.4,
1999-11-17,14.57,14.9,14.52,14.88,15919539,14.48,,,0.38,,,,-0.01,-0.06,0.05,,,,0.05,11955382.4,
1999-11-18,14.9,15.1,14.71,15.01,13284206,14.67,,,0.39,0.35,,,0.03,-0.04,0.07,,,,0.07,12660957.4,
1999-11-19,15.02,15.07,14.82,15.02,15107552,14.82,,,0.25,0.35,,56.98,0.06,-0.02,0.08,,,,0.04,13736034.8,
1999-11-22,15.27,16.4,15.27,16.23,50390325,15.17,,,1.38,0.41,,76.62,0.18,0.02,0.16,,,,0.11,21582021.4,
1999-11-23,16.39,16.62,16.34,16.54,38798565,15.54,,,0.39,0.41,,83.24,0.3,0.07,0.23,,,,0.16,26700037.4,
1999-11-24,16.5,16.99,16.43,16.87,23463850,15.93,,,0.56,0.43,,85.71,0.42,0.14,0.27,,,,0.17,28208899.6,
1999-11-26,16.67,16.85,16.53,16.53,6659019,16.24,,,0.34,0.42,,76.92,0.47,0.21,0.26,,,,0.17,26883862.2,
1999-11-29,16.4,16.72,16.36,16.69,17117623,16.57,15.01,,0.36,0.42,0.97,76.86,0.53,0.27,0.25,16.95,15.01,13.07,0.17,27285876.4,16628871.75
1999-11-30,16.58,16.91,16.55,16.72,15170438,16.67,15.11,,0.36,0.42,1.04,82.97,0.57,0.33,0.23,17.19,15.11,13.04,0.16,20241899.0,16539036.3
1999-12-01,16.6,17.17,16.6,16.97,21821644,16.76,15.25,,0.57,0.44,1.1,83.85,0.61,0.39,0.22,17.44,15.25,13.05,0.15,16846514.8,16980287.15
