date,open,high,low,close,volume,ma_5,ma_20,ma_90,tr,atr_14,close_std_20,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,roc_10,volume_sma_5,volume_sma_20
1999-11-01,22.07,22.2,21.8,22.03,7441367,,,,0.4,,,,0.0,0.0,0.0,,,,,,
1999-11-02,22.23,22.27,21.7,21.8,4257183,,,,0.57,,,,-0.02,-0.0,-0.01,,,,,,
1999-11-03,21.8,22.96,21.7,22.17,14380576,,,,1.26,,,,-0.0,-0.0,0.0,,,,,,
1999-11-04,23.09,23.92,22.96,23.88,18608242,,,,1.75,,,,0.15,0.03,0.12,,,,,,
1999-11-05,24.15,24.64,24.12,24.58,13594416,22.89,,,0.76,,,,0.32,0.08,0.23,,,,,11656356.8,
1999-11-08,24.25,24.87,24.18,24.84,14260428,23.45,,,0.69,,,,0.47,0.16,0.31,,,,,13020169.0,
1999-11-09,24.84,24.91,24.21,24.51,10899335,24.0,,,0.7,,,,0.55,0.24,0.31,,,,,14348599.4,
1999-11-10,24.15,24.44,24.05,24.34,6739216,24.43,,,0.46,,,,0.6,0.31,0.29,,,,,12820327.4,
1999-11-11,24.44,25.0,24.31,24.84,5649566,24.62,,,0.69,,,,0.67,0.38,0.29,,,,,10228592.2,
1999-11-12,25.21,26.19,25.07,25.57,12092292,24.82,,,1.35,,,,0.78,0.46,0.32,,,,,9928167.4,
1999-11-15,25.14,25.44,24.54,24.78,4535130,24.81,,,1.03,,,,0.79,0.53,0.26,,,,0.12,7983107.8,
1999-11-16,24.58,24.91,24.41,24.41,4705228,24.79,,,0.5,,,,0.76,0.57,0.18,,,,0.12,6744286.4,
1999-11-17,24.34,24.48,24.21,24.38,4665305,24.8,,,0.27,,,,0.72,0.6,0.12,,,,0.1,6329504.2,
1999-11-18,24.31,25.37,24.21,24.84,14174528,24.8,,,1.16,0.83,,,0.73,0.63,0.1,,,,0.04,8034496.6,
1999-11-19,24.31,25.07,24.12,25.04,10845600,24.69,,,0.95,0.87,,71.97,0.73,0.65,0.09,,,,0.02,7785158.2,
1999-11-22,24.74,24.91,24.64,24.79,7241942,24.69,,,0.4,0.86,,71.76,0.71,0.66,0.05,,,,-0.0,8326520.6,
1999-11-23,24.87,24.87,24.54,24.68,4962362,24.75,,,0.33,0.79,,68.99,0.68,0.67,0.01,,,,0.01,8377947.4,
1999-11-24,24.34,24.51,23.98,23.98,4839377,24.67,,,0.7,0.71,,50.89,0.59,0.65,-0.06,,,,-0.01,8412761.8,
1999-11-26,24.02,24.02,23.55,23.55,2659699,24.41,,,0.47,0.69,,40.34,0.48,0.62,-0.14,,,,-0.05,6109796.0,
1999-11-29,23.68,24.17,23.58,24.07,4972927,24.21,24.15,,0.62,0.69,1.03,43.11,0.43,0.58,-0.15,26.22,24.15,22.09,-0.06,4935261.4,8576235.95
1999-11-30,24.07,24.54,23.81,23.88,5681887,24.03,24.25,,0.73,0.69,0.91,44.22,0.37,0.54,-0.17,26.06,24.25,22.43,-0.04,4623250.4,8488261.95
1999-12-01,23.88,24.73,23.81,24.35,6368356,23.97,24.37,,0.92,0.72,0.7,50.09,0.35,0.5,-0.15,25.77,24.37,22.98,-0.0,4904449.2,8593820.6
1999-12-02,24.37,24.37,23.75,23.91,7098485,23.95,24.46,,0.62,0.72,0.49,41.83,0.3,0.46,-0.16,25.43,24.46,23.49,-0.02,5356270.8,8229716.05
1999-12-03,24.14,24.37,23.94,24.27,6709322,24.1,24.48,,0.46,0.65,0.47,37.78,0.29,0.43,-0.14,25.42,24.48,23.54,-0.02,6166195.4,7634770.05
1999-12-06,23.97,24.47,23.94,24.37,2993471,24.16,24.47,,0.53,0.62,0.47,45.57,0.28,0.4,-0.11,25.41,24.47,23.53,-0.03,5770304.2,7104722.8
1999-12-07,24.17,24.21,23.54,23.64,5539377,24.11,24.41,,0.83,0.64,0.5,42.28,0.22,0.36,-0.14,25.4,24.41,23.42,-0.05,5741802.2,6668670.25
