date,open,high,low,close,volume,ma_5,ma_20,ma_90,tr,atr_14,close_std_20,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,roc_10,volume_sma_5,volume_sma_20
1999-11-01,19.74,19.96,19.46,19.51,5257038,,,,0.5,,,,0.0,0.0,0.0,,,,,,
1999-11-02,19.66,19.95,19.6,19.69,6723323,,,,0.44,,,,0.01,0.0,0.01,,,,,,
1999-11-03,19.64,19.86,19.57,19.61,5931153,,,,0.29,,,,0.02,0.01,0.01,,,,,,
1999-11-04,19.69,19.9,19.62,19.66,5836228,,,,0.29,,,,0.03,0.01,0.02,,,,,,
1999-11-05,19.82,19.97,19.77,19.86,3644751,19.67,,,0.31,,,,0.05,0.02,0.03,,,,,5478498.6,
1999-11-08,19.78,19.96,19.65,19.72,4308266,19.71,,,0.31,,,,0.05,0.02,0.03,,,,,5288744.2,
1999-11-09,19.77,19.79,19.51,19.52,3965185,19.67,,,0.28,,,,0.04,0.03,0.01,,,,,4737116.6,
1999-11-10,19.4,19.7,19.33,19.66,4084203,19.68,,,0.37,,,,0.04,0.03,0.01,,,,,4367726.6,
1999-11-11,19.61,19.75,19.5,19.51,3306489,19.65,,,0.25,,,,0.03,0.03,-0.0,,,,,3861778.8,
1999-11-12,19.56,19.88,19.47,19.86,6917992,19.65,,,0.41,,,,0.05,0.03,0.01,,,,,4516427.0,
1999-11-15,19.77,20.42,19.75,20.22,3866405,19.75,,,0.67,,,,0.09,0.05,0.05,,,,0.04,4428054.8,
1999-11-16,20.23,21.0,20.23,20.98,7854718,20.05,,,0.78,,,,0.18,0.07,0.11,,,,0.07,5205961.4,
1999-11-17,20.87,21.35,20.87,21.18,5542076,20.35,,,0.48,,,,0.27,0.11,0.16,,,,0.08,5497536.0,
1999-11-18,21.2,21.58,21.14,21.45,6512479,20.74,,,0.44,0.42,,,0.36,0.16,0.2,,,,0.09,6138734.0,
1999-11-19,21.47,21.51,21.26,21.35,5667629,21.04,,,0.25,0.4,,78.93,0.41,0.21,0.2,,,,0.08,5888661.4,
1999-11-22,20.97,21.06,20.65,20.65,4837636,21.12,,,0.7,0.42,,62.97,0.4,0.25,0.15,,,,0.05,6082907.6,
1999-11-23,20.59,20.59,20.11,20.19,6075438,20.96,,,0.54,0.43,,57.11,0.34,0.27,0.07,,,,0.03,5727051.6,
1999-11-24,20.14,20.53,20.03,20.05,6909744,20.74,,,0.5,0.45,,54.68,0.28,0.27,0.01,,,,0.02,6000585.2,
1999-11-26,20.05,20.05,19.92,19.93,1960932,20.43,,,0.13,0.44,,50.86,0.23,0.26,-0.04,,,,0.02,5090275.8,
1999-11-29,19.67,19.82,19.45,19.81,6404656,20.13,20.12,,0.48,0.45,0.64,51.11,0.17,0.24,-0.07,21.41,20.12,18.84,-0.0,5237681.2,5280317.05
1999-11-30,19.75,19.99,19.58,19.94,7741176,19.98,20.14,,0.41,0.46,0.63,55.25,0.13,0.22,-0.09,21.4,20.14,18.89,-0.01,5818389.2,5404523.95
1999-12-01,19.76,19.88,19.52,19.71,4942104,19.89,20.14,,0.42,0.46,0.63,50.61,0.08,0.19,-0.11,21.4,20.14,18.89,-0.06,5591722.4,5315463.0
1999-12-02,19.82,20.54,19.81,20.28,6271435,19.93,20.18,,0.83,0.5,0.62,58.54,0.09,0.17,-0.08,21.41,20.18,18.95,-0.04,5464060.6,5332477.1
1999-12-03,20.35,21.03,20.35,20.72,7333367,20.09,20.23,,0.75,0.53,0.61,59.35,0.13,0.16,-0.04,21.46,20.23,19.0,-0.03,6538547.6,5407334.05
1999-12-06,20.55,20.67,20.32,20.41,3072222,20.21,20.26,,0.4,0.51,0.61,52.09,0.13,0.16,-0.02,21.47,20.26,19.04,-0.04,5872060.8,5378707.6
1999-12-07,20.35,20.35,19.41,19.41,5248320,20.11,20.24,,1.0,0.52,0.63,33.61,0.05,0.14,-0.08,21.5,20.24,18.99,-0.06,5373489.6,5425710.3
1999-12-08,19.59,19.92,19.43,19.62,5090659,20.09,20.25,,0.51,0.53,0.62,33.75,0.01,0.11,-0.1,21.49,20.25,19.0,-0.03,5403200.6,5481984.0
1999-12-09,19.88,20.05,19.51,19.55,3693280,19.94,20.24,,0.54,0.53,0.63,29.35,-0.03,0.08,-0.11,21.5,20.24,18.99,-0.02,4887569.6,5462437.85
1999-12-10,19.49,19.69,19.41,19.6,3452237,19.72,20.25,,0.28,0.54,0.62,30.77,-0.06,0.05,-0.11,21.49,20.25,19.0,-0.02,4111343.6,5469725.25
1999-12-13,19.56,19.72,19.39,19.56,4197889,19.55,20.23,,0.33,0.51,0.64,35.99,-0.08,0.03,-0.11,21.5,20.23,18.96,-0.01,4336477.0,5333720.1
1999-12-14,19.62,20.22,19.6,19.66,6394113,19.6,20.2,,0.66,0.52,0.65,42.49,-0.09,0.0,-0.1,21.5,20.2,18.91,-0.01,4565635.6,5460105.5
1999-12-15,19.62,20.05,19.62,19.88,7139766,19.65,20.15,,0.43,0.51,0.62,47.65,-0.08,-0.01,-0.07,21.4,20.15,18.9,0.01,4975457.0,5424357.9
1999-12-16,19.72,19.76,19.52,19.55,3888319,19.65,20.07,,0.36,0.53,0.59,45.03,-0.1,-0.03,-0.07,21.24,20.07,18.89,-0.04,5014464.8,5341670.05
1999-12-17,19.82,19.98,19.72,19.85,10961474,19.7,19.99,,0.43,0.52,0.49,50.5,-0.09,-0.04,-0.04,20.97,19.99,19.0,-0.04,6516312.2,5564119.8
1999-12-20,19.51,19.73,19.21,19.5,5107911,19.69,19.89,,0.64,0.54,0.38,44.79,-0.1,-0.05,-0.05,20.66,19.89,19.13,-0.04,6698316.6,5536133.9
