date,open,high,low,close,volume,ma_5,ma_20,ma_90,tr,atr_14,close_std_20,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,roc_10,volume_sma_5,volume_sma_20
1999-11-01,30.25,30.63,30.25,30.49,7470995,,,,0.38,,,,0.0,0.0,0.0,,,,,,
1999-11-02,30.49,30.73,29.89,29.91,8314734,,,,0.84,,,,-0.05,-0.01,-0.04,,,,,,
1999-11-03,30.44,30.99,30.18,30.32,11558420,,,,1.08,,,,-0.05,-0.02,-0.03,,,,,,
1999-11-04,30.49,30.92,30.29,30.54,10817245,,,,0.63,,,,-0.03,-0.02,-0.01,,,,,,
1999-11-05,30.63,31.09,30.46,30.8,9959413,30.41,,,0.63,,,,-0.0,-0.02,0.02,,,,,9624161.4,
1999-11-08,30.82,30.85,30.25,30.25,6535392,30.36,,,0.6,,,,-0.02,-0.02,-0.0,,,,,9437040.8,
1999-11-09,30.34,30.42,29.77,29.89,7088402,30.36,,,0.65,,,,-0.06,-0.03,-0.03,,,,,9191774.4,
1999-11-10,29.17,29.89,29.17,29.72,9878510,30.24,,,0.72,,,,-0.11,-0.04,-0.06,,,,,8855792.4,
1999-11-11,29.65,29.72,28.86,29.41,10277805,30.01,,,0.86,,,,-0.17,-0.07,-0.1,,,,,8747904.4,
1999-11-12,29.31,29.36,28.6,29.1,10350096,29.67,,,0.81,,,,-0.24,-0.1,-0.14,,,,,8826041.0,
1999-11-15,28.83,29.17,28.74,28.81,9767594,29.39,,,0.43,,,,-0.31,-0.14,-0.17,,,,-0.06,9472481.4,
1999-11-16,28.86,29.12,28.5,29.12,13371951,29.23,,,0.62,,,,-0.34,-0.18,-0.16,,,,-0.03,10729191.2,
1999-11-17,29.1,29.89,29.03,29.6,12904802,29.21,,,0.86,,,,-0.32,-0.21,-0.11,,,,-0.02,11334449.6,
1999-11-18,30.01,30.27,29.75,30.15,9334372,29.36,,,0.67,0.7,,,-0.26,-0.22,-0.04,,,,-0.01,11145763.0,
1999-11-19,29.91,30.54,29.91,30.42,10811503,29.62,,,0.63,0.72,,49.31,-0.19,-0.21,0.03,,,,-0.01,11238044.4,
