date,open,high,low,close,volume,ma_5,ma_20,ma_90,tr,atr_14,close_std_20,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,roc_10,volume_sma_5,volume_sma_20
1999-11-01,28.64,28.93,28.3,28.37,86700271,,,,0.63,,,,0.0,0.0,0.0,,,,,,
1999-11-02,28.49,29.03,28.24,28.43,75448372,,,,0.79,,,,0.0,0.0,0.0,,,,,,
1999-11-03,28.55,28.72,28.1,28.26,72466185,,,,0.62,,,,-0.01,-0.0,-0.0,,,,,,
1999-11-04,28.35,28.49,27.74,28.18,88292616,,,,0.75,,,,-0.02,-0.0,-0.02,,,,,,
1999-11-05,28.2,28.53,27.8,28.12,114220719,28.27,,,0.73,,,,-0.03,-0.01,-0.02,,,,,87425632.6,
1999-11-08,26.05,27.87,25.91,27.63,396896627,28.12,,,2.21,,,,-0.09,-0.03,-0.06,,,,,149464903.8,
1999-11-09,27.57,27.6,26.55,27.3,178686762,27.9,,,1.08,,,,-0.15,-0.05,-0.1,,,,,170112581.8,
1999-11-10,27.07,27.37,26.55,26.76,112947755,27.6,,,0.82,,,,-0.24,-0.09,-0.15,,,,,178208895.8,
1999-11-11,27.11,27.78,27.11,27.53,112767391,27.47,,,1.02,,,,-0.25,-0.12,-0.13,,,,,183103850.8,
1999-11-12,27.57,27.64,26.74,27.4,80438002,27.32,,,0.9,,,,-0.27,-0.15,-0.12,,,,,176347307.4,
1999-11-15,27.11,27.18,26.7,26.72,76638968,27.14,,,0.7,,,,-0.33,-0.19,-0.14,,,,-0.06,112295775.6,
1999-11-16,26.7,26.95,26.38,26.82,96310989,27.05,,,0.57,,,,-0.36,-0.22,-0.14,,,,-0.06,95820621.0,
1999-11-17,26.55,26.74,26.11,26.11,108770087,26.92,,,0.71,,,,-0.45,-0.27,-0.18,,,,-0.08,94985087.4,
1999-11-18,26.09,26.36,25.95,26.09,104984076,26.63,,,0.41,0.85,,,-0.51,-0.31,-0.19,,,,-0.07,93428424.4,
1999-11-19,25.94,26.59,25.91,26.42,94782130,26.43,,,0.68,0.86,,28.19,-0.52,-0.36,-0.17,,,,-0.06,96297250.0,
1999-11-22,27.53,27.76,27.16,27.59,147476019,26.61,,,1.34,0.9,,42.47,-0.43,-0.37,-0.06,,,,-0.0,110464660.2,
1999-11-23,27.41,28.06,27.14,27.53,115229975,26.75,,,0.92,0.92,,43.33,-0.37,-0.37,0.0,,,,0.01,114248457.4,
1999-11-24,27.51,28.34,27.49,28.16,87530139,27.16,,,0.85,0.92,,49.83,-0.26,-0.35,0.09,,,,0.05,110000467.8,
1999-11-26,28.14,28.68,27.95,27.99,46416319,27.54,,,0.73,0.92,,48.94,-0.18,-0.31,0.13,,,,0.02,98286916.4,
1999-11-29,27.68,28.28,27.49,27.7,83768546,27.79,27.46,,0.79,0.82,0.74,50.59,-0.15,-0.28,0.13,28.94,27.46,25.97,0.01,96084199.6,114038597.4
1999-11-30,27.57,28.53,27.51,27.97,104418242,27.87,27.44,,1.02,0.82,0.72,55.71,-0.09,-0.24,0.15,28.88,27.44,25.99,0.05,87472644.2,114924495.95
1999-12-01,27.97,28.85,27.91,28.62,79542695,28.09,27.45,,0.94,0.83,0.74,65.55,-0.0,-0.2,0.19,28.92,27.45,25.97,0.07,80335188.2,115129212.1
1999-12-02,28.58,29.26,28.53,29.12,90302011,28.28,27.49,,0.73,0.81,0.81,63.92,0.11,-0.13,0.25,29.11,27.49,25.87,0.12,80889562.6,116021003.4
1999-12-03,29.43,29.83,29.4,29.52,104344990,28.59,27.56,,0.71,0.79,0.92,67.73,0.23,-0.06,0.29,29.39,27.56,25.72,0.13,92475296.8,116823622.1
1999-12-06,29.26,29.85,29.1,29.32,79923607,28.91,27.62,,0.75,0.8,0.99,73.64,0.31,0.01,0.29,29.6,27.62,25.63,0.11,91706309.0,115108766.5
1999-12-07,29.1,29.14,28.53,28.57,92557209,29.03,27.66,,0.79,0.81,1.02,64.23,0.3,0.07,0.23,29.69,27.66,25.63,0.04,89334102.4,99891795.6
1999-12-08,28.6,28.97,28.16,28.18,66669150,28.94,27.71,,0.81,0.82,1.02,67.75,0.26,0.11,0.15,29.74,27.71,25.67,0.02,86759393.4,94290915.0
1999-12-09,28.26,28.66,28.09,28.49,75300565,28.82,27.79,,0.57,0.83,1.01,69.61,0.26,0.14,0.12,29.81,27.79,25.78,0.01,83759104.2,92408555.5
1999-12-10,28.68,28.91,28.34,28.83,59962809,28.68,27.86,,0.57,0.82,1.03,69.66,0.27,0.17,0.11,29.92,27.86,25.8,0.03,74882668.0,89768326.4
1999-12-13,28.75,29.78,28.49,29.68,85773058,28.75,27.97,,1.29,0.82,1.1,67.99,0.35,0.2,0.15,30.17,27.97,25.77,0.07,76052558.2,90035079.2
1999-12-14,29.55,31.06,29.28,30.31,234596921,29.1,28.15,,1.78,0.88,1.18,71.79,0.46,0.26,0.21,30.5,28.15,25.8,0.08,104460500.6,97932976.85
1999-12-15,30.27,33.4,30.25,33.31,253244385,30.12,28.48,,3.15,1.04,1.61,79.43,0.78,0.36,0.42,31.69,28.48,25.26,0.16,141775547.6,105779646.65
1999-12-16,33.56,35.32,33.46,34.92,209437154,31.41,28.92,,2.01,1.14,2.07,84.0,1.15,0.52,0.63,33.05,28.92,24.78,0.2,168602865.4,110813000.0
1999-12-17,35.82,35.97,34.9,35.4,172385425,32.72,29.38,,1.07,1.16,2.41,87.09,1.46,0.71,0.76,34.21,29.38,24.55,0.2,191087388.6,114183067.45
1999-12-20,35.26,35.32,34.15,34.63,64191590,33.71,29.79,,1.25,1.17,2.58,80.61,1.63,0.89,0.74,34.95,29.79,24.64,0.18,186771095.0,112653540.45
1999-12-21,34.52,35.82,33.98,35.59,93512421,34.77,30.19,,1.84,1.24,2.83,81.14,1.82,1.08,0.74,35.84,30.19,24.54,0.25,158554195.0,109955360.55
1999-12-22,35.72,36.24,35.36,36.11,62777656,35.33,30.62,,0.88,1.25,3.04,81.18,1.99,1.26,0.73,36.71,30.62,24.53,0.28,120460849.2,107332744.6
1999-12-23,36.01,36.63,35.86,36.07,50509014,35.56,31.02,,0.77,1.25,3.22,80.18,2.1,1.43,0.67,37.45,31.02,24.58,0.27,88675221.2,105481688.35
1999-12-27,36.38,36.63,35.67,36.59,52419763,35.8,31.45,,0.96,1.27,3.36,82.54,2.2,1.58,0.62,38.17,31.45,24.72,0.27,64682088.8,105781860.55
1999-12-28,36.47,36.49,35.96,36.09,40030010,36.09,31.87,,0.63,1.26,3.39,84.43,2.21,1.71,0.51,38.65,31.87,25.08,0.22,59849772.8,103594933.75
1999-12-29,35.92,36.36,35.88,36.23,28404361,36.22,32.28,,0.48,1.23,3.4,87.72,2.21,1.81,0.4,39.07,32.28,25.49,0.2,46828160.8,99794239.7
1999-12-30,36.2,36.84,35.97,36.13,36398317,36.22,32.65,,0.87,1.25,3.39,86.52,2.18,1.88,0.29,39.43,32.65,25.88,0.08,41552293.0,97637020.8
1999-12-31,36.09,36.17,35.71,35.86,20376546,36.18,32.99,,0.46,1.25,3.35,83.83,2.1,1.93,0.18,39.69,32.99,26.29,0.03,35525799.4,94140747.55
2000-01-03,36.05,36.43,34.4,35.8,86646878,36.02,33.31,,2.03,1.3,3.3,81.87,2.01,1.94,0.07,39.91,33.31,26.7,0.01,42371222.4,93255841.95
2000-01-04,34.88,35.97,34.48,34.59,88096625,35.72,33.57,,1.49,1.28,3.18,71.02,1.83,1.92,-0.09,39.92,33.57,27.22,-0.0,51984545.4,93664492.85
2000-01-05,34.13,35.74,33.59,34.96,104278249,35.47,33.89,,2.15,1.21,2.96,60.93,1.69,1.87,-0.19,39.81,33.89,27.97,-0.02,67159323.0,94250544.85
