date,open,high,low,close,volume,ma_5,ma_20,ma_90,tr,atr_14,close_std_20,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,roc_10,volume_sma_5,volume_sma_20
1999-11-01,5.02,5.07,4.97,5.07,9957689,,,,0.1,,,,0.0,0.0,0.0,,,,,,
1999-11-02,5.0,5.03,4.73,4.73,17139847,,,,0.34,,,,-0.03,-0.01,-0.02,,,,,,
1999-11-03,4.64,4.64,4.3,4.52,35944124,,,,0.43,,,,-0.06,-0.02,-0.05,,,,,,
1999-11-04,4.51,4.61,4.49,4.53,16603185,,,,0.12,,,,-0.09,-0.03,-0.06,,,,,,
1999-11-05,4.52,4.57,4.23,4.31,18374281,4.63,,,0.34,,,,-0.13,-0.05,-0.08,,,,,19603825.2,
1999-11-08,4.24,4.27,4.08,4.22,25026443,4.46,,,0.23,,,,-0.17,-0.08,-0.09,,,,,22617576.0,
1999-11-09,4.22,4.33,4.16,4.27,14273206,4.37,,,0.17,,,,-0.19,-0.1,-0.09,,,,,22044247.8,
1999-11-10,4.25,4.37,4.2,4.23,11282122,4.31,,,0.17,,,,-0.21,-0.12,-0.09,,,,,17111847.4,
1999-11-11,4.25,4.26,4.14,4.15,10566572,4.24,,,0.12,,,,-0.23,-0.14,-0.08,,,,,15904524.8,
1999-11-12,4.17,4.21,4.1,4.15,7545488,4.2,,,0.11,,,,-0.24,-0.16,-0.08,,,,,13738766.2,
1999-11-15,4.16,4.29,4.11,4.26,12168780,4.21,,,0.18,,,,-0.24,-0.18,-0.06,,,,-0.16,11167233.6,
1999-11-16,4.24,4.3,3.97,3.99,17956507,4.16,,,0.33,,,,-0.25,-0.19,-0.06,,,,-0.16,11903893.8,
1999-11-17,3.98,4.07,3.97,3.98,31315276,4.11,,,0.1,,,,-0.26,-0.21,-0.06,,,,-0.12,15910524.6,
1999-11-18,4.05,4.26,4.03,4.23,30449728,4.12,,,0.28,0.22,,,-0.25,-0.21,-0.04,,,,-0.07,19887155.8,
1999-11-19,4.46,4.47,4.32,4.43,23186460,4.18,,,0.24,0.23,,32.98,-0.22,-0.22,-0.0,,,,0.03,23015350.2,
1999-11-22,4.41,4.44,4.3,4.37,10378796,4.2,,,0.14,0.21,,38.75,-0.2,-0.21,0.01,,,,0.04,22657353.4,
1999-11-23,4.36,4.37,4.24,4.26,9912134,4.25,,,0.13,0.19,,41.33,-0.19,-0.21,0.02,,,,-0.0,21048478.8,
1999-11-24,4.27,4.28,4.16,4.19,5739949,4.3,,,0.12,0.19,,39.1,-0.18,-0.2,0.02,,,,-0.01,15933413.4,
1999-11-26,4.23,4.26,4.2,4.23,2027760,4.3,,,0.07,0.17,,47.1,-0.18,-0.2,0.02,,,,0.02,10249019.8,
1999-11-29,4.12,4.2,4.12,4.17,7938818,4.24,4.31,,0.11,0.16,0.25,48.15,-0.17,-0.19,0.02,4.82,4.31,3.81,0.0,7199491.4,15889358.25
1999-11-30,4.17,4.21,4.13,4.14,11799895,4.2,4.27,,0.08,0.16,0.18,45.11,-0.17,-0.19,0.02,4.63,4.27,3.91,-0.03,7483711.2,15981468.55
1999-12-01,4.12,4.25,4.11,4.23,7398823,4.19,4.24,,0.14,0.15,0.14,50.0,-0.16,-0.18,0.02,4.53,4.24,3.96,0.06,6981049.0,15494417.35
1999-12-02,4.25,4.25,4.01,4.1,17340956,4.17,4.22,,0.24,0.16,0.13,48.25,-0.16,-0.18,0.02,4.48,4.22,3.96,0.03,9301250.4,14564258.95
1999-12-03,4.07,4.22,4.07,4.17,16382076,4.16,4.2,,0.15,0.16,0.11,50.67,-0.15,-0.17,0.02,4.42,4.2,3.99,-0.01,12172113.6,14553203.5
1999-12-06,4.16,4.29,4.1,4.24,10081021,4.18,4.2,,0.19,0.17,0.11,49.32,-0.14,-0.16,0.03,4.41,4.2,3.99,-0.04,12600554.2,14138540.5
1999-12-07,4.17,4.22,4.12,4.18,11171011,4.18,4.2,,0.12,0.15,0.11,57.6,-0.13,-0.16,0.03,4.41,4.2,3.99,-0.04,12474777.4,13445768.9
1999-12-08,4.16,4.17,4.02,4.07,23837565,4.15,4.19,,0.16,0.15,0.11,53.33,-0.13,-0.15,0.02,4.4,4.19,3.97,-0.04,15762525.8,13923986.85
1999-12-09,4.05,4.16,4.05,4.12,7894374,4.16,4.18,,0.11,0.14,0.11,45.22,-0.13,-0.15,0.02,4.4,4.18,3.97,-0.02,13873209.4,13754599.45
1999-12-10,4.12,4.12,3.95,3.95,22862018,4.11,4.17,,0.17,0.14,0.12,28.57,-0.14,-0.15,0.01,4.41,4.17,3.93,-0.07,15169197.8,14369371.75
1999-12-13,3.95,3.95,3.76,3.85,15363196,4.03,4.16,,0.19,0.14,0.14,27.59,-0.15,-0.15,-0.0,4.44,4.16,3.88,-0.08,16225632.8,14760257.15
