date,open,high,low,close,volume,ma_5,ma_20,ma_90,tr,atr_14,close_std_20,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,roc_10,volume_sma_5,volume_sma_20
1999-11-01,0.04,0.05,0.04,0.04,853307196,,,,0.01,,,,0.0,0.0,0.0,,,,,,
1999-11-02,0.05,0.05,0.05,0.05,913237071,,,,0.01,,,,0.0,0.0,0.0,,,,,,
1999-11-03,0.05,0.05,0.05,0.05,2193590419,,,,0.0,,,,0.0,0.0,0.0,,,,,,
1999-11-04,0.05,0.06,0.05,0.06,1374304549,,,,0.01,,,,0.0,0.0,0.0,,,,,,
1999-11-05,0.06,0.06,0.05,0.05,672104380,0.05,,,0.01,,,,0.0,0.0,0.0,,,,,1201308723.0,
1999-11-08,0.05,0.06,0.05,0.06,512518191,0.05,,,0.01,,,,0.0,0.0,0.0,,,,,1133150922.0,
1999-11-09,0.06,0.06,0.05,0.05,296980006,0.05,,,0.01,,,,0.0,0.0,0.0,,,,,1009899509.0,
1999-11-10,0.05,0.05,0.05,0.05,157073845,0.05,,,0.0,,,,0.0,0.0,0.0,,,,,602596194.2,
1999-11-11,0.05,0.06,0.05,0.06,613587699,0.05,,,0.01,,,,0.0,0.0,0.0,,,,,450452824.2,
1999-11-12,0.06,0.06,0.06,0.06,546853560,0.06,,,0.0,,,,0.0,0.0,0.0,,,,,425402660.2,
1999-11-15,0.06,0.06,0.06,0.06,394961424,0.06,,,0.0,,,,0.0,0.0,0.0,,,,0.5,401891306.8,
1999-11-16,0.06,0.07,0.06,0.07,789242422,0.06,,,0.01,,,,0.01,0.0,0.0,,,,0.4,500343790.0,
1999-11-17,0.07,0.07,0.07,0.07,857494436,0.06,,,0.0,,,,0.01,0.0,0.0,,,,0.4,640427908.2,
1999-11-18,0.07,0.07,0.07,0.07,257305905,0.07,,,0.0,0.01,,,0.01,0.0,0.0,,,,0.17,569171549.4,
1999-11-19,0.08,0.08,0.08,0.08,2360975343,0.07,,,0.01,0.01,,75.0,0.01,0.01,0.0,,,,0.6,931995906.0,
1999-11-22,0.08,0.08,0.08,0.08,589040004,0.07,,,0.0,0.0,,71.43,0.01,0.01,0.0,,,,0.33,970811622.0,
1999-11-23,0.07,0.08,0.07,0.08,603276621,0.08,,,0.01,0.01,,71.43,0.01,0.01,0.0,,,,0.6,933618461.8,
1999-11-24,0.08,0.08,0.07,0.07,443638091,0.08,,,0.01,0.01,,57.14,0.01,0.01,0.0,,,,0.4,850847192.8,
1999-11-26,0.07,0.07,0.07,0.07,78249050,0.08,,,0.0,0.0,,66.67,0.01,0.01,0.0,,,,0.17,815035821.8,
1999-11-29,0.07,0.07,0.07,0.07,325610260,0.07,0.06,,0.0,0.0,0.01,60.0,0.01,0.01,0.0,0.09,0.06,0.04,0.17,407962805.2,741667523.6
