date,open,high,low,close,volume,ma_5,ma_20,ma_90,tr,atr_14,close_std_20,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,roc_10,volume_sma_5,volume_sma_20
1999-11-01,27.03,27.93,26.98,27.78,10926358,,,,0.95,,,,0.0,0.0,0.0,,,,,,
1999-11-02,27.73,27.88,27.27,27.27,9914003,,,,0.61,,,,-0.04,-0.01,-0.03,,,,,,
1999-11-03,27.42,27.68,27.09,27.47,9732059,,,,0.59,,,,-0.06,-0.02,-0.04,,,,,,
1999-11-04,27.6,27.63,26.75,27.09,8257457,,,,0.88,,,,-0.1,-0.03,-0.06,,,,,,
1999-11-05,27.27,27.47,27.14,27.24,6426743,27.37,,,0.38,,,,-0.12,-0.05,-0.07,,,,,9051324.0,
1999-11-08,27.24,27.99,27.16,27.93,6431408,27.4,,,0.83,,,,-0.08,-0.06,-0.02,,,,,8152334.0,
1999-11-09,27.93,27.93,27.21,27.65,5858751,27.48,,,0.72,,,,-0.07,-0.06,-0.01,,,,,7341283.6,
1999-11-10,27.65,27.73,27.16,27.63,5255382,27.51,,,0.57,,,,-0.06,-0.06,-0.0,,,,,6445948.2,
1999-11-11,27.55,27.73,27.03,27.37,6698493,27.56,,,0.7,,,,-0.07,-0.06,-0.01,,,,,6134155.4,
1999-11-12,27.39,27.52,27.11,27.52,6666225,27.62,,,0.41,,,,-0.07,-0.06,-0.01,,,,,6182051.8,
1999-11-15,26.98,27.65,26.98,27.42,7777327,27.52,,,0.67,,,,-0.08,-0.07,-0.01,,,,-0.01,6451235.6,
1999-11-16,27.57,27.63,27.27,27.63,6937197,27.51,,,0.36,,,,-0.06,-0.07,0.0,,,,0.01,6666924.8,
1999-11-17,27.55,28.24,27.52,28.04,6839616,27.6,,,0.72,,,,-0.02,-0.06,0.04,,,,0.02,6983771.6,
1999-11-18,27.93,28.22,27.86,28.19,10635169,27.76,,,0.36,0.62,,,0.03,-0.04,0.07,,,,0.04,7771106.8,
1999-11-19,28.11,28.47,27.86,28.42,12162255,27.94,,,0.61,0.6,,58.56,0.08,-0.02,0.1,,,,0.04,8870312.8,
1999-11-22,28.27,28.78,28.17,28.5,7893569,28.16,,,0.61,0.6,,68.58,0.13,0.01,0.12,,,,0.02,8893561.2,
1999-11-23,28.5,29.09,28.37,28.81,10770461,28.39,,,0.72,0.61,,69.59,0.19,0.05,0.14,,,,0.04,9660214.0,
1999-11-24,28.89,28.96,28.27,28.91,7748947,28.57,,,0.69,0.6,,78.98,0.24,0.09,0.16,,,,0.05,9842080.2,
1999-11-26,28.91,29.14,28.73,29.07,2844624,28.74,,,0.41,0.6,,79.05,0.3,0.13,0.17,,,,0.06,8283971.2,
1999-11-29,28.78,28.94,28.32,28.68,7517629,28.79,27.93,,0.75,0.59,0.61,63.16,0.3,0.16,0.14,29.15,27.93,26.71,0.04,7355046.0,7864683.65
