date,open,high,low,close,volume,ma_5,ma_20,ma_90,tr,atr_14,close_std_20,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,roc_10,volume_sma_5,volume_sma_20
1999-11-01,5.0,5.07,4.86,4.95,3178648,,,,0.21,,,,0.0,0.0,0.0,,,,,,
1999-11-02,4.98,5.2,4.98,5.09,3957192,,,,0.25,,,,0.01,0.0,0.01,,,,,,
1999-11-03,5.09,5.17,5.02,5.07,2955889,,,,0.15,,,,0.02,0.01,0.01,,,,,,
1999-11-04,5.09,5.19,4.99,5.03,1983487,,,,0.2,,,,0.02,0.01,0.01,,,,,,
1999-11-05,5.02,5.1,4.96,4.96,2930545,5.02,,,0.14,,,,0.02,0.01,0.01,,,,,3001152.2,
1999-11-08,4.99,5.09,4.99,5.06,1011530,5.04,,,0.13,,,,0.02,0.01,0.01,,,,,2567728.6,
1999-11-09,5.06,5.2,5.03,5.13,2077748,5.05,,,0.17,,,,0.03,0.02,0.01,,,,,2191839.8,
1999-11-10,5.09,5.16,5.05,5.15,1645125,5.07,,,0.11,,,,0.04,0.02,0.02,,,,,1929687.0,
1999-11-11,5.13,5.2,4.99,4.99,1345890,5.06,,,0.21,,,,0.03,0.02,0.01,,,,,1802167.6,
1999-11-12,5.03,5.12,4.89,4.95,3166643,5.06,,,0.23,,,,0.02,0.02,-0.0,,,,,1849387.2,
1999-11-15,4.95,5.09,4.78,5.0,3250233,5.04,,,0.31,,,,0.02,0.02,-0.0,,,,0.01,2297127.8,
1999-11-16,5.0,5.03,4.89,4.89,4083467,5.0,,,0.14,,,,0.01,0.02,-0.01,,,,-0.04,2698271.6,
1999-11-17,4.89,4.95,4.79,4.81,5060760,4.93,,,0.16,,,,-0.01,0.01,-0.02,,,,-0.05,3381398.6,
1999-11-18,4.84,4.86,4.7,4.72,3298698,4.87,,,0.16,0.18,,,-0.03,0.01,-0.03,,,,-0.06,3771960.2,
1999-11-19,4.72,4.89,4.72,4.84,2617082,4.85,,,0.17,0.18,,45.05,-0.03,-0.0,-0.03,,,,-0.02,3662048.0,
1999-11-22,4.84,4.95,4.78,4.85,2931435,4.82,,,0.17,0.18,,37.76,-0.04,-0.01,-0.03,,,,-0.04,3598288.4,
1999-11-23,4.86,4.95,4.75,4.93,4026110,4.83,,,0.2,0.18,,43.27,-0.03,-0.01,-0.02,,,,-0.04,3586817.0,
1999-11-24,4.95,4.95,4.79,4.81,5213712,4.83,,,0.16,0.18,,40.18,-0.04,-0.02,-0.02,,,,-0.07,3617407.4,
1999-11-26,4.82,4.93,4.74,4.85,1249850,4.86,,,0.19,0.18,,44.95,-0.04,-0.02,-0.02,,,,-0.03,3207637.8,
1999-11-29,4.86,4.91,4.71,4.82,3186207,4.85,4.94,,0.2,0.18,0.12,38.24,-0.04,-0.03,-0.01,5.19,4.94,4.7,-0.03,3321462.8,2958512.55
1999-11-30,4.81,4.89,4.72,4.78,2769145,4.84,4.94,,0.17,0.18,0.13,32.32,-0.04,-0.03,-0.02,5.19,4.94,4.69,-0.04,3289004.8,2938037.4
1999-12-01,4.78,4.79,4.57,4.57,4529874,4.77,4.91,,0.22,0.19,0.14,25.42,-0.06,-0.04,-0.03,5.2,4.91,4.62,-0.07,3389757.6,2966671.5
1999-12-02,4.58,4.75,4.57,4.71,4244422,4.75,4.89,,0.18,0.19,0.15,37.93,-0.07,-0.04,-0.03,5.18,4.89,4.6,-0.02,3195899.6,3031098.15
1999-12-03,4.77,4.93,4.77,4.93,3334713,4.76,4.89,,0.22,0.19,0.14,49.25,-0.05,-0.04,-0.01,5.17,4.89,4.6,0.04,3612872.2,3098659.45
1999-12-06,4.84,4.85,4.74,4.75,4050120,4.75,4.88,,0.19,0.18,0.14,41.5,-0.05,-0.05,-0.01,5.17,4.88,4.59,-0.02,3785654.8,3154638.2
1999-12-07,4.72,4.85,4.72,4.75,2633534,4.74,4.86,,0.13,0.18,0.14,44.85,-0.06,-0.05,-0.01,5.14,4.86,4.58,-0.02,3758532.6,3235738.4
1999-12-08,4.78,4.89,4.74,4.74,3800239,4.78,4.84,,0.15,0.18,0.13,47.29,-0.06,-0.05,-0.01,5.1,4.84,4.59,-0.04,3612605.6,3321862.95
1999-12-09,4.77,4.77,4.6,4.6,2668659,4.75,4.81,,0.17,0.18,0.12,45.52,-0.07,-0.05,-0.01,5.05,4.81,4.58,-0.04,3297453.0,3373039.65
1999-12-10,4.58,4.58,4.41,4.5,3315594,4.67,4.79,,0.19,0.18,0.13,37.12,-0.08,-0.06,-0.02,5.05,4.79,4.53,-0.07,3293629.2,3471524.85
1999-12-13,4.44,4.5,4.25,4.27,4729956,4.57,4.76,,0.25,0.19,0.17,31.17,-0.11,-0.07,-0.04,5.09,4.76,4.42,-0.11,3429596.4,3549690.5
1999-12-14,4.33,4.5,4.25,4.4,3950968,4.5,4.73,,0.25,0.19,0.18,33.33,-0.12,-0.08,-0.04,5.08,4.73,4.37,-0.08,3693083.2,3584727.25
1999-12-15,4.53,4.57,4.33,4.46,5285297,4.45,4.7,,0.24,0.2,0.18,38.56,-0.13,-0.09,-0.04,5.07,4.7,4.34,-0.02,3990094.8,3644818.75
