date,open,high,low,close,volume,ma_5,ma_20,ma_90,tr,atr_14,close_std_20,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,roc_10,volume_sma_5,volume_sma_20
1999-11-01,16.81,16.94,16.42,16.62,1842891,,,,0.52,,,,0.0,0.0,0.0,,,,,,
1999-11-02,16.55,17.34,16.49,17.17,1682242,,,,0.85,,,,0.04,0.01,0.04,,,,,,
1999-11-03,17.34,17.34,16.62,16.81,1858118,,,,0.72,,,,0.05,0.02,0.03,,,,,,
1999-11-04,16.78,17.67,16.68,17.37,1563088,,,,0.99,,,,0.1,0.03,0.06,,,,,,
1999-11-05,18.39,19.04,18.26,18.94,5183012,17.38,,,1.67,,,,0.26,0.08,0.18,,,,,2425870.2,
1999-11-08,18.91,19.04,18.78,18.81,2817632,17.82,,,0.26,,,,0.37,0.14,0.24,,,,,2620818.4,
1999-11-09,18.78,18.81,18.06,18.42,1230942,18.07,,,0.75,,,,0.43,0.19,0.23,,,,,2530558.4,
1999-11-10,17.99,18.36,17.5,18.03,2198450,18.31,,,0.92,,,,0.43,0.24,0.19,,,,,2598624.8,
1999-11-11,17.76,17.8,17.21,17.63,823039,18.37,,,0.82,,,,0.4,0.27,0.13,,,,,2450615.0,
1999-11-12,17.63,18.09,17.54,17.99,1493613,18.18,,,0.55,,,,0.4,0.3,0.1,,,,,1712735.2,
1999-11-15,18.03,18.19,17.63,17.67,745950,17.95,,,0.56,,,,0.37,0.31,0.06,,,,0.06,1298398.8,
1999-11-16,17.8,18.36,17.76,18.26,1008622,17.92,,,0.69,,,,0.39,0.33,0.06,,,,0.06,1253934.8,
1999-11-17,18.06,18.09,17.6,17.7,1307649,17.85,,,0.66,,,,0.35,0.33,0.02,,,,0.05,1075774.6,
1999-11-18,17.7,17.8,17.21,17.27,921065,17.78,,,0.59,0.75,,,0.29,0.32,-0.04,,,,-0.01,1095379.8,
1999-11-19,17.31,17.5,17.14,17.21,615947,17.62,,,0.36,0.74,,54.42,0.23,0.3,-0.08,,,,-0.09,919846.6,
1999-11-22,17.07,17.34,16.35,16.49,1691759,17.39,,,0.99,0.75,,45.03,0.12,0.27,-0.15,,,,-0.12,1109008.4,
1999-11-23,16.62,16.71,16.16,16.35,1244265,17.0,,,0.55,0.74,,46.53,0.03,0.22,-0.19,,,,-0.11,1156137.0,
1999-11-24,16.42,16.45,16.16,16.22,698365,16.71,,,0.29,0.69,,40.71,-0.06,0.16,-0.22,,,,-0.1,1034280.2,
1999-11-26,16.25,16.52,16.16,16.42,426556,16.54,,,0.36,0.6,,23.86,-0.11,0.11,-0.22,,,,-0.07,935378.4,
1999-11-29,16.55,16.55,15.63,15.86,806669,16.27,17.36,,0.92,0.64,0.88,21.9,-0.19,0.05,-0.24,19.13,17.36,15.6,-0.12,973522.8,1507993.7
1999-11-30,15.76,16.29,15.76,15.86,1748101,16.14,17.32,,0.53,0.63,0.93,23.66,-0.26,-0.01,-0.24,19.19,17.32,15.46,-0.1,984791.2,1503254.2
1999-12-01,15.99,16.42,15.89,16.25,1119782,16.12,17.28,,0.56,0.6,0.96,31.69,-0.27,-0.06,-0.21,19.2,17.28,15.36,-0.11,959894.6,1475131.2
