date,open,high,low,close,volume,ma_5,ma_20,ma_90,tr,atr_14,close_std_20,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,roc_10,volume_sma_5,volume_sma_20
1999-11-01,5.24,5.43,5.14,5.16,12502415,,,,0.29,,,,0.0,0.0,0.0,,,,,,
1999-11-02,5.43,5.53,5.32,5.47,31359678,,,,0.37,,,,0.02,0.0,0.02,,,,,,
1999-11-03,5.45,5.45,5.19,5.24,20250576,,,,0.28,,,,0.03,0.01,0.02,,,,,,
1999-11-04,5.22,5.29,5.09,5.14,13044372,,,,0.2,,,,0.02,0.01,0.01,,,,,,
1999-11-05,5.19,5.25,5.19,5.2,7326527,5.24,,,0.11,,,,0.02,0.01,0.0,,,,,16896713.6,
1999-11-08,5.22,5.46,5.2,5.43,13227384,5.3,,,0.26,,,,0.03,0.02,0.02,,,,,17041707.4,
1999-11-09,5.43,5.43,5.2,5.27,7891739,5.26,,,0.23,,,,0.03,0.02,0.01,,,,,12348119.6,
1999-11-10,5.24,5.38,5.22,5.26,8217317,5.26,,,0.16,,,,0.03,0.02,0.01,,,,,9941467.8,
1999-11-11,5.26,5.32,5.17,5.21,9613665,5.27,,,0.15,,,,0.03,0.02,0.0,,,,,9255326.4,
1999-11-12,5.19,5.3,5.17,5.27,6108135,5.29,,,0.13,,,,0.03,0.02,0.0,,,,,9011648.0,
1999-11-15,5.27,5.43,5.27,5.4,8237540,5.28,,,0.16,,,,0.04,0.03,0.01,,,,0.05,8013679.2,
1999-11-16,5.41,5.5,5.41,5.45,9114175,5.32,,,0.1,,,,0.05,0.03,0.02,,,,-0.0,8258166.4,
1999-11-17,5.48,5.66,5.45,5.58,13770351,5.38,,,0.21,,,,0.07,0.04,0.03,,,,0.06,9368773.2,
1999-11-18,5.54,5.79,5.47,5.79,18137350,5.5,,,0.32,0.21,,,0.1,0.05,0.05,,,,0.13,11073510.2,
1999-11-19,5.69,5.7,5.48,5.51,8781519,5.55,,,0.31,0.21,,58.71,0.1,0.06,0.04,,,,0.06,11608187.0,
1999-11-22,5.51,5.54,5.38,5.44,6542914,5.55,,,0.16,0.2,,49.15,0.09,0.07,0.03,,,,0.0,11269261.8,
1999-11-23,5.54,5.66,5.43,5.51,7055548,5.57,,,0.23,0.2,,58.39,0.09,0.07,0.02,,,,0.05,10857536.4,
1999-11-24,5.37,5.39,5.24,5.24,8417518,5.5,,,0.27,0.2,,52.81,0.07,0.07,-0.0,,,,-0.0,9786969.8,
1999-11-26,5.24,5.24,5.12,5.12,3243651,5.36,,,0.12,0.2,,47.83,0.04,0.07,-0.02,,,,-0.02,6808230.0,
1999-11-29,5.12,5.12,4.98,4.98,8088906,5.26,5.33,,0.14,0.19,0.19,37.14,0.01,0.06,-0.05,5.71,5.33,4.95,-0.06,6669707.4,11046564.0
1999-11-30,4.98,5.17,4.92,5.14,11243579,5.2,5.33,,0.25,0.19,0.19,46.29,-0.01,0.04,-0.05,5.72,5.33,4.95,-0.05,7609840.4,10983622.2
1999-12-01,5.08,5.3,5.08,5.22,8745119,5.14,5.32,,0.22,0.2,0.19,48.9,-0.01,0.03,-0.04,5.7,5.32,4.94,-0.04,7947754.6,9852894.25
