date,open,high,low,close,volume,ma_5,ma_20,ma_90,tr,atr_14,close_std_20,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,roc_10,volume_sma_5,volume_sma_20
1999-11-01,17.44,17.47,17.24,17.24,15926378,,,,0.23,,,,0.0,0.0,0.0,,,,,,
1999-11-02,17.2,17.35,16.85,16.85,9976837,,,,0.5,,,,-0.03,-0.01,-0.02,,,,,,
1999-11-03,16.79,17.05,16.73,16.99,11084502,,,,0.32,,,,-0.04,-0.01,-0.03,,,,,,
1999-11-04,17.0,17.04,16.75,16.75,8253470,,,,0.29,,,,-0.07,-0.03,-0.05,,,,,,
1999-11-05,16.8,16.99,16.67,16.67,15595911,16.9,,,0.32,,,,-0.1,-0.04,-0.06,,,,,12167419.6,
1999-11-08,16.69,17.25,16.69,17.24,12862823,16.9,,,0.58,,,,-0.08,-0.05,-0.03,,,,,11554708.6,
1999-11-09,17.2,17.2,16.72,16.82,10668053,16.89,,,0.52,,,,-0.09,-0.06,-0.03,,,,,11692951.8,
1999-11-10,16.79,17.04,16.73,17.02,9451229,16.9,,,0.31,,,,-0.08,-0.06,-0.02,,,,,11366297.2,
1999-11-11,17.15,17.15,16.84,16.99,10148052,16.95,,,0.31,,,,-0.08,-0.06,-0.01,,,,,11745213.6,
1999-11-12,16.95,17.04,16.82,16.82,9464313,16.98,,,0.22,,,,-0.09,-0.07,-0.02,,,,,10518894.0,
1999-11-15,16.92,17.0,16.8,16.95,7611226,16.92,,,0.2,,,,-0.09,-0.07,-0.01,,,,-0.02,9468574.6,
1999-11-16,16.99,17.34,16.95,17.24,8453470,17.0,,,0.39,,,,-0.06,-0.07,0.01,,,,0.02,9025658.0,
1999-11-17,17.17,17.51,17.15,17.44,9715528,17.09,,,0.36,,,,-0.02,-0.06,0.04,,,,0.03,9078517.8,
1999-11-18,17.37,17.42,17.1,17.12,7538329,17.11,,,0.34,0.35,,,-0.02,-0.05,0.04,,,,0.02,8556573.2,
1999-11-19,17.17,17.42,17.15,17.34,6657580,17.22,,,0.3,0.35,,51.47,0.0,-0.04,0.04,,,,0.04,7995226.6,
