date,open,high,low,close,volume,ma_5,ma_20,ma_90,tr,atr_14,close_std_20,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,roc_10,volume_sma_5,volume_sma_20
2008-03-19,13.16,15.26,12.16,12.49,801109303,,,,3.1,,,,0.0,0.0,0.0,,,,,,
2008-03-20,12.93,14.37,12.71,14.23,224999358,,,,1.88,,,,0.14,0.03,0.11,,,,,,
2008-03-24,14.87,14.97,13.04,13.21,169119834,,,,1.93,,,,0.16,0.06,0.11,,,,,,
2008-03-25,13.41,14.21,13.23,13.98,98477897,,,,1.0,,,,0.24,0.09,0.15,,,,,,
2008-03-26,13.82,14.26,13.61,14.14,48747758,13.61,,,0.65,,,,0.32,0.14,0.18,,,,,268490830.0,
2008-03-27,14.16,14.31,13.85,13.91,45036688,13.89,,,0.46,,,,0.35,0.18,0.17,,,,,117276307.0,
2008-03-28,13.95,14.03,13.74,13.88,27901091,13.82,,,0.29,,,,0.37,0.22,0.15,,,,,77856653.6,
2008-03-31,13.86,14.04,13.72,13.79,25053902,13.94,,,0.32,,,,0.38,0.25,0.13,,,,,49043467.2,
2008-04-01,13.93,14.08,13.33,13.62,68308554,13.87,,,0.75,,,,0.36,0.27,0.09,,,,,43009598.6,
2008-04-02,13.66,13.78,13.38,13.78,49567314,13.8,,,0.4,,,,0.36,0.29,0.07,,,,,43173509.8,
2008-04-03,13.69,14.66,13.67,14.48,114054891,13.91,,,0.99,,,,0.41,0.31,0.1,,,,0.16,56977150.4,
2008-04-04,14.34,14.44,14.09,14.26,41152390,13.99,,,0.39,,,,0.43,0.34,0.09,,,,0.0,59627410.2,
2008-04-07,14.38,14.55,14.15,14.38,32001585,14.1,,,0.4,,,,0.45,0.36,0.09,,,,0.09,61016946.8,
2008-04-08,14.42,15.09,14.33,15.05,60975517,14.39,,,0.76,0.95,,,0.51,0.39,0.12,,,,0.08,59550339.4,
2008-04-09,15.11,15.19,14.51,14.55,54642049,14.54,,,0.68,0.78,,65.65,0.51,0.41,0.1,,,,0.03,60565286.4,
2008-04-10,14.74,14.75,14.4,14.62,25296784,14.57,,,0.35,0.67,,53.97,0.51,0.43,0.08,,,,0.05,42813665.0,
2008-04-11,14.43,14.76,14.43,14.62,29875805,14.64,,,0.33,0.55,,68.12,0.51,0.45,0.06,,,,0.05,40558348.0,
2008-04-14,14.81,14.87,14.49,14.52,32162149,14.67,,,0.38,0.51,,58.39,0.49,0.46,0.04,,,,0.05,40590460.8,
2008-04-15,14.71,14.71,14.15,14.23,27010977,14.51,,,0.56,0.5,,51.34,0.45,0.46,-0.01,,,,0.04,33797552.8,
2008-04-16,14.37,14.8,14.27,14.62,28423038,14.52,14.12,,0.57,0.51,0.58,60.11,0.44,0.45,-0.01,15.27,14.12,12.97,0.06,28553750.6,100195844.2
2008-04-17,14.7,14.98,14.59,14.82,25395836,14.56,14.23,,0.39,0.52,0.45,62.77,0.45,0.45,-0.0,15.14,14.23,13.33,0.02,28573561.0,61410170.85
2008-04-18,15.06,15.58,14.86,15.26,117708971,14.69,14.29,,0.76,0.55,0.51,68.24,0.48,0.46,0.02,15.3,14.29,13.28,0.07,46140194.2,56045651.5
2008-04-21,15.41,16.03,15.22,15.69,66541442,14.92,14.41,,0.81,0.55,0.53,74.13,0.54,0.47,0.06,15.47,14.41,13.35,0.09,53016052.8,50916731.9
2008-04-22,15.94,16.01,15.48,15.54,53548855,15.19,14.49,,0.53,0.56,0.58,70.56,0.56,0.49,0.07,15.64,14.49,13.33,0.03,58323628.4,48670279.8
2008-04-23,15.73,15.85,15.41,15.49,42198546,15.36,14.56,,0.44,0.53,0.61,63.91,0.57,0.51,0.06,15.78,14.56,13.33,0.06,61078730.0,48342819.2
2008-04-24,15.74,16.14,15.49,15.99,43066045,15.59,14.66,,0.65,0.54,0.67,72.12,0.61,0.53,0.08,16.0,14.66,13.32,0.09,64612771.8,48244287.05
2008-04-25,16.8,16.82,16.34,16.6,114724285,15.86,14.8,,0.83,0.57,0.77,75.23,0.69,0.56,0.13,16.34,14.8,13.25,0.14,64015834.6,52585446.75
2008-04-28,16.85,17.09,16.56,16.72,149841721,16.07,14.94,,0.53,0.56,0.85,71.69,0.75,0.6,0.15,16.63,14.94,13.25,0.15,80675890.4,58824837.7
